residence_id,residence_name,workplace_id,workplace_name,distance,commute_cost,baseline_commuters,share_of_residents
L01,Harbor Core,L01,Harbor Core,0.0,1.6,18.525786,0.286417
L01,Harbor Core,L02,North Rail,11.6619,5.498,11.544038,0.178476
L01,Harbor Core,L03,River Plant,22.0227,11.2495,7.840732,0.121221
L01,Harbor Core,L04,Mesa Tech,36.8782,17.4888,4.543296,0.070241
L01,Harbor Core,L05,South Port,22.0907,14.3781,4.73009,0.073129
L01,Harbor Core,L06,Lake Junction,27.2029,17.9252,4.28451,0.06624
L01,Harbor Core,L07,Cedar Loop,38.4187,22.6359,2.391968,0.036981
L01,Harbor Core,L08,East University,50.1199,27.5503,1.777949,0.027488
L01,Harbor Core,L09,Prairie Works,40.4475,22.0879,3.373413,0.052155
L01,Harbor Core,L10,West Gateway,47.4131,26.4135,2.361755,0.036514
L01,Harbor Core,L11,Hill Market,56.6392,30.2885,1.957904,0.03027
L01,Harbor Core,L12,Old Mill,63.4114,33.1328,1.349684,0.020867
L02,North Rail,L01,Harbor Core,11.6619,5.498,10.532448,0.145035
L02,North Rail,L02,North Rail,0.0,1.6,15.606516,0.214906
L02,North Rail,L03,River Plant,13.0,7.46,10.472953,0.144216
L02,North Rail,L04,Mesa Tech,26.0768,12.9523,6.593713,0.090797
L02,North Rail,L05,South Port,17.8885,12.6132,5.045277,0.069475
L02,North Rail,L06,Lake Junction,17.088,13.677,6.022104,0.082926
L02,North Rail,L07,Cedar Loop,26.9072,17.801,3.588506,0.049415
L02,North Rail,L08,East University,38.4708,22.6577,2.68449,0.036966
L02,North Rail,L09,Prairie Works,34.2345,19.4785,3.952177,0.054423
L02,North Rail,L10,West Gateway,37.9473,22.4379,3.220531,0.044348
L02,North Rail,L11,Hill Market,45.607,25.6549,2.872341,0.039553
L02,North Rail,L12,Old Mill,51.8556,28.2793,2.029027,0.02794
L03,River Plant,L01,Harbor Core,22.0227,11.2495,5.978805,0.076873
L03,River Plant,L02,North Rail,13.0,7.46,8.752968,0.112542
L03,River Plant,L03,River Plant,0.0,1.6,21.600633,0.277731
L03,River Plant,L04,Mesa Tech,15.6525,8.574,11.535277,0.148316
L03,River Plant,L05,South Port,29.0,18.68,2.765383,0.035556
L03,River Plant,L06,Lake Junction,21.8403,14.2729,6.062007,0.077943
L03,River Plant,L07,Cedar Loop,24.3516,15.3277,5.080261,0.06532
L03,River Plant,L08,East University,31.8277,19.8676,3.9366,0.050615
L03,River Plant,L09,Prairie Works,42.1545,24.2049,2.514129,0.032326
L03,River Plant,L10,West Gateway,41.0,22.32,3.509459,0.045123
L03,River Plant,L11,Hill Market,44.0114,24.9848,3.32809,0.042791
L03,River Plant,L12,Old Mill,47.2017,26.3247,2.711629,0.034865
L04,Mesa Tech,L01,Harbor Core,36.8782,17.4888,3.173089,0.036361
L04,Mesa Tech,L02,North Rail,26.0768,12.9523,5.047422,0.05784
L04,Mesa Tech,L03,River Plant,15.6525,8.574,10.56529,0.121071
L04,Mesa Tech,L04,Mesa Tech,0.0,1.6,26.576814,0.304551
L04,Mesa Tech,L05,South Port,36.7696,21.9432,2.042841,0.02341
L04,Mesa Tech,L06,Lake Junction,24.4131,16.7535,4.884951,0.055978
L04,Mesa Tech,L07,Cedar Loop,17.088,13.677,6.478663,0.074241
L04,Mesa Tech,L08,East University,17.8885,12.6132,9.35679,0.107222
L04,Mesa Tech,L09,Prairie Works,43.8634,24.9226,2.464336,0.02824
L04,Mesa Tech,L10,West Gateway,36.7696,21.9432,3.88479,0.044517
L04,Mesa Tech,L11,Hill Market,34.0588,19.4047,6.56761,0.07526
L04,Mesa Tech,L12,Old Mill,34.0147,19.3862,6.22289,0.07131
L05,South Port,L01,Harbor Core,22.0907,14.3781,3.755387,0.047198
L05,South Port,L02,North Rail,17.8885,12.6132,4.390345,0.055178
L05,South Port,L03,River Plant,29.0,18.68,2.879272,0.036187
L05,South Port,L04,Mesa Tech,36.7696,21.9432,2.322249,0.029186
L05,South Port,L05,South Port,0.0,1.6,16.404401,0.206173
L05,South Port,L06,Lake Junction,14.0,7.88,10.967715,0.137844
L05,South Port,L07,Cedar Loop,28.0713,13.79,5.35918,0.067355
L05,South Port,L08,East University,42.0476,19.66,3.582199,0.045022
L05,South Port,L09,Prairie Works,18.4391,8.3444,13.024042,0.163688
L05,South Port,L10,West Gateway,28.2843,13.8794,7.97171,0.10019
L05,South Port,L11,Hill Market,41.1825,19.2967,5.567813,0.069977
L05,South Port,L12,Old Mill,50.9215,23.387,3.341947,0.042002
L06,Lake Junction,L01,Harbor Core,27.2029,17.9252,2.6699,0.024541
L06,Lake Junction,L02,North Rail,17.088,13.677,4.113112,0.037806
L06,Lake Junction,L03,River Plant,21.8403,14.2729,4.953961,0.045535
L06,Lake Junction,L04,Mesa Tech,24.4131,16.7535,4.358559,0.040062
L06,Lake Junction,L05,South Port,14.0,7.88,8.608448,0.079125
L06,Lake Junction,L06,Lake Junction,0.0,1.6,23.236073,0.213577
L06,Lake Junction,L07,Cedar Loop,14.1421,6.5397,12.646392,0.116241
L06,Lake Junction,L08,East University,28.0713,13.79,7.251231,0.06665
L06,Lake Junction,L09,Prairie Works,20.5913,10.6483,10.631064,0.097716
L06,Lake Junction,L10,West Gateway,20.8806,9.3699,13.872754,0.127513
L06,Lake Junction,L11,Hill Market,29.7321,14.4875,10.017465,0.092077
L06,Lake Junction,L12,Old Mill,38.0132,17.9655,6.436047,0.059158
L07,Cedar Loop,L01,Harbor Core,38.4187,22.6359,1.369566,0.013384
L07,Cedar Loop,L02,North Rail,26.9072,17.801,2.252006,0.022008
L07,Cedar Loop,L03,River Plant,24.3516,15.3277,3.814659,0.037279
L07,Cedar Loop,L04,Mesa Tech,17.088,13.677,5.31131,0.051905
L07,Cedar Loop,L05,South Port,28.0713,13.79,3.86492,0.03777
L07,Cedar Loop,L06,Lake Junction,14.1421,6.5397,11.619841,0.113555
L07,Cedar Loop,L07,Cedar Loop,0.0,1.6,18.955444,0.185242
L07,Cedar Loop,L08,East University,14.0,7.88,12.106005,0.118306
L07,Cedar Loop,L09,Prairie Works,28.8444,14.1147,6.26193,0.061195
L07,Cedar Loop,L10,West Gateway,19.6977,8.873,12.692377,0.124036
L07,Cedar Loop,L11,Hill Market,19.6977,10.273,13.85258,0.135374
L07,Cedar Loop,L12,Old Mill,25.0,12.5,10.227252,0.099946
L08,East University,L01,Harbor Core,50.1199,27.5503,0.935289,0.008188
L08,East University,L02,North Rail,38.4708,22.6577,1.547806,0.01355
L08,East University,L03,River Plant,31.8277,19.8676,2.715751,0.023775
L08,East University,L04,Mesa Tech,17.8885,12.6132,7.047614,0.061698
L08,East University,L05,South Port,42.0476,19.66,2.373509,0.020779
L08,East University,L06,Lake Junction,28.0713,13.79,6.121308,0.053588
L08,East University,L07,Cedar Loop,14.0,7.88,11.122433,0.09737
L08,East University,L08,East University,0.0,1.6,28.677993,0.251059
L08,East University,L09,Prairie Works,41.2311,19.317,4.141697,0.036258
L08,East University,L10,West Gateway,28.4253,13.9386,8.523336,0.074617
L08,East University,L11,Hill Market,18.9737,8.5689,19.736438,0.172781
