location_id,location_name,region,x_coord,y_coord,productivity,amenity,housing_supply_elasticity,housing_capacity,job_capacity,population_seed,housing_constraint_index,baseline_residents,baseline_employment,baseline_wage,baseline_rent,baseline_output,baseline_resident_welfare_proxy
L01,Harbor Core,west,8.0,8.0,0.786697,0.491839,2.734381,87.992802,112.702775,108.562472,0.0,64.681125,50.668091,39.440389,11.844365,3986.043516,2097.141904
L02,North Rail,west,18.0,14.0,0.801,-0.543448,2.684444,93.136061,95.590565,86.218386,0.0,72.620084,58.626918,39.081438,10.544001,4696.016172,2268.539228
L03,River Plant,central,30.0,9.0,0.924364,-0.337351,2.634489,116.258471,100.654596,69.749742,0.0,77.775241,71.02383,41.351406,10.383295,6565.187142,2480.547543
L04,Mesa Tech,east,44.0,16.0,1.001077,0.442842,2.845243,122.866575,105.939067,110.820263,0.0,87.265485,78.473873,42.679592,11.718095,7855.838948,2830.146888
L05,South Port,west,10.0,30.0,0.88259,-0.001848,2.827772,72.470372,66.975371,120.416226,0.0,79.56626,61.724521,39.931515,12.245167,5447.744477,2453.595048
L06,Lake Junction,central,24.0,30.0,1.043657,-0.166971,2.467177,123.855227,91.757503,90.917317,0.0,108.795007,99.625166,42.588172,11.372122,10397.450137,3406.793654
L07,Cedar Loop,central,38.0,32.0,1.039251,-0.22881,2.770521,74.994502,70.495505,97.097911,0.0,102.327889,94.30375,42.052866,12.520936,9800.526625,3071.540587
L08,East University,east,52.0,32.0,1.116511,0.600875,2.507328,107.230523,122.436583,65.127401,0.020499,114.228259,106.170436,44.29736,13.030324,11854.045912,3598.01966
L09,Prairie Works,west,14.0,48.0,1.166552,-0.009876,1.787427,86.962873,88.971522,78.983573,0.113756,88.114625,96.28546,44.599141,12.041381,11232.199547,2733.460866
L10,West Gateway,central,30.0,50.0,1.267114,0.291013,1.774576,96.989047,96.765396,70.541681,0.228245,108.379471,123.983739,45.71606,12.876716,15710.153189,3349.841078
L11,Hill Market,east,46.0,50.0,1.397456,-0.016618,1.814158,113.792644,147.165682,116.594671,0.361748,118.310428,155.449285,47.903289,12.137694,21723.353661,3656.875277
L12,Old Mill,east,58.0,47.0,1.345403,-0.166648,1.797371,97.832456,132.392088,110.19043,0.309946,103.156198,128.885005,47.399549,11.987799,17340.227196,3166.789793
