residence_id,residence_name,resident_workers,share_working_outside_residence,commuter_weighted_cost,largest_workplace_id,largest_workplace_share
L01,Harbor Core,64.681125,0.713583,11.589531,L01,0.286417
L02,North Rail,72.620083,0.785094,10.98082,L02,0.214906
L03,River Plant,77.775241,0.722269,10.980349,L03,0.277731
L04,Mesa Tech,87.265486,0.695449,11.253203,L04,0.304551
L05,South Port,79.56626,0.793827,11.010127,L05,0.206173
L06,Lake Junction,108.795006,0.786423,9.554633,L06,0.213577
L07,Cedar Loop,102.32789,0.814758,9.072468,L07,0.185242
L08,East University,114.228259,0.748941,8.696763,L08,0.251059
L09,Prairie Works,88.114627,0.680808,9.771455,L09,0.319192
L10,West Gateway,108.379472,0.709873,8.597218,L10,0.290127
L11,Hill Market,118.310427,0.661085,7.357576,L11,0.338915
L12,Old Mill,103.1562,0.640939,7.575365,L12,0.359061
