residence_id,residence_name,workplace_id,workplace_name,distance,commute_cost,commuters,share_of_residents
L01,Harbor Core,L01,Harbor Core,0.0,1.6,18.252382,0.285217
L01,Harbor Core,L02,North Rail,11.6619,5.498,11.374307,0.177738
L01,Harbor Core,L03,River Plant,22.0227,11.2495,7.725778,0.120725
L01,Harbor Core,L04,Mesa Tech,36.8782,17.4888,4.477432,0.069966
L01,Harbor Core,L05,South Port,22.0907,14.3781,4.66148,0.072842
L01,Harbor Core,L06,Lake Junction,27.2029,17.9252,4.222847,0.065987
L01,Harbor Core,L07,Cedar Loop,38.4187,22.6359,2.357941,0.036846
L01,Harbor Core,L08,East University,50.1199,27.5503,1.752978,0.027393
L01,Harbor Core,L09,Prairie Works,40.4475,22.0879,3.324948,0.051957
L01,Harbor Core,L10,West Gateway,47.4131,26.4135,2.328395,0.036384
L01,Harbor Core,L11,Hill Market,56.6392,30.2885,2.185131,0.034146
L01,Harbor Core,L12,Old Mill,63.4114,33.1328,1.331075,0.0208
L02,North Rail,L01,Harbor Core,11.6619,5.498,10.374372,0.144244
L02,North Rail,L02,North Rail,0.0,1.6,15.373146,0.213747
L02,North Rail,L03,River Plant,13.0,7.46,10.316786,0.143444
L02,North Rail,L04,Mesa Tech,26.0768,12.9523,6.496473,0.090326
L02,North Rail,L05,South Port,17.8885,12.6132,4.970831,0.069114
L02,North Rail,L06,Lake Junction,17.088,13.677,5.933925,0.082505
L02,North Rail,L07,Cedar Loop,26.9072,17.801,3.536558,0.049172
L02,North Rail,L08,East University,38.4708,22.6577,2.646115,0.036791
L02,North Rail,L09,Prairie Works,34.2345,19.4785,3.894408,0.054147
L02,North Rail,L10,West Gateway,37.9473,22.4379,3.174236,0.044134
L02,North Rail,L11,Hill Market,45.607,25.6549,3.204879,0.04456
L02,North Rail,L12,Old Mill,51.8556,28.2793,2.000543,0.027815
L03,River Plant,L01,Harbor Core,22.0227,11.2495,5.888681,0.076419
L03,River Plant,L02,North Rail,13.0,7.46,8.621509,0.111883
L03,River Plant,L03,River Plant,0.0,1.6,21.27712,0.276118
L03,River Plant,L04,Mesa Tech,15.6525,8.574,11.364405,0.147479
L03,River Plant,L05,South Port,29.0,18.68,2.724397,0.035355
L03,River Plant,L06,Lake Junction,21.8403,14.2729,5.972848,0.077511
L03,River Plant,L07,Cedar Loop,24.3516,15.3277,5.006385,0.064969
L03,River Plant,L08,East University,31.8277,19.8676,3.880067,0.050353
L03,River Plant,L09,Prairie Works,42.1545,24.2049,2.477215,0.032147
L03,River Plant,L10,West Gateway,41.0,22.32,3.45878,0.044885
L03,River Plant,L11,Hill Market,44.0114,24.9848,3.713144,0.048186
L03,River Plant,L12,Old Mill,47.2017,26.3247,2.673385,0.034693
L04,Mesa Tech,L01,Harbor Core,36.8782,17.4888,3.121644,0.035989
L04,Mesa Tech,L02,North Rail,26.0768,12.9523,4.965866,0.057251
L04,Mesa Tech,L03,River Plant,15.6525,8.574,10.395018,0.119843
L04,Mesa Tech,L04,Mesa Tech,0.0,1.6,26.152851,0.301513
L04,Mesa Tech,L05,South Port,36.7696,21.9432,2.010237,0.023176
L04,Mesa Tech,L06,Lake Junction,24.4131,16.7535,4.807536,0.055426
L04,Mesa Tech,L07,Cedar Loop,17.088,13.677,6.377068,0.073521
L04,Mesa Tech,L08,East University,17.8885,12.6132,9.211753,0.106201
L04,Mesa Tech,L09,Prairie Works,43.8634,24.9226,2.425345,0.027962
L04,Mesa Tech,L10,West Gateway,36.7696,21.9432,3.824263,0.04409
L04,Mesa Tech,L11,Hill Market,34.0588,19.4047,7.318996,0.08438
L04,Mesa Tech,L12,Old Mill,34.0147,19.3862,6.128028,0.070649
L05,South Port,L01,Harbor Core,22.0907,14.3781,3.695109,0.046747
L05,South Port,L02,North Rail,17.8885,12.6132,4.320118,0.054654
L05,South Port,L03,River Plant,29.0,18.68,2.833336,0.035845
L05,South Port,L04,Mesa Tech,36.7696,21.9432,2.28558,0.028915
L05,South Port,L05,South Port,0.0,1.6,16.14524,0.204255
L05,South Port,L06,Lake Junction,14.0,7.88,10.795684,0.136577
L05,South Port,L07,Cedar Loop,28.0713,13.79,5.276009,0.066747
L05,South Port,L08,East University,42.0476,19.66,3.527254,0.044624
L05,South Port,L09,Prairie Works,18.4391,8.3444,12.820086,0.162188
L05,South Port,L10,West Gateway,28.2843,13.8794,7.8488,0.099296
L05,South Port,L11,Hill Market,41.1825,19.2967,6.205837,0.078511
L05,South Port,L12,Old Mill,50.9215,23.387,3.291544,0.041642
L06,Lake Junction,L01,Harbor Core,27.2029,17.9252,2.625646,0.024235
L06,Lake Junction,L02,North Rail,17.088,13.677,4.045163,0.037337
L06,Lake Junction,L03,River Plant,21.8403,14.2729,4.872328,0.044971
L06,Lake Junction,L04,Mesa Tech,24.4131,16.7535,4.28745,0.039573
L06,Lake Junction,L05,South Port,14.0,7.88,8.467935,0.078158
L06,Lake Junction,L06,Lake Junction,0.0,1.6,22.85942,0.210991
L06,Lake Junction,L07,Cedar Loop,14.1421,6.5397,12.443495,0.114853
L06,Lake Junction,L08,East University,28.0713,13.79,7.136204,0.065867
L06,Lake Junction,L09,Prairie Works,20.5913,10.6483,10.459005,0.096536
L06,Lake Junction,L10,West Gateway,20.8806,9.3699,13.65158,0.126003
L06,Lake Junction,L11,Hill Market,29.7321,14.4875,11.159431,0.103001
L06,Lake Junction,L12,Old Mill,38.0132,17.9655,6.335602,0.058477
L07,Cedar Loop,L01,Harbor Core,38.4187,22.6359,1.344928,0.013142
L07,Cedar Loop,L02,North Rail,26.9072,17.801,2.211617,0.021611
L07,Cedar Loop,L03,River Plant,24.3516,15.3277,3.746404,0.036608
L07,Cedar Loop,L04,Mesa Tech,17.088,13.677,5.217144,0.050979
L07,Cedar Loop,L05,South Port,28.0713,13.79,3.796367,0.037096
L07,Cedar Loop,L06,Lake Junction,14.1421,6.5397,11.415046,0.111541
L07,Cedar Loop,L07,Cedar Loop,0.0,1.6,18.624503,0.181988
L07,Cedar Loop,L08,East University,14.0,7.88,11.896832,0.116249
L07,Cedar Loop,L09,Prairie Works,28.8444,14.1147,6.151724,0.060111
L07,Cedar Loop,L10,West Gateway,19.6977,8.873,12.47206,0.12187
L07,Cedar Loop,L11,Hill Market,19.6977,10.273,15.409548,0.150573
L07,Cedar Loop,L12,Old Mill,25.0,12.5,10.053162,0.098234
L08,East University,L01,Harbor Core,50.1199,27.5503,0.917332,0.008
L08,East University,L02,North Rail,38.4708,22.6577,1.518175,0.01324
L08,East University,L03,River Plant,31.8277,19.8676,2.663874,0.023232
L08,East University,L04,Mesa Tech,17.8885,12.6132,6.914139,0.060299
L08,East University,L05,South Port,42.0476,19.66,2.328538,0.020307
L08,East University,L06,Lake Junction,28.0713,13.79,6.006017,0.052379
L08,East University,L07,Cedar Loop,14.0,7.88,10.914789,0.095189
L08,East University,L08,East University,0.0,1.6,28.147774,0.24548
L08,East University,L09,Prairie Works,41.2311,19.317,4.063795,0.035441
L08,East University,L10,West Gateway,28.4253,13.9386,8.365071,0.072953
L08,East University,L11,Hill Market,18.9737,8.5689,21.927688,0.191234
L08,East University,L12,Old Mill,16.1555,7.3853,20.896998,0.182245
L09,Prairie Works,L01,Harbor Core,40.4475,22.0879,1.600667,0.018224
L09,Prairie Works,L02,North Rail,34.2345,19.4785,2.055515,0.023402
L09,Prairie Works,L03,River Plant,42.1545,24.2049,1.564603,0.017813
L09,Prairie Works,L04,Mesa Tech,43.8634,24.9226,1.674694,0.019067
L09,Prairie Works,L05,South Port,18.4391,8.3444,7.785806,0.088643
L09,Prairie Works,L06,Lake Junction,20.5913,10.6483,8.097961,0.092197
L09,Prairie Works,L07,Cedar Loop,28.8444,14.1147,5.192146,0.059114
L09,Prairie Works,L08,East University,41.2311,19.317,3.738504,0.042564
L09,Prairie Works,L09,Prairie Works,0.0,1.6,27.672683,0.315059
L09,Prairie Works,L10,West Gateway,16.1245,8.7723,14.123937,0.160804
L09,Prairie Works,L11,Hill Market,32.0624,15.4662,9.690599,0.11033
L09,Prairie Works,L12,Old Mill,44.0114,20.4848,4.636122,0.052783
L10,West Gateway,L01,Harbor Core,47.4131,26.4135,0.974663,0.008966
L10,West Gateway,L02,North Rail,37.9473,22.4379,1.456801,0.013402
L10,West Gateway,L03,River Plant,41.0,22.32,1.899525,0.017475
L10,West Gateway,L04,Mesa Tech,36.7696,21.9432,2.296103,0.021123
L10,West Gateway,L05,South Port,28.2843,13.8794,4.144744,0.03813
L10,West Gateway,L06,Lake Junction,20.8806,9.3699,9.190731,0.08455
L10,West Gateway,L07,Cedar Loop,19.6977,8.873,9.153139,0.084205
L10,West Gateway,L08,East University,28.4253,13.9386,6.691408,0.061558
L10,West Gateway,L09,Prairie Works,16.1245,8.7723,12.281109,0.11298
L10,West Gateway,L10,West Gateway,0.0,1.6,30.856022,0.283861
L10,West Gateway,L11,Hill Market,16.0,8.72,20.191723,0.185754
L10,West Gateway,L12,Old Mill,28.1603,13.8273,9.565274,0.087996
L11,Hill Market,L01,Harbor Core,56.6392,30.2885,0.629373,0.005225
L11,Hill Market,L02,North Rail,45.607,25.6549,1.012058,0.008401
L11,Hill Market,L03,River Plant,44.0114,24.9848,1.403126,0.011648
L11,Hill Market,L04,Mesa Tech,34.0588,19.4047,3.023625,0.0251
L11,Hill Market,L05,South Port,41.1825,19.2967,2.254902,0.018719
L11,Hill Market,L06,Lake Junction,29.7321,14.4875,5.169422,0.042913
L11,Hill Market,L07,Cedar Loop,19.6977,10.273,7.781343,0.064595
L11,Hill Market,L08,East University,18.9737,8.5689,12.069061,0.100189
L11,Hill Market,L09,Prairie Works,32.0624,15.4662,5.797827,0.048129
L11,Hill Market,L10,West Gateway,16.0,8.72,13.893324,0.115333
L11,Hill Market,L11,Hill Market,0.0,1.6,44.237441,0.367228
L11,Hill Market,L12,Old Mill,12.3693,5.7951,23.19168,0.192521
L12,Old Mill,L01,Harbor Core,63.4114,33.1328,0.450033,0.004322
L12,Old Mill,L02,North Rail,51.8556,28.2793,0.741571,0.007122
L12,Old Mill,L03,River Plant,47.2017,26.3247,1.185844,0.011389
L12,Old Mill,L04,Mesa Tech,34.0147,19.3862,2.971722,0.028542
L12,Old Mill,L05,South Port,50.9215,23.387,1.403906,0.013484
L12,Old Mill,L06,Lake Junction,38.0132,17.9655,3.445076,0.033088
L12,Old Mill,L07,Cedar Loop,25.0,12.5,5.959067,0.057234
L12,Old Mill,L08,East University,16.1555,7.3853,13.501297,0.129674
L12,Old Mill,L09,Prairie Works,44.0114,20.4848,3.25597,0.031272
L12,Old Mill,L10,West Gateway,28.1603,13.8273,7.725759,0.074202
L12,Old Mill,L11,Hill Market,12.3693,5.7951,27.223449,0.261468
L12,Old Mill,L12,Old Mill,0.0,1.6,36.253836,0.348201
