residence_id,residence_name,workplace_id,workplace_name,distance,commute_cost,commuters,share_of_residents,log_commuters,log_commuters_fitted,gravity_residual
L01,Harbor Core,L01,Harbor Core,0.0,1.6,18.525786,0.286417,2.919164,2.936893,-0.017729
L01,Harbor Core,L02,North Rail,11.6619,5.498,11.544038,0.178476,2.446169,1.882926,0.563243
L01,Harbor Core,L03,River Plant,22.0227,11.2495,7.840732,0.121221,2.059332,1.436398,0.622935
L01,Harbor Core,L04,Mesa Tech,36.8782,17.4888,4.543296,0.070241,1.513653,1.201394,0.312259
L01,Harbor Core,L05,South Port,22.0907,14.3781,4.73009,0.073129,1.553944,1.143166,0.410778
L01,Harbor Core,L06,Lake Junction,27.2029,17.9252,4.28451,0.06624,1.455006,1.338787,0.116219
L01,Harbor Core,L07,Cedar Loop,38.4187,22.6359,2.391968,0.036981,0.872116,1.040479,-0.168362
L01,Harbor Core,L08,East University,50.1199,27.5503,1.777949,0.027488,0.57546,0.966189,-0.390729
L01,Harbor Core,L09,Prairie Works,40.4475,22.0879,3.373413,0.052155,1.215925,1.172445,0.04348
L01,Harbor Core,L10,West Gateway,47.4131,26.4135,2.361755,0.036514,0.859405,1.178783,-0.319378
L01,Harbor Core,L11,Hill Market,56.6392,30.2885,1.957904,0.03027,0.671875,1.20377,-0.531895
L01,Harbor Core,L12,Old Mill,63.4114,33.1328,1.349684,0.020867,0.29987,0.94069,-0.64082
L02,North Rail,L01,Harbor Core,11.6619,5.498,10.532448,0.145035,2.354461,1.791218,0.563243
L02,North Rail,L02,North Rail,0.0,1.6,15.606516,0.214906,2.747689,3.155793,-0.408104
L02,North Rail,L03,River Plant,13.0,7.46,10.472953,0.144216,2.348796,1.902406,0.44639
L02,North Rail,L04,Mesa Tech,26.0768,12.9523,6.593713,0.090797,1.886117,1.559168,0.326948
L02,North Rail,L05,South Port,17.8885,12.6132,5.045277,0.069475,1.618453,1.33506,0.283392
L02,North Rail,L06,Lake Junction,17.088,13.677,6.022104,0.082926,1.795437,1.667373,0.128064
L02,North Rail,L07,Cedar Loop,26.9072,17.801,3.588506,0.049415,1.277736,1.339469,-0.061733
L02,North Rail,L08,East University,38.4708,22.6577,2.68449,0.036966,0.987491,1.221321,-0.233831
L02,North Rail,L09,Prairie Works,34.2345,19.4785,3.952177,0.054423,1.374267,1.359202,0.015064
L02,North Rail,L10,West Gateway,37.9473,22.4379,3.220531,0.044348,1.169546,1.402184,-0.232638
L02,North Rail,L11,Hill Market,45.607,25.6549,2.872341,0.039553,1.055127,1.430022,-0.374894
L02,North Rail,L12,Old Mill,51.8556,28.2793,2.029027,0.02794,0.707556,1.159457,-0.451901
L03,River Plant,L01,Harbor Core,22.0227,11.2495,5.978805,0.076873,1.788221,1.165286,0.622934
L03,River Plant,L02,North Rail,13.0,7.46,8.752968,0.112542,2.169393,1.723003,0.44639
L03,River Plant,L03,River Plant,0.0,1.6,21.600633,0.277731,3.072723,3.486083,-0.41336
L03,River Plant,L04,Mesa Tech,15.6525,8.574,11.535277,0.148316,2.44541,2.038759,0.406651
L03,River Plant,L05,South Port,29.0,18.68,2.765383,0.035556,1.017179,1.025783,-0.008604
L03,River Plant,L06,Lake Junction,21.8403,14.2729,6.062007,0.077943,1.802041,1.701036,0.101005
L03,River Plant,L07,Cedar Loop,24.3516,15.3277,5.080261,0.06532,1.625363,1.561463,0.0639
L03,River Plant,L08,East University,31.8277,19.8676,3.9366,0.050615,1.370317,1.425501,-0.055184
L03,River Plant,L09,Prairie Works,42.1545,24.2049,2.514129,0.032326,0.921926,1.221821,-0.299895
L03,River Plant,L10,West Gateway,41.0,22.32,3.509459,0.045123,1.255462,1.482788,-0.227327
L03,River Plant,L11,Hill Market,44.0114,24.9848,3.32809,0.042791,1.202399,1.531394,-0.328995
L03,River Plant,L12,Old Mill,47.2017,26.3247,2.711629,0.034865,0.99755,1.305066,-0.307517
L04,Mesa Tech,L01,Harbor Core,36.8782,17.4888,3.173089,0.036361,1.154706,0.842446,0.312259
L04,Mesa Tech,L02,North Rail,26.0768,12.9523,5.047422,0.05784,1.618878,1.291929,0.326948
L04,Mesa Tech,L03,River Plant,15.6525,8.574,10.56529,0.121071,2.357574,1.950923,0.406651
L04,Mesa Tech,L04,Mesa Tech,0.0,1.6,26.576814,0.304551,3.280039,3.792761,-0.512722
L04,Mesa Tech,L05,South Port,36.7696,21.9432,2.042841,0.02341,0.714341,0.977476,-0.263134
L04,Mesa Tech,L06,Lake Junction,24.4131,16.7535,4.884951,0.055978,1.586159,1.653473,-0.067314
L04,Mesa Tech,L07,Cedar Loop,17.088,13.677,6.478663,0.074241,1.868514,1.782512,0.086002
L04,Mesa Tech,L08,East University,17.8885,12.6132,9.35679,0.107222,2.236102,1.980026,0.256076
L04,Mesa Tech,L09,Prairie Works,43.8634,24.9226,2.464336,0.02824,0.901922,1.302617,-0.400695
L04,Mesa Tech,L10,West Gateway,36.7696,21.9432,3.88479,0.044517,1.357069,1.608889,-0.25182
L04,Mesa Tech,L11,Hill Market,34.0588,19.4047,6.56761,0.07526,1.88215,1.888426,-0.006276
L04,Mesa Tech,L12,Old Mill,34.0147,19.3862,6.22289,0.07131,1.828234,1.71421,0.114024
L05,South Port,L01,Harbor Core,22.0907,14.3781,3.755387,0.047198,1.323191,0.912413,0.410778
L05,South Port,L02,North Rail,17.8885,12.6132,4.390345,0.055178,1.479408,1.196016,0.283392
L05,South Port,L03,River Plant,29.0,18.68,2.879272,0.036187,1.057537,1.066141,-0.008604
L05,South Port,L04,Mesa Tech,36.7696,21.9432,2.322249,0.029186,0.842536,1.10567,-0.263134
L05,South Port,L05,South Port,0.0,1.6,16.404401,0.206173,2.79755,3.42076,-0.623211
L05,South Port,L06,Lake Junction,14.0,7.88,10.967715,0.137844,2.394956,2.270505,0.124451
L05,South Port,L07,Cedar Loop,28.0713,13.79,5.35918,0.067355,1.678811,1.652548,0.026263
L05,South Port,L08,East University,42.0476,19.66,3.582199,0.045022,1.275977,1.42331,-0.147333
L05,South Port,L09,Prairie Works,18.4391,8.3444,13.024042,0.163688,2.566797,2.25264,0.314157
L05,South Port,L10,West Gateway,28.2843,13.8794,7.97171,0.10019,2.075899,1.93572,0.140179
L05,South Port,L11,Hill Market,41.1825,19.2967,5.567813,0.069977,1.717002,1.77199,-0.054988
L05,South Port,L12,Old Mill,50.9215,23.387,3.341947,0.042002,1.206554,1.408505,-0.201951
L06,Lake Junction,L01,Harbor Core,27.2029,17.9252,2.6699,0.024541,0.982041,0.865822,0.116219
L06,Lake Junction,L02,North Rail,17.088,13.677,4.113112,0.037806,1.41418,1.286116,0.128064
L06,Lake Junction,L03,River Plant,21.8403,14.2729,4.953961,0.045535,1.600187,1.499183,0.101005
L06,Lake Junction,L04,Mesa Tech,24.4131,16.7535,4.358559,0.040062,1.472141,1.539455,-0.067314
L06,Lake Junction,L05,South Port,14.0,7.88,8.608448,0.079125,2.152744,2.028293,0.124451
L06,Lake Junction,L06,Lake Junction,0.0,1.6,23.236073,0.213577,3.145706,4.001822,-0.856116
L06,Lake Junction,L07,Cedar Loop,14.1421,6.5397,12.646392,0.116241,2.537372,2.552849,-0.015477
L06,Lake Junction,L08,East University,28.0713,13.79,7.251231,0.06665,1.981171,1.940162,0.041009
L06,Lake Junction,L09,Prairie Works,20.5913,10.6483,10.631064,0.097716,2.36378,2.183215,0.180566
L06,Lake Junction,L10,West Gateway,20.8806,9.3699,13.872754,0.127513,2.629927,2.490055,0.139872
L06,Lake Junction,L11,Hill Market,29.7321,14.4875,10.017465,0.092077,2.30433,2.222232,0.082099
L06,Lake Junction,L12,Old Mill,38.0132,17.9655,6.436047,0.059158,1.861915,1.836291,0.025623
L07,Cedar Loop,L01,Harbor Core,38.4187,22.6359,1.369566,0.013384,0.314494,0.482856,-0.168362
L07,Cedar Loop,L02,North Rail,26.9072,17.801,2.252006,0.022008,0.811821,0.873555,-0.061734
L07,Cedar Loop,L03,River Plant,24.3516,15.3277,3.814659,0.037279,1.338851,1.274951,0.0639
L07,Cedar Loop,L04,Mesa Tech,17.088,13.677,5.31131,0.051905,1.669839,1.583837,0.086002
L07,Cedar Loop,L05,South Port,28.0713,13.79,3.86492,0.03777,1.351941,1.325678,0.026263
L07,Cedar Loop,L06,Lake Junction,14.1421,6.5397,11.619841,0.113555,2.452714,2.468191,-0.015477
L07,Cedar Loop,L07,Cedar Loop,0.0,1.6,18.955444,0.185242,2.942091,3.777713,-0.835622
L07,Cedar Loop,L08,East University,14.0,7.88,12.106005,0.118306,2.493702,2.334011,0.15969
L07,Cedar Loop,L09,Prairie Works,28.8444,14.1147,6.26193,0.061195,1.834488,1.752748,0.081741
