location_id,location_name,region,productivity,housing_supply_elasticity,baseline_equilibrium_residents,counterfactual_equilibrium_residents,change_equilibrium_residents,baseline_equilibrium_employment,counterfactual_equilibrium_employment,change_equilibrium_employment,baseline_equilibrium_wage,counterfactual_equilibrium_wage,change_equilibrium_wage,baseline_equilibrium_rent,counterfactual_equilibrium_rent,change_equilibrium_rent,baseline_equilibrium_output,counterfactual_equilibrium_output,change_equilibrium_output,baseline_resident_welfare_proxy,counterfactual_resident_welfare_proxy,change_resident_welfare_proxy
L01,Harbor Core,west,0.786697,2.734381,64.681125,63.994695,-0.68643,50.668091,49.87483,-0.793261,39.440389,39.475105,0.034716,11.844365,11.8151,-0.029264,3986.043516,3923.637934,-62.405582,2097.141904,2085.172033,-11.969871
L02,North Rail,west,0.801,2.684444,72.620084,71.922271,-0.697813,58.626918,57.695846,-0.931072,39.081438,39.116658,0.035219,10.544001,10.517025,-0.026976,4696.016172,4621.437285,-74.578887,2268.539228,2258.136415,-10.402813
L03,River Plant,central,0.924364,2.634489,77.775241,77.057934,-0.717308,71.02383,69.883741,-1.140089,41.351406,41.387008,0.035601,10.383295,10.356917,-0.026378,6565.187142,6459.801436,-105.385706,2480.547543,2469.833259,-10.714284
L04,Mesa Tech,east,1.001077,2.845243,87.265485,86.738604,-0.526881,78.473873,77.161618,-1.312255,42.679592,42.716692,0.0371,11.718095,11.702131,-0.015963,7855.838948,7724.472116,-131.366833,2830.146888,2825.847489,-4.299399
L05,South Port,west,0.88259,2.827772,79.56626,79.044597,-0.521663,61.724521,60.694383,-1.030138,39.931515,39.968541,0.037026,12.245167,12.227721,-0.017446,5447.744477,5356.825511,-90.918965,2453.595048,2449.279444,-4.315604
L06,Lake Junction,central,1.043657,2.467177,108.795007,108.343258,-0.45175,99.625166,97.916512,-1.708654,42.588172,42.626231,0.038059,11.372122,11.359474,-0.012649,10397.450137,10219.12531,-178.324827,3406.793654,3408.261865,1.46821
L07,Cedar Loop,central,1.039251,2.770521,102.327889,102.339336,0.011447,94.30375,92.622441,-1.681309,42.052866,42.092443,0.039577,12.520936,12.521239,0.000303,9800.526625,9625.796398,-174.730227,3071.540587,3085.307683,13.767096
L08,East University,east,1.116511,2.507328,114.228259,114.66419,0.43593,106.170436,104.199246,-1.971189,44.29736,44.33859,0.04123,13.030324,13.041718,0.011394,11854.045912,11633.960482,-220.08543,3598.01966,3625.519193,27.499532
L09,Prairie Works,west,1.166552,1.787427,88.114625,87.833236,-0.281389,96.28546,94.624116,-1.661344,44.599141,44.637432,0.038291,12.041381,12.02796,-0.013421,11232.199547,11038.395135,-193.804412,2733.460866,2737.457918,3.997052
L10,West Gateway,central,1.267114,1.774576,108.379471,108.701241,0.32177,123.983739,121.722226,-2.261514,45.71606,45.756559,0.040499,12.876716,12.889245,0.012529,15710.153189,15423.59361,-286.55958,3349.841078,3372.715451,22.874373
L11,Hill Market,east,1.397456,1.814158,118.310428,120.463183,2.152755,155.449285,172.467866,17.018581,47.903289,49.060026,1.156738,12.137694,12.212242,0.074548,21723.353661,26029.755495,4306.401835,3656.875277,3730.272039,73.396762
L12,Old Mill,east,1.345403,1.797371,103.156198,104.117528,0.96133,128.885005,126.357248,-2.527756,47.399549,47.443125,0.043576,11.987799,12.026505,0.038707,17340.227196,17000.142107,-340.08509,3166.789793,3205.959866,39.170073
