period,location_id,location_name,residents,employment,wage,rent,welfare_proxy,migration_adjustment_weight,housing_adjustment_weight,shock_location_id
0,L01,Harbor Core,64.681125,50.668091,39.440389,11.844365,1861.292372,0.0,0.0,L11
0,L02,North Rail,72.620084,58.626918,39.081438,10.544001,1977.674513,0.0,0.0,L11
0,L03,River Plant,77.775241,71.02383,41.351406,10.383295,2345.582219,0.0,0.0,L11
0,L04,Mesa Tech,87.265485,78.473873,42.679592,11.718095,2794.617664,0.0,0.0,L11
0,L05,South Port,79.56626,61.724521,39.931515,12.245167,2202.546268,0.0,0.0,L11
0,L06,Lake Junction,108.795007,99.625166,42.588172,11.372122,3352.552864,0.0,0.0,L11
0,L07,Cedar Loop,102.327889,94.30375,42.052866,12.520936,2965.747352,0.0,0.0,L11
0,L08,East University,114.228259,106.170436,44.29736,13.030324,3736.307673,0.0,0.0,L11
0,L09,Prairie Works,88.114625,96.28546,44.599141,12.041381,2866.726257,0.0,0.0,L11
0,L10,West Gateway,108.379471,123.983739,45.71606,12.876716,3634.806274,0.0,0.0,L11
0,L11,Hill Market,118.310428,155.449285,47.903289,12.137694,4226.724248,0.0,0.0,L11
0,L12,Old Mill,103.156198,128.885005,47.399549,11.987799,3611.683641,0.0,0.0,L11
1,L01,Harbor Core,64.540086,50.505103,39.447522,11.840797,1857.924395,0.205466,0.121905,L11
1,L02,North Rail,72.476707,58.435614,39.088675,10.540713,1974.532714,0.205466,0.121905,L11
1,L03,River Plant,77.627859,70.78958,41.358721,10.380079,2341.954842,0.205466,0.121905,L11
1,L04,Mesa Tech,87.157229,78.204249,42.687215,11.716149,2791.984819,0.205466,0.121905,L11
1,L05,South Port,79.459076,61.512862,39.939123,12.24304,2200.352694,0.205466,0.121905,L11
1,L06,Lake Junction,108.702188,99.274095,42.595992,11.37058,3350.710257,0.205466,0.121905,L11
1,L07,Cedar Loop,102.330241,93.958297,42.060998,12.520973,2966.643862,0.205466,0.121905,L11
1,L08,East University,114.317828,105.765422,44.305831,13.031713,3740.047042,0.205466,0.121905,L11
1,L09,Prairie Works,88.056809,95.944109,44.607008,12.039745,2865.682125,0.205466,0.121905,L11
1,L10,West Gateway,108.445584,123.519074,45.724381,12.878243,3637.760326,0.205466,0.121905,L11
1,L11,Hill Market,118.752747,158.946032,48.14096,12.146782,4269.671259,0.205466,0.121905,L11
1,L12,Old Mill,103.353719,128.365636,47.408502,11.992517,3619.036901,0.205466,0.121905,L11
2,L01,Harbor Core,64.428027,50.375603,39.453189,11.837665,1855.265478,0.368716,0.228948,L11
2,L02,North Rail,72.362789,58.283617,39.094424,10.537825,1972.054183,0.368716,0.228948,L11
2,L03,River Plant,77.510758,70.60346,41.364533,10.377256,2339.091383,0.368716,0.228948,L11
2,L04,Mesa Tech,87.071216,77.990023,42.693271,11.71444,2789.905617,0.368716,0.228948,L11
2,L05,South Port,79.373915,61.344692,39.945167,12.241173,2198.622444,0.368716,0.228948,L11
2,L06,Lake Junction,108.62844,98.995157,42.602205,11.369226,3349.259002,0.368716,0.228948,L11
2,L07,Cedar Loop,102.33211,93.683824,42.067459,12.521005,2967.355881,0.368716,0.228948,L11
2,L08,East University,114.388994,105.443626,44.312562,13.032933,3743.005723,0.368716,0.228948,L11
2,L09,Prairie Works,88.010872,95.672895,44.613259,12.038308,2864.863776,0.368716,0.228948,L11
2,L10,West Gateway,108.498113,123.149882,45.730992,12.879585,3640.094213,0.368716,0.228948,L11
2,L11,Hill Market,119.104184,161.724315,48.329797,12.154762,4303.847815,0.368716,0.228948,L11
2,L12,Old Mill,103.510656,127.95298,47.415616,11.996661,3624.839693,0.368716,0.228948,L11
3,L01,Harbor Core,64.338992,50.272711,39.457692,11.834914,1853.168314,0.498424,0.322943,L11
3,L02,North Rail,72.272277,58.16285,39.098993,10.535289,1970.100942,0.498424,0.322943,L11
3,L03,River Plant,77.417718,70.455582,41.369151,10.374776,2336.833093,0.498424,0.322943,L11
3,L04,Mesa Tech,87.002875,77.819814,42.698083,11.712939,2788.265092,0.498424,0.322943,L11
3,L05,South Port,79.306251,61.211075,39.94997,12.239533,2197.259118,0.498424,0.322943,L11
3,L06,Lake Junction,108.569845,98.773532,42.607141,11.368038,3348.117419,0.498424,0.322943,L11
3,L07,Cedar Loop,102.333595,93.465745,42.072592,12.521034,2967.921344,0.498424,0.322943,L11
3,L08,East University,114.445537,105.187948,44.31791,13.034004,3745.345391,0.498424,0.322943,L11
3,L09,Prairie Works,87.974374,95.457406,44.618226,12.037047,2864.223628,0.498424,0.322943,L11
3,L10,West Gateway,108.539849,122.856547,45.736245,12.880762,3641.936794,0.498424,0.322943,L11
3,L11,Hill Market,119.383413,163.931753,48.479835,12.161769,4331.013256,0.498424,0.322943,L11
3,L12,Old Mill,103.635348,127.62511,47.421268,12.000299,3629.41499,0.498424,0.322943,L11
4,L01,Harbor Core,64.26825,50.19096,39.46127,11.832499,1851.515899,0.601481,0.405479,L11
4,L02,North Rail,72.200363,58.066896,39.102622,10.533063,1968.563409,0.601481,0.405479,L11
4,L03,River Plant,77.343794,70.338088,41.37282,10.372599,2335.053889,0.601481,0.405479,L11
4,L04,Mesa Tech,86.948576,77.684577,42.701907,11.711622,2786.971926,0.601481,0.405479,L11
4,L05,South Port,79.25249,61.104912,39.953785,12.238093,2196.186148,0.601481,0.405479,L11
4,L06,Lake Junction,108.523289,98.597443,42.611064,11.366994,3347.220662,0.601481,0.405479,L11
4,L07,Cedar Loop,102.334774,93.292474,42.076671,12.521059,2968.37039,0.601481,0.405479,L11
4,L08,East University,114.490463,104.984803,44.322159,13.034944,3747.194434,0.601481,0.405479,L11
4,L09,Prairie Works,87.945375,95.286193,44.622172,12.035939,2863.723955,0.601481,0.405479,L11
4,L10,West Gateway,108.57301,122.623482,45.740419,12.881796,3643.390346,0.601481,0.405479,L11
4,L11,Hill Market,119.605269,165.685638,48.599045,12.167922,4352.584024,0.601481,0.405479,L11
4,L12,Old Mill,103.73442,127.364607,47.425759,12.003494,3633.019039,0.601481,0.405479,L11
5,L01,Harbor Core,64.212044,50.126006,39.464112,11.830378,1850.215355,0.683363,0.477954,L11
5,L02,North Rail,72.143224,57.990658,39.105506,10.531108,1967.354608,0.683363,0.477954,L11
5,L03,River Plant,77.28506,70.244735,41.375735,10.370687,2333.653695,0.683363,0.477954,L11
5,L04,Mesa Tech,86.905434,77.577126,42.704945,11.710465,2785.953633,0.683363,0.477954,L11
5,L05,South Port,79.209775,61.020562,39.956817,12.236828,2195.342766,0.683363,0.477954,L11
5,L06,Lake Junction,108.486298,98.457534,42.61418,11.366077,3346.517294,0.683363,0.477954,L11
5,L07,Cedar Loop,102.335712,93.154805,42.079912,12.521081,2968.726966,0.683363,0.477954,L11
5,L08,East University,114.526158,104.823397,44.325535,13.03577,3748.654774,0.683363,0.477954,L11
5,L09,Prairie Works,87.922334,95.150158,44.625307,12.034966,2863.334878,0.683363,0.477954,L11
5,L10,West Gateway,108.599357,122.438304,45.743735,12.882704,3644.536005,0.683363,0.477954,L11
5,L11,Hill Market,119.781542,167.079158,48.693761,12.173324,4369.696901,0.683363,0.477954,L11
5,L12,Old Mill,103.813136,127.157629,47.429327,12.006299,3635.855046,0.683363,0.477954,L11
6,L01,Harbor Core,64.167386,50.074398,39.466371,11.828515,1849.193003,0.748421,0.541594,L11
6,L02,North Rail,72.097826,57.930084,39.107797,10.529391,1966.405561,0.748421,0.541594,L11
6,L03,River Plant,77.238393,70.170563,41.378051,10.369009,2332.553128,0.748421,0.541594,L11
6,L04,Mesa Tech,86.871156,77.491753,42.707358,11.709449,2785.152705,0.748421,0.541594,L11
6,L05,South Port,79.175837,60.953543,39.959226,12.235718,2194.680774,0.748421,0.541594,L11
6,L06,Lake Junction,108.456908,98.346373,42.616656,11.365272,3345.966539,0.748421,0.541594,L11
6,L07,Cedar Loop,102.336456,93.045422,42.082486,12.5211,2969.010094,0.748421,0.541594,L11
6,L08,East University,114.554519,104.695155,44.328217,13.036495,3749.807288,0.748421,0.541594,L11
6,L09,Prairie Works,87.904027,95.042074,44.627799,12.034112,2863.032753,0.748421,0.541594,L11
6,L10,West Gateway,108.620291,122.291174,45.74637,12.883502,3645.438119,0.748421,0.541594,L11
6,L11,Hill Market,119.921596,168.186356,48.769016,12.178069,4383.261963,0.748421,0.541594,L11
6,L12,Old Mill,103.875678,126.993178,47.432162,12.008762,3638.084085,0.748421,0.541594,L11
7,L01,Harbor Core,64.131904,50.033393,39.468165,11.82688,1848.390429,0.800112,0.597476,L11
7,L02,North Rail,72.061755,57.881956,39.109618,10.527883,1965.661589,0.800112,0.597476,L11
7,L03,River Plant,77.201314,70.111631,41.379891,10.367535,2331.689254,0.800112,0.597476,L11
