worker_id,neighborhood_id,block_id,group,employer_id,industry,firm_quality,outside_observed_frame,skill_index,tenure_years,survey_response,missing_link_score,block_same_employer_contacts,block_peer_count,latent_local_employer_exposure,employed_next_year,wage,missing_link_risk
W001,N01,N01B01,A,E01,health,0.55,0,0.8285,5.051,1,0.0661,1,5,0.2,1,22.32,low
W002,N01,N01B01,B,E04,retail,-0.2,0,0.0118,1.6341,1,0.2487,1,5,0.2,0,17.96,medium
W003,N01,N01B01,B,E04,retail,-0.2,0,-0.7153,1.8209,0,0.3103,1,5,0.2,1,11.52,high
W004,N01,N01B01,A,E06,public,0.35,0,-0.2444,2.9041,1,0.107,1,5,0.2,0,17.91,low
W005,N01,N01B01,B,E06,public,0.35,0,0.5641,0.7704,1,0.2042,1,5,0.2,0,18.99,medium
W006,N01,N01B01,A,E01,health,0.55,0,1.3611,1.9303,0,0.2295,1,5,0.2,1,21.06,medium
W007,N01,N01B02,A,E06,public,0.35,0,1.2945,2.879,1,0.0398,1,5,0.2,1,21.74,low
W008,N01,N01B02,A,E01,health,0.55,0,1.3177,2.0537,1,0.1051,1,5,0.2,1,22.08,low
W009,N01,N01B02,A,E05,business,0.7,0,-0.1729,0.7271,1,0.0517,1,5,0.2,1,18.07,low
W010,N01,N01B02,B,E06,public,0.35,0,0.7729,1.6694,0,0.2945,1,5,0.2,0,19.19,high
W011,N01,N01B02,B,E05,business,0.7,0,-1.2403,1.3254,0,0.321,1,5,0.2,0,15.4,high
W012,N01,N01B02,B,E01,health,0.55,0,-0.7705,3.5487,1,0.1834,1,5,0.2,0,15.84,medium
W013,N01,N01B03,B,E06,public,0.35,0,-0.6878,1.1385,1,0.1754,1,5,0.2,0,15.5,medium
W014,N01,N01B03,A,E06,public,0.35,0,-0.3086,3.2467,1,0.1269,1,5,0.2,1,18.22,low
W015,N01,N01B03,B,E04,retail,-0.2,0,0.8082,1.1995,1,0.1881,1,5,0.2,0,16.92,medium
W016,N01,N01B03,A,E01,health,0.55,0,0.6864,2.5705,0,0.268,1,5,0.2,1,22.52,medium
W017,N01,N01B03,A,E01,health,0.55,0,0.2196,3.6534,1,0.1019,1,5,0.2,1,17.5,low
W018,N01,N01B03,B,E04,retail,-0.2,0,-1.0121,2.402,1,0.1211,1,5,0.2,0,12.95,low
W019,N01,N01B04,A,E05,business,0.7,0,0.3616,4.4457,1,0.1193,2,5,0.4,0,21.97,low
W020,N01,N01B04,B,E04,retail,-0.2,0,1.085,1.3639,1,0.2131,0,5,0.0,1,17.91,medium
W021,N01,N01B04,A,E05,business,0.7,0,1.5461,0.6186,0,0.2563,2,5,0.4,1,23.9,medium
W022,N01,N01B04,A,E01,health,0.55,0,-0.6498,2.8389,1,0.1214,1,5,0.2,1,17.15,low
W023,N01,N01B04,A,E05,business,0.7,0,-0.0084,0.9143,1,0.0474,2,5,0.4,0,22.54,low
W024,N01,N01B04,B,E01,health,0.55,0,1.5843,0.4029,1,0.2544,1,5,0.2,0,22.38,medium
W025,N02,N02B01,A,E02,logistics,0.2,0,0.2549,2.5557,1,0.0985,3,5,0.6,1,19.55,low
W026,N02,N02B01,B,E04,retail,-0.2,0,0.8612,0.4232,1,0.1723,0,5,0.0,1,15.29,medium
W027,N02,N02B01,A,E02,logistics,0.2,0,0.0282,4.2901,1,0.1305,3,5,0.6,0,17.63,low
W028,N02,N02B01,A,E09,logistics,-0.1,1,-0.0855,0.3076,1,0.2476,0,5,0.0,1,15.24,medium
W029,N02,N02B01,A,E02,logistics,0.2,0,-0.3283,3.8902,1,0.127,3,5,0.6,1,16.67,low
W030,N02,N02B01,B,E02,logistics,0.2,0,2.1428,2.0926,1,0.1528,3,5,0.6,0,24.19,low
W031,N02,N02B02,A,E03,manufacturing,0.1,0,-0.0534,0.3532,1,0.0835,0,5,0.0,0,18.07,low
W032,N02,N02B02,A,E04,retail,-0.2,0,-0.5008,1.2584,1,0.1033,2,5,0.4,0,13.68,low
W033,N02,N02B02,B,E04,retail,-0.2,0,0.093,2.2475,0,0.3093,2,5,0.4,1,17.06,high
W034,N02,N02B02,A,E04,retail,-0.2,0,0.5552,0.4693,1,0.147,2,5,0.4,1,20.95,low
W035,N02,N02B02,A,E09,logistics,-0.1,1,-0.8465,3.404,1,0.2981,1,5,0.2,0,16.34,high
W036,N02,N02B02,A,E09,logistics,-0.1,1,1.0886,0.8764,1,0.1278,1,5,0.2,0,20.45,low
W037,N02,N02B03,B,E04,retail,-0.2,0,0.9656,6.7539,1,0.1502,0,5,0.0,1,17.31,low
W038,N02,N02B03,B,E02,logistics,0.2,0,-1.7514,3.5775,1,0.1919,3,5,0.6,0,10.79,medium
W039,N02,N02B03,B,E02,logistics,0.2,0,-0.5875,1.9547,1,0.2354,3,5,0.6,1,15.83,medium
W040,N02,N02B03,A,E02,logistics,0.2,0,-0.3728,3.1739,1,0.1316,3,5,0.6,0,15.63,low
W041,N02,N02B03,A,E02,logistics,0.2,0,-0.9854,0.2714,1,0.1031,3,5,0.6,0,15.35,low
W042,N02,N02B03,A,E03,manufacturing,0.1,0,0.6394,2.7333,1,0.1169,0,5,0.0,1,20.64,low
W043,N02,N02B04,A,E03,manufacturing,0.1,0,1.4295,2.6165,1,0.0816,2,5,0.4,1,21.65,low
W044,N02,N02B04,B,E04,retail,-0.2,0,-0.4847,2.5415,1,0.2393,1,5,0.2,0,14.76,medium
W045,N02,N02B04,A,E03,manufacturing,0.1,0,-0.2517,3.6812,1,0.0881,2,5,0.4,0,16.37,low
W046,N02,N02B04,B,E04,retail,-0.2,0,1.0948,2.5135,1,0.1973,1,5,0.2,0,17.82,medium
W047,N02,N02B04,B,E03,manufacturing,0.1,0,0.9756,3.188,0,0.3085,2,5,0.4,0,20.57,high
W048,N02,N02B04,A,E09,logistics,-0.1,1,-0.5685,1.9171,1,0.2074,0,5,0.0,0,16.51,medium
W049,N03,N03B01,A,E01,health,0.55,0,0.9322,1.4138,0,0.2195,2,5,0.4,0,19.11,medium
W050,N03,N03B01,B,E01,health,0.55,0,1.3891,1.505,1,0.1515,2,5,0.4,0,21.42,low
W051,N03,N03B01,B,E01,health,0.55,0,-0.2865,0.8142,0,0.2661,2,5,0.4,1,17.29,medium
W052,N03,N03B01,A,E05,business,0.7,0,-0.2388,1.9801,1,0.1081,0,5,0.0,0,20.25,low
W053,N03,N03B01,A,E08,construction,0.0,0,0.5674,1.6534,1,0.0753,0,5,0.0,0,19.38,low
W054,N03,N03B01,B,E10,logistics,0.3,1,-1.0311,2.167,0,0.4367,0,5,0.0,1,15.83,high
W055,N03,N03B02,A,E01,health,0.55,0,1.0122,1.1423,1,0.1172,3,5,0.6,1,22.83,low
W056,N03,N03B02,B,E01,health,0.55,0,-0.5698,2.073,1,0.1902,3,5,0.6,0,17.43,medium
W057,N03,N03B02,A,E01,health,0.55,0,-0.2588,0.9747,1,0.1231,3,5,0.6,0,21.36,low
W058,N03,N03B02,B,E10,logistics,0.3,1,0.1754,1.0039,1,0.3284,0,5,0.0,1,16.85,high
W059,N03,N03B02,A,E08,construction,0.0,0,-0.0127,2.166,1,0.1163,0,5,0.0,1,15.97,low
W060,N03,N03B02,A,E01,health,0.55,0,-0.348,5.8759,1,0.1131,3,5,0.6,1,17.97,low
W061,N03,N03B03,B,E01,health,0.55,0,-0.2532,0.9785,1,0.1781,2,5,0.4,0,18.14,medium
W062,N03,N03B03,B,E01,health,0.55,0,-0.024,0.8414,1,0.1688,2,5,0.4,0,17.9,medium
