neighborhood_id,employer_id,industry,worker_count,neighborhood_worker_count,employed_next_year_rate,mean_wage,outside_observed_frame,neighborhood_employer_share
N01,E01,health,8,24,0.75,20.10625,0,0.333333
N01,E06,public,6,24,0.333333,18.591667,0,0.25
N01,E04,retail,5,24,0.4,15.452,0,0.208333
N01,E05,business,5,24,0.4,20.376,0,0.208333
N02,E02,logistics,8,24,0.375,16.955,0,0.333333
N02,E04,retail,7,24,0.571429,16.695714,0,0.291667
N02,E03,manufacturing,5,24,0.4,19.46,0,0.208333
N02,E09,logistics,4,24,0.25,17.135,1,0.166667
N03,E01,health,11,24,0.454545,19.342727,0,0.458333
N03,E08,construction,5,24,0.6,17.826,0,0.208333
N03,E10,logistics,5,24,0.6,17.592,1,0.208333
N03,E05,business,3,24,0.0,19.676667,0,0.125
N04,E03,manufacturing,9,24,0.666667,18.458889,0,0.375
N04,E07,hospitality,6,24,0.5,15.215,0,0.25
N04,E09,logistics,5,24,0.2,15.756,1,0.208333
N04,E02,logistics,4,24,0.5,17.315,0,0.166667
N05,E05,business,8,24,0.625,21.35625,0,0.333333
N05,E04,retail,6,24,0.333333,16.331667,0,0.25
N05,E06,public,6,24,0.333333,18.376667,0,0.25
N05,E01,health,4,24,0.0,18.7925,0,0.166667
N06,E07,hospitality,9,24,0.777778,16.94,0,0.375
N06,E08,construction,6,24,0.5,15.975,0,0.25
N06,E02,logistics,5,24,0.2,17.598,0,0.208333
N06,E10,logistics,4,24,0.25,17.105,1,0.166667
