worker_id,group,block_id,neighborhood_id,employer_id,industry,employed_next_year,wage,survey_response,missing_link_risk,outside_observed_frame,degree,strength,same_group_edge_count,local_peer_count,local_employer_exposure,weighted_local_exposure,same_group_edge_share,component_size,relation_label
W001,A,N01B01,N01,E01,health,1,22.32,1,low,0,1.0,1.9303,1.0,5.0,0.2,0.38606,1.0,2,block_same_employer
W002,B,N01B01,N01,E04,retail,0,17.96,1,medium,0,1.0,1.6341,1.0,5.0,0.2,0.32682,1.0,2,block_same_employer
W003,B,N01B01,N01,E04,retail,1,11.52,0,high,0,1.0,1.6341,1.0,5.0,0.2,0.32682,1.0,2,block_same_employer
W004,A,N01B01,N01,E06,public,0,17.91,1,low,0,1.0,0.7704,0.0,5.0,0.2,0.15408,0.0,2,block_same_employer
W005,B,N01B01,N01,E06,public,0,18.99,1,medium,0,1.0,0.7704,0.0,5.0,0.2,0.15408,0.0,2,block_same_employer
W006,A,N01B01,N01,E01,health,1,21.06,0,medium,0,1.0,1.9303,1.0,5.0,0.2,0.38606,1.0,2,block_same_employer
W007,A,N01B02,N01,E06,public,1,21.74,1,low,0,1.0,1.6694,0.0,5.0,0.2,0.33388,0.0,2,block_same_employer
W008,A,N01B02,N01,E01,health,1,22.08,1,low,0,1.0,2.0537,0.0,5.0,0.2,0.41074,0.0,2,block_same_employer
W009,A,N01B02,N01,E05,business,1,18.07,1,low,0,1.0,0.7271,0.0,5.0,0.2,0.14542,0.0,2,block_same_employer
W010,B,N01B02,N01,E06,public,0,19.19,0,high,0,1.0,1.6694,0.0,5.0,0.2,0.33388,0.0,2,block_same_employer
W011,B,N01B02,N01,E05,business,0,15.4,0,high,0,1.0,0.7271,0.0,5.0,0.2,0.14542,0.0,2,block_same_employer
W012,B,N01B02,N01,E01,health,0,15.84,1,medium,0,1.0,2.0537,0.0,5.0,0.2,0.41074,0.0,2,block_same_employer
