worker_i,worker_j,boundary_col,boundary_id,relation,weight,same_group,employer_i,employer_j,industry_i,industry_j
W001,W006,block_id,N01B01,same_employer,1.9303,1,E01,E01,health,health
W002,W003,block_id,N01B01,same_employer,1.6341,1,E04,E04,retail,retail
W004,W005,block_id,N01B01,same_employer,0.7704,0,E06,E06,public,public
W007,W010,block_id,N01B02,same_employer,1.6694,0,E06,E06,public,public
W008,W012,block_id,N01B02,same_employer,2.0537,0,E01,E01,health,health
W009,W011,block_id,N01B02,same_employer,0.7271,0,E05,E05,business,business
W013,W014,block_id,N01B03,same_employer,1.1385,0,E06,E06,public,public
W015,W018,block_id,N01B03,same_employer,1.1995,1,E04,E04,retail,retail
W016,W017,block_id,N01B03,same_employer,2.5705,1,E01,E01,health,health
W019,W021,block_id,N01B04,same_employer,0.6186,1,E05,E05,business,business
W019,W023,block_id,N01B04,same_employer,0.9143,1,E05,E05,business,business
W021,W023,block_id,N01B04,same_employer,0.6186,1,E05,E05,business,business
W022,W024,block_id,N01B04,same_employer,0.4029,0,E01,E01,health,health
W025,W027,block_id,N02B01,same_employer,2.5557,1,E02,E02,logistics,logistics
W025,W029,block_id,N02B01,same_employer,2.5557,1,E02,E02,logistics,logistics
W025,W030,block_id,N02B01,same_employer,2.0926,0,E02,E02,logistics,logistics
W027,W029,block_id,N02B01,same_employer,3.8902,1,E02,E02,logistics,logistics
W027,W030,block_id,N02B01,same_employer,2.0926,0,E02,E02,logistics,logistics
W029,W030,block_id,N02B01,same_employer,2.0926,0,E02,E02,logistics,logistics
W032,W033,block_id,N02B02,same_employer,1.2584,0,E04,E04,retail,retail
W032,W034,block_id,N02B02,same_employer,0.4693,1,E04,E04,retail,retail
W033,W034,block_id,N02B02,same_employer,0.4693,0,E04,E04,retail,retail
W035,W036,block_id,N02B02,same_employer,0.8764,1,E09,E09,logistics,logistics
W038,W039,block_id,N02B03,same_employer,1.9547,1,E02,E02,logistics,logistics
W038,W040,block_id,N02B03,same_employer,3.1739,0,E02,E02,logistics,logistics
W038,W041,block_id,N02B03,same_employer,0.2714,0,E02,E02,logistics,logistics
W039,W040,block_id,N02B03,same_employer,1.9547,0,E02,E02,logistics,logistics
W039,W041,block_id,N02B03,same_employer,0.2714,0,E02,E02,logistics,logistics
W040,W041,block_id,N02B03,same_employer,0.2714,1,E02,E02,logistics,logistics
W043,W045,block_id,N02B04,same_employer,2.6165,1,E03,E03,manufacturing,manufacturing
W043,W047,block_id,N02B04,same_employer,2.6165,0,E03,E03,manufacturing,manufacturing
