applicant_id,applicant_group,in_degree,unique_referrers,mean_tie_strength,hired_any,referral_success_rate
A040,B,5,5,0.58726,1,0.6
A063,B,5,5,0.5496,1,0.8
A005,A,3,3,0.842833,1,0.666667
A050,A,3,3,0.6467,1,0.333333
A025,A,3,3,0.645633,1,0.333333
A053,A,3,3,0.644967,0,0.0
A042,B,3,3,0.6432,1,0.333333
A003,A,3,3,0.569,1,0.333333
A034,B,3,3,0.504767,1,0.666667
A072,A,3,3,0.431333,1,0.666667
A002,B,3,3,0.253467,1,0.666667
A032,B,3,3,0.159833,1,0.666667
A067,B,2,2,0.8893,1,0.5
A030,B,2,2,0.80025,1,0.5
A015,B,2,2,0.7862,1,1.0
A041,A,2,2,0.75505,1,1.0
A074,A,2,2,0.72255,1,1.0
A048,A,2,2,0.6804,1,1.0
A066,B,2,2,0.62575,1,0.5
A031,A,2,2,0.6006,0,0.0
A047,A,2,2,0.5815,1,0.5
A018,A,2,1,0.46995,1,1.0
A019,A,2,1,0.4593,1,1.0
A033,A,2,2,0.4535,1,0.5
A036,A,2,2,0.45305,1,1.0
A008,A,2,2,0.4487,1,0.5
A035,A,2,2,0.433,1,0.5
A026,A,2,2,0.32625,0,0.0
A037,B,2,2,0.326,0,0.0
A007,A,1,1,0.9021,0,0.0
A054,B,1,1,0.8473,1,1.0
A027,B,1,1,0.8234,1,1.0
A069,B,1,1,0.7962,1,1.0
A059,B,1,1,0.784,0,0.0
A023,B,1,1,0.7683,0,0.0
A051,B,1,1,0.7666,1,1.0
A061,A,1,1,0.7537,1,1.0
A006,B,1,1,0.7182,0,0.0
A014,B,1,1,0.71,0,0.0
A071,A,1,1,0.6197,1,1.0
A065,B,1,1,0.6169,0,0.0
A010,B,1,1,0.587,0,0.0
A017,B,1,1,0.5768,1,1.0
A057,A,1,1,0.5562,1,1.0
A064,B,1,1,0.5537,0,0.0
A021,A,1,1,0.533,1,1.0
A020,A,1,1,0.5313,1,1.0
A060,B,1,1,0.5146,0,0.0
A044,A,1,1,0.4675,1,1.0
A049,B,1,1,0.3762,1,1.0
A068,A,1,1,0.3551,0,0.0
A009,A,1,1,0.3422,0,0.0
A028,B,1,1,0.3206,1,1.0
A029,A,1,1,0.2857,1,1.0
A073,B,1,1,0.1498,0,0.0
