referrer_worker_id,referrer_group,out_degree,unique_applicants,mean_tie_strength,referral_success_rate,same_group_referral_share
W097,A,11,10,0.478955,0.636364,0.545455
W006,A,5,5,0.67958,0.4,0.6
W007,A,5,5,0.55166,0.4,0.2
W128,A,4,4,0.55735,0.75,0.25
W065,A,4,4,0.700875,0.5,0.75
W112,A,4,4,0.5449,0.5,0.5
W136,A,4,4,0.2825,0.5,0.75
W043,A,4,4,0.428675,0.25,0.5
W086,A,4,4,0.5592,0.25,0.5
W106,A,3,2,0.4387,1.0,0.666667
W125,A,3,3,0.571867,1.0,0.666667
W119,B,3,3,0.521567,0.666667,0.0
W124,B,3,3,0.7567,0.666667,0.666667
W081,B,2,2,0.64895,1.0,0.5
W091,B,2,2,0.96345,1.0,0.5
W117,A,2,2,0.58795,1.0,1.0
W026,B,2,2,0.67345,0.5,0.5
W064,B,2,2,0.68855,0.5,1.0
W069,A,2,2,0.785,0.5,0.5
W098,A,2,2,0.5804,0.5,1.0
W101,A,2,2,0.26755,0.5,0.5
W132,A,2,2,0.552,0.5,0.5
W008,A,2,2,0.7142,0.0,0.0
W025,A,2,2,0.66535,0.0,1.0
W016,A,1,1,0.1788,1.0,0.0
W017,A,1,1,0.6434,1.0,1.0
W022,A,1,1,0.5031,1.0,0.0
W042,A,1,1,0.5367,1.0,0.0
W058,B,1,1,0.7592,1.0,1.0
W060,A,1,1,0.7962,1.0,0.0
W063,A,1,1,0.5768,1.0,0.0
W102,A,1,1,0.7537,1.0,1.0
W121,A,1,1,0.2261,1.0,1.0
W126,B,1,1,0.5912,1.0,1.0
W133,A,1,1,0.4875,1.0,1.0
W141,B,1,1,0.8683,1.0,1.0
W020,B,1,1,0.587,0.0,1.0
W021,A,1,1,0.7088,0.0,1.0
W028,A,1,1,0.447,0.0,1.0
W033,B,1,1,0.1498,0.0,1.0
W034,A,1,1,0.3876,0.0,1.0
W078,B,1,1,0.5836,0.0,0.0
W080,B,1,1,0.5837,0.0,1.0
W082,A,1,1,0.5969,0.0,1.0
W123,A,1,1,0.784,0.0,0.0
