referral_id,referrer_worker_id,applicant_id,referrer_group,applicant_group,firm_id,referral_month,tie_strength,same_group_referral,hired
R010,W043,A063,A,B,E03,2021-01,0.5158,0,0
R011,W101,A026,A,A,E06,2021-01,0.2055,1,0
R021,W128,A034,A,B,E02,2021-01,0.1693,0,1
R026,W126,A002,B,B,E07,2021-01,0.5912,1,1
R027,W063,A017,A,B,E08,2021-01,0.5768,0,1
R032,W006,A053,A,A,E01,2021-01,0.6569,1,0
R042,W132,A005,A,A,E07,2021-01,0.825,1,0
R064,W106,A049,A,B,E05,2021-01,0.3762,0,1
R080,W043,A033,A,A,E03,2021-01,0.1632,1,0
R081,W102,A061,A,A,E05,2021-01,0.7537,1,1
R001,W097,A002,A,B,E05,2021-02,0.1481,0,1
R012,W124,A035,B,A,E10,2021-02,0.4784,0,1
R036,W098,A008,A,A,E06,2021-02,0.417,1,0
R043,W125,A028,A,B,E07,2021-02,0.3206,0,1
R072,W097,A048,A,A,E05,2021-02,0.6176,1,1
R073,W064,A064,B,B,E10,2021-02,0.5537,1,0
R075,W081,A051,B,B,E02,2021-02,0.7666,1,1
R004,W007,A037,A,B,E06,2021-03,0.304,0,0
R013,W097,A019,A,A,E05,2021-03,0.5573,1,1
R031,W136,A068,A,A,E07,2021-03,0.3551,1,0
R034,W065,A047,A,A,E01,2021-03,0.4694,1,0
R041,W007,A065,A,B,E06,2021-03,0.6169,0,0
R050,W097,A066,A,B,E05,2021-03,0.4923,0,0
R054,W132,A032,A,B,E07,2021-03,0.279,0,1
R077,W065,A015,A,B,E01,2021-03,0.7179,0,1
R078,W069,A023,A,B,E08,2021-03,0.7683,0,0
R087,W141,A042,B,B,E07,2021-03,0.8683,1,1
R091,W112,A040,A,B,E04,2021-03,0.2469,0,0
R015,W097,A014,A,B,E05,2021-04,0.71,0,0
R025,W106,A018,A,A,E05,2021-04,0.5202,1,1
R044,W026,A025,B,A,E04,2021-04,0.5132,0,0
R070,W064,A027,B,B,E10,2021-04,0.8234,1,1
R094,W136,A044,A,A,E07,2021-04,0.4675,1,1
R008,W086,A072,A,A,E03,2021-05,0.5075,1,0
R014,W124,A067,B,B,E10,2021-05,0.9449,1,0
R033,W136,A029,A,A,E07,2021-05,0.2857,1,1
R035,W098,A033,A,A,E06,2021-05,0.7438,1,1
R037,W043,A034,A,B,E03,2021-05,0.3942,0,1
R045,W060,A069,A,B,E01,2021-05,0.7962,0,1
R047,W091,A005,B,A,E03,2021-05,0.9469,0,1
R056,W006,A047,A,A,E01,2021-05,0.6936,1,1
R057,W117,A057,A,A,E05,2021-05,0.5562,1,1
R062,W080,A042,B,B,E09,2021-05,0.5837,1,0
R076,W097,A003,A,A,E05,2021-05,0.3023,1,1
R006,W128,A040,A,B,E02,2021-06,0.6853,0,1
R017,W006,A003,A,A,E01,2021-06,0.6783,1,0
R024,W128,A041,A,A,E02,2021-06,0.6211,1,1
R059,W058,A066,B,B,E10,2021-06,0.7592,1,1
R068,W097,A019,A,A,E05,2021-06,0.3613,1,1
R089,W065,A025,A,A,E01,2021-06,0.7272,1,0
R090,W078,A050,B,A,E02,2021-06,0.5836,0,0
R095,W136,A032,A,B,E07,2021-06,0.0217,0,0
R005,W097,A008,A,A,E05,2021-07,0.4804,1,1
R020,W006,A015,A,B,E01,2021-07,0.8545,0,1
R030,W123,A059,A,B,E08,2021-07,0.784,0,0
R038,W086,A007,A,A,E03,2021-07,0.9021,1,0
R052,W025,A003,A,A,E02,2021-07,0.7264,1,0
R058,W119,A025,B,A,E04,2021-07,0.6965,0,1
R065,W086,A002,A,B,E03,2021-07,0.0211,0,0
R066,W026,A067,B,B,E04,2021-07,0.8337,1,1
R074,W106,A018,A,A,E05,2021-07,0.4197,1,1
R082,W112,A048,A,A,E04,2021-07,0.7432,1,1
R084,W125,A050,A,A,E07,2021-07,0.715,1,1
R086,W112,A009,A,A,E04,2021-07,0.3422,1,0
R019,W042,A063,A,B,E03,2021-08,0.5367,0,1
R028,W007,A040,A,B,E06,2021-08,0.6949,0,0
R029,W034,A035,A,A,E04,2021-08,0.3876,1,0
R051,W065,A041,A,A,E01,2021-08,0.889,1,1
R060,W086,A040,A,B,E03,2021-08,0.8061,0,1
R083,W124,A030,B,B,E10,2021-08,0.8468,1,1
R093,W121,A036,A,A,E07,2021-08,0.2261,1,1
R099,W008,A042,A,B,E01,2021-08,0.4776,0,0
R039,W081,A020,B,A,E02,2021-09,0.5313,0,1
R046,W097,A037,A,B,E05,2021-09,0.348,0,0
