source_worker_id,target_worker_id,team_id,same_group,same_role,tie_strength
W001,W002,T01,1,1,0.4298
W002,W001,T01,1,1,0.4298
W001,W003,T01,0,0,0.3754
W003,W001,T01,0,0,0.3754
W001,W004,T01,1,0,0.3984
W004,W001,T01,1,0,0.3984
W001,W007,T01,1,0,0.7482
W007,W001,T01,1,0,0.7482
W001,W008,T01,0,0,0.4354
W008,W001,T01,0,0,0.4354
W002,W003,T01,0,0,0.7857
W003,W002,T01,0,0,0.7857
W002,W004,T01,1,0,0.5631
W004,W002,T01,1,0,0.5631
W002,W005,T01,0,1,0.4191
W005,W002,T01,0,1,0.4191
W002,W007,T01,1,0,0.5263
W007,W002,T01,1,0,0.5263
W002,W008,T01,0,0,0.4154
W008,W002,T01,0,0,0.4154
W002,W010,T01,0,0,0.5069
W010,W002,T01,0,0,0.5069
W003,W005,T01,1,0,0.7054
W005,W003,T01,1,0,0.7054
W003,W006,T01,1,1,0.5186
W006,W003,T01,1,1,0.5186
W003,W008,T01,1,1,0.6102
W008,W003,T01,1,1,0.6102
W003,W009,T01,0,0,0.9369
W009,W003,T01,0,0,0.9369
W003,W011,T01,1,1,0.4632
W011,W003,T01,1,1,0.4632
W004,W005,T01,0,0,0.4734
W005,W004,T01,0,0,0.4734
W004,W006,T01,0,1,0.5616
W006,W004,T01,0,1,0.5616
W004,W008,T01,0,1,0.4591
W008,W004,T01,0,1,0.4591
W004,W011,T01,0,1,0.4128
W011,W004,T01,0,1,0.4128
W004,W012,T01,0,1,0.192
W012,W004,T01,0,1,0.192
W005,W006,T01,1,0,0.396
W006,W005,T01,1,0,0.396
W005,W007,T01,0,0,0.6716
W007,W005,T01,0,0,0.6716
W005,W011,T01,1,0,0.457
W011,W005,T01,1,0,0.457
W006,W007,T01,0,1,0.6487
W007,W006,T01,0,1,0.6487
W006,W008,T01,1,1,0.7974
W008,W006,T01,1,1,0.7974
W006,W009,T01,0,0,0.357
W009,W006,T01,0,0,0.357
W006,W010,T01,1,1,0.7387
W010,W006,T01,1,1,0.7387
W006,W011,T01,1,1,0.3966
W011,W006,T01,1,1,0.3966
W006,W012,T01,1,1,0.7045
W012,W006,T01,1,1,0.7045
W007,W008,T01,0,1,0.1935
W008,W007,T01,0,1,0.1935
W007,W009,T01,1,0,0.6944
W009,W007,T01,1,0,0.6944
W007,W011,T01,0,1,0.3183
W011,W007,T01,0,1,0.3183
W007,W012,T01,0,1,0.8088
W012,W007,T01,0,1,0.8088
W010,W012,T01,1,1,0.6037
W012,W010,T01,1,1,0.6037
W013,W015,T02,1,1,0.4152
W015,W013,T02,1,1,0.4152
W013,W019,T02,1,1,0.5729
W019,W013,T02,1,1,0.5729
W013,W020,T02,1,1,0.5138
W020,W013,T02,1,1,0.5138
W013,W021,T02,1,0,0.5847
W021,W013,T02,1,0,0.5847
W013,W022,T02,0,1,0.2349
W022,W013,T02,0,1,0.2349
W013,W023,T02,0,1,0.2141
W023,W013,T02,0,1,0.2141
W013,W024,T02,0,1,0.5135
W024,W013,T02,0,1,0.5135
W014,W015,T02,0,0,0.98
W015,W014,T02,0,0,0.98
W014,W017,T02,1,1,0.6239
W017,W014,T02,1,1,0.6239
