worker_id,team_id,seat,group,role,assigned_treatment_prob,saturation_cell,treated,baseline_skill,tenure_years,team_shock,outside_team_contact_count,productivity,retained_next_period
W001,T01,1,A,senior,0.25,low,0,0.5879,4.8571,1.0773,0,57.9764,0
W002,T01,2,A,senior,0.25,low,1,0.4546,2.4758,1.0773,1,67.6886,1
W003,T01,3,B,junior,0.25,low,0,-0.7986,0.4732,1.0773,1,50.6737,0
W004,T01,4,A,junior,0.25,low,0,1.0831,1.2624,1.0773,0,55.1487,0
W005,T01,5,B,senior,0.25,low,0,1.0717,6.4232,1.0773,1,61.8347,0
W006,T01,6,B,junior,0.25,low,0,-0.7396,3.1203,1.0773,0,51.5434,1
W007,T01,7,A,junior,0.25,low,1,0.6652,1.0786,1.0773,0,55.3212,1
W008,T01,8,B,junior,0.25,low,0,0.5094,2.4269,1.0773,0,53.7712,0
W009,T01,9,A,senior,0.25,low,0,-0.5641,3.2832,1.0773,1,55.5717,0
W010,T01,10,B,junior,0.25,low,1,0.2158,1.6151,1.0773,0,55.9573,0
W011,T01,11,B,junior,0.25,low,0,-0.6575,3.9497,1.0773,0,51.9302,0
W012,T01,12,B,junior,0.25,low,0,1.1167,5.4924,1.0773,0,59.607,0
W013,T02,1,B,junior,0.25,low,0,-0.215,1.1825,-0.2135,0,52.7087,0
W014,T02,2,A,senior,0.25,low,0,-0.6277,1.9657,-0.2135,0,53.6201,0
W015,T02,3,B,junior,0.25,low,0,0.5065,1.7858,-0.2135,0,54.0831,1
W016,T02,4,A,senior,0.25,low,0,-1.3653,2.54,-0.2135,2,50.8552,1
W017,T02,5,A,senior,0.25,low,0,0.0003,1.1706,-0.2135,1,56.2682,0
W018,T02,6,A,junior,0.25,low,0,0.3764,4.6602,-0.2135,1,56.1902,0
W019,T02,7,B,junior,0.25,low,1,-0.0738,0.9055,-0.2135,0,53.0024,0
W020,T02,8,B,junior,0.25,low,0,0.2932,1.8209,-0.2135,0,55.2104,1
W021,T02,9,B,senior,0.25,low,0,-0.1641,1.5667,-0.2135,1,53.6085,0
W022,T02,10,A,junior,0.25,low,0,0.5658,0.2,-0.2135,1,54.4337,0
W023,T02,11,A,junior,0.25,low,1,0.0899,1.709,-0.2135,0,54.1386,0
W024,T02,12,A,junior,0.25,low,0,-0.5775,0.2,-0.2135,0,49.9993,0
W025,T03,1,B,junior,0.4,low,0,0.9365,2.2134,-0.4378,0,51.9122,0
W026,T03,2,B,senior,0.4,low,0,-0.3385,3.0767,-0.4378,1,54.7366,1
W027,T03,3,B,senior,0.4,low,0,1.2513,1.3583,-0.4378,0,54.355,0
W028,T03,4,A,junior,0.4,low,1,-0.3301,3.0575,-0.4378,1,56.8839,0
W029,T03,5,A,senior,0.4,low,1,-0.2043,6.0243,-0.4378,0,59.3759,0
W030,T03,6,A,junior,0.4,low,0,0.255,1.5962,-0.4378,0,51.8565,0
W031,T03,7,B,junior,0.4,low,0,-1.2601,0.2,-0.4378,0,46.1146,0
