worker_id,team_id,group,role,treated,assigned_treatment_prob,team_treated_share_loo,graph_treated_share,weighted_graph_treated_share,treated_senior_neighbor,team_peer_productivity_loo,graph_peer_productivity,productivity,retained_next_period
W001,T01,A,senior,0,0.25,0.272727,0.4,0.493465,1,56.277064,56.505534,57.9764,0
W002,T01,A,senior,1,0.25,0.181818,0.285714,0.283356,0,55.394136,55.266598,67.6886,1
W003,T01,B,junior,0,0.25,0.272727,0.142857,0.178755,1,56.940945,57.839163,50.6737,0
W004,T01,A,junior,0,0.25,0.272727,0.142857,0.183996,1,56.534127,57.835661,55.1487,0
W005,T01,B,senior,0,0.25,0.272727,0.333333,0.349303,1,55.926309,54.929678,61.8347,0
W006,T01,B,junior,0,0.25,0.272727,0.222222,0.271024,0,56.861882,55.53024,51.5434,1
W007,T01,A,junior,1,0.25,0.181818,0.125,0.11417,1,56.518445,58.071951,55.3212,1
W008,T01,B,junior,0,0.25,0.272727,0.333333,0.209172,1,56.659355,55.446921,53.7712,0
W009,T01,A,senior,0,0.25,0.272727,0.333333,0.349243,0,56.495673,52.452962,55.5717,0
W010,T01,B,junior,1,0.25,0.181818,0.333333,0.274104,1,56.460618,58.601204,55.9573,0
W011,T01,B,junior,0,0.25,0.272727,0.2,0.155428,0,56.826718,54.957151,51.9302,0
W012,T01,B,junior,0,0.25,0.272727,0.5,0.611737,0,56.128827,54.320522,59.607,0
W013,T02,B,junior,0,0.25,0.181818,0.285714,0.258109,0,53.764518,53.322148,52.7087,0
W014,T02,A,senior,0,0.25,0.181818,0.2,0.231653,0,53.681664,53.869686,53.6201,0
W015,T02,B,junior,0,0.25,0.181818,0.166667,0.191017,0,53.639573,53.49399,54.0831,1
W016,T02,A,senior,0,0.25,0.181818,0.333333,0.181474,0,53.933018,52.836396,50.8552,1
W017,T02,A,senior,0,0.25,0.181818,0.333333,0.336181,0,53.440927,53.761637,56.2682,0
W018,T02,A,junior,0,0.25,0.181818,0.25,0.211543,0,53.448018,53.438718,56.1902,0
W019,T02,B,junior,1,0.25,0.090909,0.0,0.0,0,53.737818,53.997066,53.0024,0
W020,T02,B,junior,0,0.25,0.181818,0.166667,0.115323,0,53.537091,52.71497,55.2104,1
W021,T02,B,senior,0,0.25,0.181818,0.4,0.368997,0,53.682718,53.95922,53.6085,0
W022,T02,A,junior,0,0.25,0.181818,0.25,0.134482,0,53.6077,55.517747,54.4337,0
W023,T02,A,junior,1,0.25,0.090909,0.0,0.0,0,53.634527,54.048457,54.1386,0
