draw,permuted_graph_exposure_estimate
1,7.219467
2,5.63723
3,5.473429
4,6.255448
5,5.430579
6,6.003967
7,6.785612
8,5.291921
9,5.56373
10,5.905113
11,6.507925
12,4.522201
13,5.832714
14,5.565225
15,5.961668
16,5.816665
17,4.721679
18,5.438265
19,5.409686
20,5.044928
21,6.125778
22,6.064601
23,5.38558
24,7.278841
25,6.997786
26,6.324775
27,6.284785
28,6.090355
29,4.104213
30,4.569243
31,4.91635
32,5.438421
33,5.633314
34,6.955621
35,6.200107
36,4.16024
37,6.841686
38,7.049483
39,5.409583
40,5.179399
41,6.604275
42,4.646441
43,5.167818
44,4.983201
45,6.615248
46,4.425326
47,7.016816
48,6.665786
49,6.261922
50,6.479087
51,5.343619
52,5.715401
53,4.443326
54,6.624722
55,5.188691
56,6.145806
57,6.917892
58,6.171514
59,5.684202
60,4.977523
61,5.52771
62,5.727692
63,5.001565
64,4.631264
65,4.685469
66,5.429855
67,5.761032
68,5.505125
69,6.599712
70,5.712533
71,5.442773
72,5.433095
73,7.236191
74,6.139739
75,6.134812
76,4.367946
77,5.769059
78,5.577335
79,5.833805
80,5.950846
81,5.804514
82,5.676608
83,6.268342
84,5.917371
85,5.538864
86,6.773151
87,5.258353
88,4.943768
89,6.308042
90,6.521945
91,7.882866
92,4.509596
93,6.47366
94,5.513945
95,6.975854
96,6.448508
97,4.808121
98,4.999398
99,5.711418
100,5.756851
101,4.481315
102,5.534676
103,5.92177
104,3.184287
105,5.452533
106,5.485894
107,4.989714
108,4.862895
109,4.669712
110,5.236734
111,5.506897
112,5.435528
113,4.834143
114,4.816025
115,4.637654
116,6.901432
117,4.464248
118,5.257244
119,5.012949
120,6.338002
121,5.107036
122,6.529368
123,5.406526
124,4.442838
125,5.143726
126,5.560274
127,5.491607
128,4.534196
129,5.928883
130,5.597022
131,6.020022
132,5.425455
133,5.238199
134,5.169023
135,4.797809
136,5.344146
137,3.774325
138,5.206956
139,5.911956
140,5.061438
141,4.910857
142,5.513679
143,5.398749
144,5.313831
145,5.379162
146,5.607286
147,5.505299
148,5.654281
149,4.789545
150,5.643416
151,5.588186
152,5.390686
153,5.286849
154,5.468027
155,4.413948
156,5.525568
157,4.917398
158,6.698051
159,5.96556
160,6.071328
161,4.666288
162,5.395571
163,6.360692
164,5.680833
165,6.292201
166,4.643462
167,6.010572
168,5.995946
169,5.496191
170,5.836606
171,6.380943
172,5.152892
173,5.579178
174,4.862017
175,5.82107
176,6.171721
177,4.667891
178,6.76637
179,5.498022
180,6.304943
181,4.982527
182,4.926678
183,5.856766
184,5.039127
185,5.181924
186,6.669791
187,5.538309
188,6.010116
189,6.578712
190,5.61769
191,4.699236
192,5.889238
193,6.822977
194,5.075846
195,5.057665
196,6.306483
197,6.159077
198,6.370377
199,6.420398
200,4.857725
