applicant_id,applicant_group,in_degree,unique_referrers,mean_tie_strength,callback_any,callback_rate
A001,A,4,4,0.541675,1,0.5
A002,B,3,3,0.476,1,0.666667
A003,A,4,4,0.383775,1,0.25
A004,B,4,4,0.404075,1,0.25
A005,A,5,5,0.36766,1,0.8
A007,B,3,3,0.600233,1,0.666667
A008,A,6,5,0.464533,1,0.333333
A009,A,3,3,0.1908,0,0.0
A010,A,4,4,0.374625,1,0.25
A011,A,5,5,0.64136,1,0.2
A012,A,2,2,0.5582,0,0.0
A013,A,6,6,0.46575,1,0.5
A014,B,3,3,0.569933,1,0.333333
A015,B,6,6,0.437667,1,0.5
A016,B,2,2,0.5782,1,1.0
A017,A,8,8,0.489738,1,0.5
A018,B,6,6,0.613317,1,0.5
A019,B,2,2,0.66165,0,0.0
A020,B,1,1,0.3122,0,0.0
A021,A,3,3,0.435967,0,0.0
A022,A,2,2,0.51705,1,0.5
A024,A,2,2,0.3034,0,0.0
A025,A,3,3,0.754067,1,0.666667
A026,B,4,3,0.55515,1,0.75
A027,B,3,3,0.571033,1,1.0
A028,A,2,2,0.83425,1,0.5
A029,B,1,1,0.5771,1,1.0
A030,B,4,4,0.53885,1,0.25
A031,B,2,1,0.15075,0,0.0
A032,A,3,3,0.4086,1,0.333333
A033,A,1,1,0.2666,1,1.0
A034,A,2,2,0.80155,1,0.5
A035,B,6,5,0.47405,1,0.666667
A036,B,4,4,0.470275,1,0.25
A038,B,3,3,0.5075,1,0.666667
A039,B,2,2,0.5717,1,0.5
A040,A,2,2,0.4892,1,0.5
A041,B,1,1,0.6702,0,0.0
A042,B,4,4,0.539325,1,0.5
A043,A,1,1,0.6449,0,0.0
A044,A,6,5,0.433967,1,0.333333
A045,B,1,1,0.3845,1,1.0
A046,A,2,2,0.6019,1,0.5
A047,A,3,3,0.438133,1,1.0
A048,B,2,2,0.6491,1,0.5
A049,B,3,3,0.3513,1,0.666667
A050,B,2,2,0.57805,1,0.5
A051,B,5,5,0.38372,1,0.2
A052,A,3,3,0.606433,1,0.666667
A053,A,3,2,0.525533,1,0.666667
A054,B,4,4,0.421625,1,0.25
A055,A,6,5,0.567933,1,0.333333
A056,A,6,4,0.579467,1,0.833333
A057,A,1,1,0.3455,0,0.0
A058,A,2,2,0.4071,1,0.5
A059,B,2,2,0.5359,0,0.0
A060,A,1,1,0.3466,1,1.0
A062,B,3,3,0.404767,1,0.333333
A063,A,6,5,0.616667,1,0.333333
A064,B,1,1,0.278,0,0.0
A065,A,3,3,0.775167,1,0.666667
A066,A,5,4,0.64734,1,0.4
A067,B,4,3,0.426525,1,0.75
A068,A,3,3,0.477033,1,0.666667
A069,A,6,6,0.459267,1,0.333333
A070,B,2,2,0.6389,0,0.0
A071,A,3,3,0.509767,0,0.0
A072,B,4,4,0.358475,1,0.25
A073,A,3,3,0.423733,1,0.333333
A074,A,3,3,0.512967,1,0.666667
A075,A,1,1,0.7125,0,0.0
A076,B,4,3,0.14045,1,0.5
A077,A,2,2,0.73635,1,0.5
A078,B,3,3,0.298967,0,0.0
A079,B,1,1,0.6378,0,0.0
A080,B,2,2,0.45345,1,1.0
A081,B,2,2,0.3998,1,1.0
A082,A,3,3,0.411333,1,0.333333
A083,A,3,3,0.4852,1,0.333333
A084,B,4,4,0.3053,0,0.0
A085,B,6,6,0.608217,1,0.333333
A086,A,5,4,0.30256,1,0.2
A087,A,3,3,0.520933,1,0.333333
A089,B,4,4,0.493125,1,0.5
A090,A,4,4,0.456575,1,0.5
A091,B,1,1,0.5599,0,0.0
A092,A,4,3,0.530875,1,0.25
A093,B,3,3,0.2651,1,0.666667
A094,A,1,1,0.5891,0,0.0
A095,A,2,2,0.5275,1,1.0
A096,A,5,3,0.30184,1,0.4
A097,B,1,1,0.4831,0,0.0
A098,A,5,4,0.65076,1,0.8
A099,B,4,3,0.361175,1,0.25
A100,B,3,3,0.4304,1,0.333333
A101,A,2,2,0.4276,0,0.0
A102,B,2,2,0.3777,1,0.5
A103,B,5,5,0.40308,1,0.2
A105,A,4,4,0.5071,1,0.5
A106,B,4,3,0.411275,1,0.5
A108,B,2,2,0.3274,0,0.0
A109,B,2,2,0.32585,1,0.5
A110,A,2,2,0.4413,1,0.5
A111,B,1,1,0.2644,0,0.0
A112,A,1,1,0.3553,1,1.0
A113,A,3,3,0.459733,1,0.666667
A114,A,2,2,0.3409,1,0.5
A115,A,6,5,0.4149,1,0.333333
A116,A,7,7,0.532257,1,0.428571
A117,B,3,3,0.5207,1,0.666667
A118,B,2,2,0.33455,0,0.0
A119,B,2,2,0.5923,0,0.0
A120,B,4,4,0.481075,1,0.5
