referral_id,referrer_worker_id,applicant_id,referrer_group,applicant_group,same_group,referrer_treated,referrer_baseline_skill,applicant_access_score,tie_strength,callback,callback_probability
R001,W091,A059,A,B,0,1,0.8833,0.9344,0.5475,0,0.4797
R002,W001,A040,A,A,1,0,0.5879,0.4327,0.634,0,0.5209
R003,W081,A080,A,B,0,1,1.682,0.3471,0.2161,1,0.3821
R004,W045,A086,B,A,0,0,-0.0103,0.6518,0.2745,0,0.3175
R005,W002,A011,A,A,1,1,0.4546,-1.2705,0.5992,0,0.4803
R006,W033,A056,A,A,1,0,0.8002,0.4909,0.3494,0,0.4449
R007,W081,A103,A,B,0,1,1.682,-0.333,0.5225,0,0.4385
R008,W069,A120,B,B,1,1,0.8935,1.4569,0.4274,1,0.5562
R009,W091,A085,A,B,0,1,0.8833,1.0075,0.6926,0,0.5291
R010,W041,A098,A,A,1,1,0.776,-0.3234,0.904,1,0.6384
R011,W081,A013,A,A,1,1,1.682,0.6748,0.7891,0,0.6916
R012,W029,A062,A,B,0,1,-0.2043,-1.1459,0.3136,0,0.2637
R013,W081,A077,A,A,1,1,1.682,-1.0738,0.8449,1,0.6207
R014,W081,A071,A,A,1,1,1.682,0.2491,0.2904,0,0.5226
R015,W033,A084,A,B,0,0,0.8002,-1.5609,0.1525,0,0.1949
R016,W065,A072,A,B,0,0,0.7318,-0.1483,0.2163,0,0.2611
R017,W005,A030,B,B,1,0,1.0717,-0.7106,0.7645,0,0.4806
R018,W081,A106,A,B,0,1,1.682,0.2268,0.1852,0,0.3668
R019,W044,A108,B,B,1,0,0.2062,-0.1136,0.5928,0,0.4214
R020,W071,A114,B,A,0,0,0.1966,0.4068,0.2657,0,0.3115
R021,W069,A085,B,B,1,1,0.8935,1.0075,0.743,1,0.6274
R022,W081,A115,A,A,1,1,1.682,-1.1116,0.3215,1,0.4576
R023,W081,A040,A,A,1,1,1.682,0.4327,0.3444,1,0.5494
R024,W069,A056,B,A,0,1,0.8935,0.4909,0.4525,1,0.4662
R025,W033,A064,A,B,0,0,0.8002,0.2322,0.278,0,0.2958
R026,W062,A003,A,A,1,1,0.6857,0.6443,0.3043,0,0.5039
R027,W081,A086,A,A,1,1,1.682,0.6518,0.277,0,0.5405
R028,W027,A008,B,A,0,0,1.2513,-0.7025,0.0737,0,0.2521
R029,W038,A115,B,A,0,1,0.3589,-1.1116,0.4045,0,0.3443
R030,W081,A008,A,A,1,1,1.682,-0.7025,0.5089,1,0.5385
R031,W033,A076,A,B,0,0,0.8002,1.8,0.1288,0,0.3298
R032,W033,A108,A,B,0,0,0.8002,-0.1136,0.062,0,0.2291
R033,W044,A057,B,A,0,0,0.2062,-1.3024,0.3455,0,0.2559
R034,W069,A117,B,B,1,1,0.8935,-0.1876,0.5309,1,0.4983
R035,W091,A063,A,A,1,1,0.8833,-0.1424,0.7313,1,0.6015
