worker_i,worker_j,same_group,same_occupation,skill_distance,geo_distance,either_senior,referral_opportunity,true_link_probability,linked,tie_strength
W001,W002,1,0,0.9797,1,0,0.5586,0.1883,0,0.5881
W001,W003,1,0,1.1559,5,0,0.5518,0.1272,0,0.3472
W001,W004,1,0,1.0512,2,0,0.5638,0.1706,0,0.3828
W001,W005,1,1,1.0367,1,1,0.561,0.3639,0,0.9414
W001,W006,1,0,0.2654,0,0,0.5222,0.2415,0,0.1701
W001,W007,0,0,0.3256,0,0,0.5212,0.1207,0,0.341
W001,W008,0,0,0.4647,3,0,0.4897,0.0866,0,0.1444
W001,W009,1,0,0.2243,2,0,0.5391,0.2111,0,0.8538
W001,W010,0,1,1.6052,2,0,0.502,0.1136,1,0.1663
W001,W011,1,1,0.6001,2,0,0.4556,0.2837,1,0.8962
W001,W012,1,0,0.3205,2,1,0.6038,0.276,0,0.4672
W001,W013,0,0,0.0688,6,0,0.5153,0.0757,0,0.6265
W001,W014,1,1,0.174,0,0,0.5877,0.3808,0,0.4174
W001,W015,1,0,0.5094,2,0,0.5885,0.2011,1,0.4889
W001,W016,0,1,0.7631,2,0,0.4653,0.1425,1,0.4848
W001,W017,1,0,0.2229,2,0,0.5097,0.2077,0,0.649
W001,W018,0,0,0.6524,2,0,0.4887,0.0895,0,0.2883
W001,W019,1,0,0.2914,1,0,0.5789,0.2293,0,0.5502
W001,W020,0,0,0.7132,4,0,0.463,0.0718,0,0.5203
W001,W021,1,0,1.6741,5,1,0.6356,0.1543,0,0.8479
W001,W022,1,0,0.3008,0,1,0.661,0.3282,0,0.5081
W001,W023,1,0,0.8253,2,0,0.5923,0.1848,0,0.4383
W001,W024,1,1,0.1939,3,0,0.5867,0.3114,0,0.6415
W001,W025,1,0,0.1521,3,0,0.5039,0.1948,0,0.4878
W001,W026,0,0,0.1273,2,0,0.5247,0.1076,0,0.5168
W001,W027,1,1,0.5907,2,0,0.5625,0.3003,0,0.569
W001,W028,1,0,0.1707,2,0,0.499,0.2094,1,0.3356
W001,W029,0,0,0.343,2,0,0.5566,0.1029,0,0.7208
W001,W030,1,0,1.0209,3,0,0.5894,0.1607,1,0.2398
W001,W031,1,0,0.2844,4,0,0.5307,0.1759,0,0.7711
W001,W032,0,0,0.0385,4,1,0.5081,0.1238,0,0.7795
W001,W033,0,0,0.1401,2,0,0.4838,0.1044,0,0.3245
W001,W034,1,0,0.1522,5,0,0.4388,0.159,1,0.7363
W001,W035,0,0,0.79,6,0,0.5579,0.062,0,0.4913
W001,W036,0,1,0.1497,2,0,0.5259,0.1762,0,0.1892
W001,W037,0,1,0.8286,1,0,0.5119,0.1567,0,0.1793
W001,W038,0,0,1.4268,1,0,0.5226,0.0788,0,0.3667
