source_id,target_id,tie_strength,same_group,same_occupation,geo_distance
W001,W010,0.1663,0,1,2
W001,W011,0.8962,1,1,2
W001,W015,0.4889,1,0,2
W001,W016,0.4848,0,1,2
W001,W028,0.3356,1,0,2
W001,W030,0.2398,1,0,3
W001,W034,0.7363,1,0,5
W001,W039,0.272,1,0,4
W001,W045,0.5259,0,1,1
W001,W046,0.5745,0,1,2
W001,W053,0.3084,0,1,2
W001,W054,0.8861,1,0,4
W001,W068,0.5492,1,1,0
W001,W071,0.7882,1,0,2
W002,W020,0.3812,0,0,5
W002,W027,0.5953,1,0,3
W002,W028,0.4938,1,1,3
W002,W041,0.7074,0,0,4
W002,W044,0.6134,1,1,4
W002,W049,0.498,1,1,0
W002,W050,0.5343,1,1,6
W002,W054,0.9235,1,1,5
W002,W065,0.6546,1,1,4
W003,W012,0.5237,1,0,7
W003,W023,0.8496,1,1,3
W003,W043,0.3348,1,0,2
W003,W044,0.5911,1,1,2
W003,W050,0.3971,1,1,0
W003,W051,0.4686,1,0,3
W003,W058,0.4804,1,0,0
W003,W059,0.337,1,1,1
W003,W060,0.4845,1,1,5
W003,W062,0.8317,0,0,0
W003,W072,0.2628,0,0,1
W004,W012,0.6289,1,0,0
W004,W015,0.3584,1,1,0
W004,W021,0.5277,1,1,7
W004,W023,0.4264,1,0,4
W004,W030,0.4337,1,0,5
W004,W035,0.5275,0,1,8
W004,W039,0.5514,1,0,6
W004,W048,0.1961,1,0,6
W004,W049,0.3182,1,0,1
W004,W056,0.1625,0,0,8
W004,W058,0.7314,1,1,7
W005,W006,0.4213,1,0,1
W005,W022,0.3995,1,0,1
W005,W025,0.8225,1,0,2
W005,W026,0.8486,0,0,1
W005,W027,0.5218,1,1,1
W005,W032,0.3759,0,0,3
W005,W034,0.98,1,0,4
W005,W043,0.445,1,1,2
W005,W046,0.7004,0,1,1
W005,W049,0.3278,1,0,2
W005,W060,0.7045,1,0,1
W005,W064,0.3704,1,0,3
W006,W011,0.2573,1,0,2
W006,W012,0.4618,1,0,2
W006,W015,0.4473,1,1,2
W006,W017,0.5961,1,0,2
W006,W021,0.7605,1,1,5
W006,W040,0.3653,1,0,4
W006,W041,0.7235,0,1,3
W006,W052,0.5591,1,0,3
W006,W054,0.5653,1,0,4
W006,W066,0.3208,0,0,0
W006,W069,0.1845,1,0,4
W007,W016,0.2281,1,0,2
