worker_id,group,occupation,neighborhood,senior,skill,referral_access,degree,weighted_degree,network_info_exposure,same_group_link_share,wage,received_referral_offer,referral_offer_probability
W001,A,sales,7,0,0.0036,0.5435,14,7.2522,0.5385190342240975,0.6428571428571429,30.9016,0,0.28
W002,A,technical,8,0,0.9833,0.5738,9,5.4015,0.5848281569934277,0.7777777777777778,27.9353,1,0.3779
W003,A,technical,2,0,1.1595,0.5601,11,5.5613,0.5484008181540287,0.8181818181818182,33.0812,1,0.389
W004,A,operations,9,0,1.0548,0.5841,11,4.8622,0.5922608243182099,0.8181818181818182,33.4277,1,0.3863
W005,A,sales,6,1,-1.0331,0.5785,12,6.9177,0.49136378709686745,0.75,24.7849,0,0.2469
W006,A,operations,7,0,0.269,0.5008,12,5.6628,0.5895073921028466,0.8333333333333334,29.774,1,0.3111
W007,B,operations,7,0,0.3292,0.4989,9,4.0522,0.5541725383742165,0.5555555555555556,29.9509,1,0.2619
W008,B,operations,4,0,0.4683,0.4359,10,5.2699,0.5906093815821932,0.4,30.0964,0,0.2788
W009,A,technical,9,0,0.2279,0.5347,7,3.6575,0.6001921367053998,1.0,28.5982,1,0.3091
W010,B,sales,9,0,-1.6016,0.4606,6,2.5277,0.5407500415397397,0.5,18.31,0,0.135
W011,A,sales,5,0,-0.5965,0.3678,9,4.7844,0.5393950025081515,0.7777777777777778,27.0842,0,0.2322
W012,A,support,9,1,0.3241,0.6642,19,11.271,0.5282594880667199,0.6842105263157895,32.6963,0,0.3734
W013,B,technical,1,0,-0.0652,0.4871,12,5.9228,0.5266421743094483,0.3333333333333333,31.5998,1,0.2275
W014,A,sales,7,0,0.1776,0.6318,8,4.8757,0.5697333223947331,0.875,28.9318,0,0.2998
W015,A,operations,9,0,-0.5058,0.6335,17,9.567499999999999,0.5389249521818658,0.7647058823529411,24.5848,0,0.239
W016,B,sales,9,0,0.7667,0.3872,14,6.7987,0.538542925853472,0.5,32.6168,1,0.2965
W017,A,technical,9,0,-0.2193,0.4759,9,4.6522,0.6221141030050299,0.7777777777777778,29.1535,1,0.2738
W018,B,operations,5,0,-0.6488,0.4339,8,4.2272,0.5567044947009842,0.75,25.0082,0,0.1908
W019,A,technical,8,0,0.295,0.6144,13,6.2794,0.5204040768226265,0.8461538461538461,28.7685,0,0.3024
W020,B,operations,3,0,-0.7096,0.3826,14,6.0558,0.5108910581591202,0.5,27.4905,0,0.1817
