worker_i,worker_j,predicted_link_probability,referral_opportunity,geo_distance,policy_score
W031,W032,0.29341317082801965,0.4953,0,0.38256717082801966
W045,W068,0.26493323222818604,0.6424,1,0.37056523222818605
W042,W068,0.2717511427960375,0.6017,1,0.3700571427960375
W032,W050,0.2798482108729808,0.5444,1,0.3678402108729808
W063,W065,0.2559775962973893,0.6573,1,0.3642915962973893
W020,W058,0.27807652850859466,0.5328,1,0.36398052850859464
W044,W063,0.2584879556952378,0.6104,1,0.3583599556952378
W032,W044,0.2689235853981544,0.5508,1,0.3580675853981544
W026,W044,0.2648302983283312,0.5674,1,0.3569622983283312
W022,W029,0.2540853635833891,0.6742,2,0.3554413635833891
W032,W065,0.25588563303638107,0.5977,1,0.35347163303638107
W021,W035,0.24597022960083287,0.6501,1,0.35298822960083287
W005,W042,0.24980776149640532,0.5725,0,0.35285776149640535
W046,W068,0.2513810206137501,0.6414,2,0.3468330206137501
W005,W036,0.25514256491609544,0.5434,1,0.34295456491609544
W012,W066,0.260338010756297,0.564,2,0.34185801075629696
W061,W068,0.254981917101022,0.5893,2,0.341055917101022
W054,W063,0.23925634459762227,0.6754,2,0.34082834459762223
W053,W068,0.24876003788687603,0.6064,2,0.337912037886876
W037,W068,0.24712554141927892,0.5585,1,0.3376555414192789
W005,W037,0.2617030717450548,0.5293,2,0.33697707174505476
W032,W059,0.26814214733332536,0.4846,2,0.3353701473333253
W036,W068,0.2512389727980553,0.5726,2,0.33430697279805527
W026,W054,0.24038539190285363,0.6323,2,0.3341993919028536
W003,W032,0.2506025429271354,0.5164,1,0.3335545429271354
W028,W032,0.267362697931583,0.4637,2,0.330828697931583
W035,W058,0.2249349351643286,0.6277,1,0.32792093516432863
W016,W068,0.2550669023978871,0.5121,2,0.32724490239788706
W021,W041,0.23497731196047175,0.6005,2,0.3230673119604717
W023,W032,0.24201130797067796,0.557,2,0.32227130797067793
W042,W052,0.24089601093058205,0.5556,2,0.320904010930582
W047,W065,0.23588515289658424,0.5605,2,0.3167751528965842
W013,W044,0.24162399540831117,0.5579,3,0.3120459954083111
W008,W021,0.2272345231457265,0.5818,2,0.3119585231457265
W007,W022,0.1948233625273108,0.6387,0,0.3097893625273108
W013,W059,0.22086362074504792,0.4918,0,0.30938762074504794
W006,W007,0.21881342056438213,0.4999,0,0.30879542056438214
W033,W051,0.22264265508719455,0.4619,0,0.30578465508719455
W027,W046,0.1947389524678443,0.6136,0,0.30518695246784433
W005,W045,0.21310088979912425,0.6132,2,0.30347688979912424
W023,W063,0.19224405107634068,0.6166,0,0.30323205107634066
W007,W068,0.20043233950581082,0.5679,0,0.30265433950581083
W028,W063,0.20706784807332093,0.5233,0,0.3012618480733209
W013,W065,0.22216640789723674,0.6049,3,0.30104840789723675
W012,W029,0.22975716904782328,0.6169,4,0.3007991690478233
W005,W010,0.23684240842846213,0.5195,3,0.3003524084284621
W026,W028,0.21341019070641434,0.4803,0,0.29986419070641435
W020,W021,0.20929866889645116,0.5552,1,0.2992346688964511
