worker_i,worker_j,linked,predicted_link_probability,same_group,same_occupation,skill_distance,geo_distance,referral_opportunity
W001,W002,0,0.1799020931745741,1,0,0.9797,1,0.5586
W001,W003,0,0.1154504493650022,1,0,1.1559,5,0.5518
W001,W004,0,0.16237038877953738,1,0,1.0512,2,0.5638
W001,W005,0,0.3504905032694073,1,1,1.0367,1,0.561
W001,W006,0,0.21934419893884927,1,0,0.2654,0,0.5222
W001,W007,0,0.11628523370887173,0,0,0.3256,0,0.5212
W001,W008,0,0.07002975578797725,0,0,0.4647,3,0.4897
W001,W009,0,0.1892165489131135,1,0,0.2243,2,0.5391
W001,W010,1,0.14258692073765164,0,1,1.6052,2,0.502
W001,W011,1,0.27798698551050266,1,1,0.6001,2,0.4556
W001,W012,0,0.26047646324407714,1,0,0.3205,2,0.6038
W001,W013,0,0.034801966920778686,0,0,0.0688,6,0.5153
W001,W014,0,0.30914217913750125,1,1,0.174,0,0.5877
W001,W015,1,0.17641275443972937,1,0,0.5094,2,0.5885
W001,W016,1,0.17092847417346635,0,1,0.7631,2,0.4653
W001,W017,0,0.19180957881509902,1,0,0.2229,2,0.5097
W001,W018,0,0.07945366474720426,0,0,0.6524,2,0.4887
W001,W019,0,0.19870281109826196,1,0,0.2914,1,0.5789
W001,W020,0,0.04997850135486584,0,0,0.7132,4,0.463
W001,W021,0,0.17244612489666863,1,0,1.6741,5,0.6356
W001,W022,0,0.2859903704338261,1,0,0.3008,0,0.661
W001,W023,0,0.16664581423992236,1,0,0.8253,2,0.5923
W001,W024,0,0.2638010208303394,1,1,0.1939,3,0.5867
W001,W025,0,0.17948347572502535,1,0,0.1521,3,0.5039
W001,W026,0,0.09201656913251978,0,0,0.1273,2,0.5247
W001,W027,0,0.2689914759646912,1,1,0.5907,2,0.5625
W001,W028,1,0.19429750118783717,1,0,0.1707,2,0.499
W001,W029,0,0.08280460453684522,0,0,0.343,2,0.5566
W001,W030,1,0.1461096314514991,1,0,1.0209,3,0.5894
W001,W031,0,0.1582610772658864,1,0,0.2844,4,0.5307
W001,W032,0,0.1459690763576885,0,0,0.0385,4,0.5081
W001,W033,0,0.09518330926093026,0,0,0.1401,2,0.4838
W001,W034,1,0.15524062690637638,1,0,0.1522,5,0.4388
W001,W035,0,0.01,0,0,0.79,6,0.5579
W001,W036,0,0.1839945687576106,0,1,0.1497,2,0.5259
W001,W037,0,0.17987245980631586,0,1,0.8286,1,0.5119
W001,W038,0,0.06832203281597686,0,0,1.4268,1,0.5226
W001,W039,1,0.16753696731370724,1,0,0.3062,4,0.4163
W001,W040,0,0.24682140905425967,1,1,0.2658,4,0.5854
W001,W041,0,0.05904155485135806,0,0,0.7782,3,0.5084
W001,W042,0,0.1876040369990984,0,1,0.4446,1,0.555
W001,W043,0,0.26121743614526177,1,1,0.8012,3,0.4074
W001,W044,0,0.245717608809754,1,0,0.3657,3,0.5861
W001,W045,1,0.18078612643124695,0,1,0.5546,1,0.5957
W001,W046,1,0.18085645281780338,0,1,0.0549,2,0.5947
W001,W047,0,0.10829863417898546,0,0,0.2388,1,0.4709
W001,W048,0,0.1391751815836504,1,0,0.8556,4,0.554
W001,W049,0,0.19766893352182027,1,0,0.5793,1,0.4917
