opportunity_id,referrer_id,applicant_id,referrer_group,applicant_group,tie_strength,signal_quality,policy_score
O166,W065,W041,A,B,0.7838,0.6602,1.274825
O594,W069,W029,A,B,0.9482,0.7365,1.18234
O609,W065,W026,A,B,0.8599,0.8076,1.169185
O095,W069,W042,A,B,0.7234,0.5829,1.1577
O144,W069,W013,A,B,0.9795,0.8977,1.1199
O402,W015,W042,A,B,0.5011,0.5709,1.119255
O608,W054,W036,A,B,0.6927,0.7078,1.097605
O430,W046,W071,B,A,0.4545,0.766,1.09205
O132,W012,W047,A,B,0.7108,0.6598,1.03581
O543,W045,W021,B,A,0.4559,0.8464,1.030045
O059,W022,W041,A,B,0.8673,0.9719,1.00896
O237,W014,W038,A,B,0.5368,0.98,1.00201
O030,W030,W038,A,B,0.501,0.98,0.9967349999999999
O526,W022,W035,A,B,0.7831,0.98,0.99493
O476,W054,W016,A,B,0.7348,0.7965,0.951735
O381,W046,W023,B,A,0.821,0.9638,0.94379
O153,W024,W038,A,B,0.2548,0.8109,0.930435
O145,W045,W054,B,A,0.8578,0.828,0.9236449999999999
O104,W045,W054,B,A,0.8141,0.8724,0.919185
O126,W054,W041,A,B,0.4486,0.9261,0.910415
O574,W057,W056,A,B,0.8173,0.9407,0.898725
O093,W065,W029,A,B,0.9731,0.7451,0.893875
O454,W024,W016,A,B,0.7495,0.7861,0.8914150000000001
O605,W021,W035,A,B,0.4327,0.8817,0.8903849999999999
O481,W012,W029,A,B,0.98,0.9524,0.88763
O576,W022,W007,A,B,0.7506,0.8921,0.88666
O325,W046,W004,B,A,0.3575,0.7845,0.8794400000000001
O469,W057,W035,A,B,0.6318,0.809,0.8780749999999999
O018,W065,W016,A,B,0.5087,0.6435,0.873735
O516,W054,W041,A,B,0.397,0.6442,0.8722250000000001
O171,W023,W042,A,B,0.8414,0.9393,0.8670900000000001
O417,W022,W007,A,B,0.7506,0.6861,0.86606
O621,W022,W063,A,B,0.7022,0.9531,0.86068
O461,W024,W035,A,B,0.4974,0.9101,0.859095
O186,W022,W045,A,B,0.4837,0.5884,0.84839
O228,W024,W041,A,B,0.4337,0.8952,0.842945
O479,W065,W045,A,B,0.4448,0.7856,0.833645
O495,W046,W065,B,A,0.3796,0.8766,0.8311900000000001
O396,W068,W041,A,B,0.4266,0.7477,0.830145
O090,W045,W065,B,A,0.3601,0.8539,0.826155
O219,W030,W035,A,B,0.3611,0.7823,0.822605
O305,W030,W041,A,B,0.4484,0.6235,0.821165
O491,W022,W032,A,B,0.6829,0.948,0.8210299999999999
O117,W065,W056,A,B,0.3781,0.5948,0.8189249999999999
O405,W021,W007,A,B,0.5858,0.7682,0.8164549999999999
O611,W065,W042,A,B,0.5301,0.6593,0.815815
O195,W065,W056,A,B,0.4102,0.4956,0.815205
O304,W022,W056,A,B,0.2279,0.4871,0.80612
O300,W015,W062,A,B,0.6756,0.5477,0.8048749999999999
O088,W015,W045,A,B,0.5062,0.7552,0.799985
O139,W057,W041,A,B,0.3397,0.6066,0.7986750000000001
O239,W015,W007,A,B,0.7175,0.6714,0.787705
O247,W015,W007,A,B,0.715,0.5885,0.7789149999999999
O445,W068,W042,A,B,0.5962,0.5712,0.778875
O639,W046,W027,B,A,0.4345,0.5471,0.7783
O467,W024,W072,A,B,0.5142,0.523,0.7773650000000001
O041,W068,W029,A,B,0.5813,0.7661,0.775145
O178,W022,W047,A,B,0.7297,0.9182,0.7720899999999999
O512,W015,W029,A,B,0.5899,0.7308,0.771625
O227,W021,W063,A,B,0.4882,0.7353,0.7715850000000001
O185,W022,W047,A,B,0.801,0.7209,0.76696
O169,W023,W045,A,B,0.4511,0.4636,0.76372
O257,W057,W072,A,B,0.3363,0.6917,0.762625
O366,W069,W033,A,B,0.7864,0.5823,0.76084
O226,W024,W063,A,B,0.628,0.7962,0.758345
O081,W057,W007,A,B,0.5444,0.6957,0.7565649999999999
O478,W024,W063,A,B,0.6308,0.7205,0.7513750000000001
O038,W058,W029,A,B,0.418,0.5782,0.7464900000000001
O471,W022,W053,A,B,0.6646,0.5793,0.7458600000000001
O618,W012,W063,A,B,0.5481,0.6443,0.74386
O012,W022,W047,A,B,0.7615,0.5678,0.7435499999999999
O034,W068,W029,A,B,0.4709,0.6252,0.7393550000000001
O535,W065,W036,A,B,0.6772,0.6974,0.730165
O128,W024,W056,A,B,0.1781,0.4974,0.727905
O517,W065,W036,A,B,0.6669,0.6769,0.726115
O348,W065,W047,A,B,0.6309,0.886,0.721905
O452,W022,W026,A,B,0.3582,0.4216,0.72175
O222,W022,W061,A,B,0.3397,0.6368,0.71903
O027,W021,W032,A,B,0.4466,0.6329,0.717905
O261,W069,W066,A,B,0.495,0.5846,0.7084499999999999
