opportunity_id,referrer_id,applicant_id,referrer_group,applicant_group,same_group,cross_group,link_exists,tie_strength,signal_quality,referrer_access,applicant_skill,observed_referral_probability,observed_referral,callback_probability,callback
O001,W057,W066,A,B,0,1,0,0.1428,0.5633,0.6353,0.1711,0.323,0,0.2806,
O002,W014,W070,A,A,1,0,0,0.5676,0.6625,0.6318,0.0385,0.4717,1,0.4584,0.0
O003,W024,W062,A,B,0,1,0,0.3245,0.2984,0.6299,-1.2411,0.3558,0,0.1618,
O004,W030,W044,A,A,1,0,0,0.98,0.7975,0.6353,-0.3621,0.5564,1,0.5184,1.0
O005,W065,W068,A,A,1,0,0,0.6281,0.8272,0.7227,0.2865,0.4963,1,0.5366,0.0
O006,W030,W038,A,B,0,1,0,0.4763,0.9498,0.6353,1.4304,0.3855,1,0.5309,1.0
O007,W024,W018,A,B,0,1,0,0.1118,0.5515,0.6299,-0.6488,0.3169,0,0.2226,
O008,W023,W019,A,A,1,0,0,0.9668,0.9229,0.6412,0.295,0.5545,1,0.6084,1.0
O009,W030,W019,A,A,1,0,1,0.7357,0.6318,0.6353,0.295,0.8287,1,0.4927,0.0
O010,W046,W019,B,A,0,1,0,0.6296,0.6832,0.6458,0.295,0.417,1,0.425,1.0
O011,W058,W044,A,A,1,0,0,0.4513,0.3264,0.683,-0.3621,0.4548,1,0.3172,0.0
O012,W022,W047,A,B,0,1,0,0.7615,0.5678,0.7786,-0.2352,0.4613,0,0.3202,
O013,W045,W063,B,B,1,0,0,0.5412,0.4506,0.6479,0.2183,0.4684,0,0.3604,
O014,W024,W013,A,B,0,1,0,0.5205,0.609,0.6299,-0.0652,0.3934,0,0.3163,
O015,W068,W001,A,A,1,0,1,0.8923,0.6609,0.6369,0.0036,0.8463,1,0.4971,0.0
O016,W015,W043,A,A,1,0,0,0.816,0.7257,0.6335,-0.7976,0.5228,1,0.4388,0.0
O017,W014,W015,A,A,1,0,0,0.7113,0.6029,0.6318,-0.5058,0.5011,0,0.4137,
O018,W065,W016,A,B,0,1,0,0.5087,0.6435,0.7227,0.7667,0.4031,0,0.3887,
O019,W012,W024,A,A,1,0,0,0.6315,0.639,0.6642,-0.1903,0.4891,0,0.4404,
O020,W054,W002,A,A,1,0,1,0.98,0.9593,0.7587,0.9833,0.8633,1,0.6737,1.0
O021,W015,W042,A,B,0,1,1,0.521,0.7754,0.6335,0.4482,0.7539,1,0.4022,0.0
O022,W046,W025,B,A,0,1,0,0.218,0.5216,0.6458,-0.1485,0.3379,0,0.2971,
O023,W024,W055,A,A,1,0,0,0.5503,0.6035,0.6299,-0.0112,0.4679,0,0.4345,
O024,W046,W055,B,A,0,1,0,0.2417,0.3855,0.6458,-0.0112,0.3423,1,0.2758,0.0
O025,W030,W014,A,A,1,0,0,0.818,0.7848,0.6353,0.1776,0.5234,1,0.5393,0.0
O026,W065,W057,A,A,1,0,0,0.7323,0.8685,0.7227,0.2907,0.5177,0,0.5626,
O027,W021,W032,A,B,0,1,0,0.4466,0.6329,0.7277,0.0421,0.3915,0,0.3221,
O028,W069,W023,A,A,1,0,1,0.8306,0.7837,0.6442,0.8289,0.8401,1,0.5949,0.0
O029,W045,W047,B,B,1,0,1,0.5988,0.6627,0.6479,-0.2352,0.8132,0,0.3909,
O030,W030,W038,A,B,0,1,0,0.501,0.98,0.6353,1.4304,0.3903,0,0.5431,
O031,W021,W011,A,A,1,0,0,0.98,0.7196,0.7277,-0.5965,0.5687,1,0.4751,1.0
O032,W024,W030,A,A,1,0,0,0.4716,0.8707,0.6299,1.0245,0.4519,0,0.5911,
O033,W065,W008,A,B,0,1,1,0.3838,0.7145,0.7227,0.4683,0.7417,1,0.3696,1.0
O034,W068,W029,A,B,0,1,0,0.4709,0.6252,0.6369,0.3466,0.3846,0,0.3459,
O035,W015,W012,A,A,1,0,1,0.98,0.7104,0.6335,0.3241,0.8552,1,0.5504,0.0
O036,W058,W064,A,A,1,0,0,0.54,0.8443,0.683,0.4519,0.4729,1,0.5443,0.0
O037,W023,W022,A,A,1,0,0,0.4365,0.739,0.6412,0.3044,0.4463,1,0.4868,0.0
O038,W058,W029,A,B,0,1,0,0.418,0.5782,0.683,0.3466,0.3803,0,0.3272,
O039,W012,W021,A,A,1,0,0,0.5687,0.7314,0.6642,1.6777,0.4763,0,0.6163,
O040,W021,W031,A,A,1,0,0,0.8242,0.8054,0.7277,0.288,0.5371,0,0.5555,
