date,cell,employment_share,mean_log_wage,base_weight
2018Q1,young_noncollege,0.32,2.95457,0.3
2018Q1,young_college,0.18,3.1844,0.2
2018Q1,older_noncollege,0.29,3.16126,0.28
2018Q1,older_college,0.21,3.46411,0.22
2018Q2,young_noncollege,0.318,2.93073,0.3
2018Q2,young_college,0.181,3.19047,0.2
2018Q2,older_noncollege,0.289,3.16192,0.28
2018Q2,older_college,0.212,3.45526,0.22
2018Q3,young_noncollege,0.316,2.96975,0.3
2018Q3,young_college,0.182,3.2072,0.2
2018Q3,older_noncollege,0.288,3.18319,0.28
2018Q3,older_college,0.214,3.48167,0.22
2018Q4,young_noncollege,0.314,2.98099,0.3
2018Q4,young_college,0.183,3.24691,0.2
2018Q4,older_noncollege,0.287,3.18701,0.28
2018Q4,older_college,0.216,3.46711,0.22
2019Q1,young_noncollege,0.312,2.99553,0.3
2019Q1,young_college,0.184,3.22562,0.2
2019Q1,older_noncollege,0.286,3.20318,0.28
2019Q1,older_college,0.218,3.48925,0.22
2019Q2,young_noncollege,0.31,2.99723,0.3
2019Q2,young_college,0.185,3.23979,0.2
2019Q2,older_noncollege,0.285,3.21834,0.28
2019Q2,older_college,0.22,3.49768,0.22
2019Q3,young_noncollege,0.308,3.00358,0.3
2019Q3,young_college,0.186,3.25472,0.2
2019Q3,older_noncollege,0.284,3.21798,0.28
2019Q3,older_college,0.222,3.51548,0.22
2019Q4,young_noncollege,0.306,3.02619,0.3
2019Q4,young_college,0.187,3.27646,0.2
2019Q4,older_noncollege,0.283,3.25212,0.28
2019Q4,older_college,0.224,3.5139,0.22
2020Q1,young_noncollege,0.304,3.02232,0.3
2020Q1,young_college,0.188,3.26779,0.2
2020Q1,older_noncollege,0.282,3.23924,0.28
2020Q1,older_college,0.226,3.54693,0.22
2020Q2,young_noncollege,0.302,3.03829,0.3
2020Q2,young_college,0.189,3.2774,0.2
2020Q2,older_noncollege,0.281,3.22763,0.28
2020Q2,older_college,0.228,3.54976,0.22
2020Q3,young_noncollege,0.3,3.06115,0.3
2020Q3,young_college,0.19,3.30815,0.2
2020Q3,older_noncollege,0.28,3.24002,0.28
2020Q3,older_college,0.23,3.55348,0.22
2020Q4,young_noncollege,0.298,3.06175,0.3
2020Q4,young_college,0.191,3.31328,0.2
2020Q4,older_noncollege,0.279,3.27307,0.28
2020Q4,older_college,0.232,3.56335,0.22
