date,group,employment_status,hours,weekly_earnings,weight,age_band,sex
2023Q1,college,employed,38.53,1681.83,0.911,35-44,female
2023Q1,college,unemployed,0.0,0.0,1.354,35-44,female
2023Q1,college,unemployed,0.0,0.0,1.334,25-34,male
2023Q1,college,employed,44.77,1329.2,1.245,25-34,male
2023Q1,college,nilf,0.0,0.0,0.939,45-54,male
2023Q1,college,employed,31.17,1599.03,1.099,25-34,male
2023Q1,college,employed,39.42,1680.74,1.237,25-34,male
2023Q1,college,employed,38.55,1228.56,0.931,25-34,male
2023Q1,college,employed,40.66,1604.78,1.319,45-54,female
2023Q1,college,employed,42.91,1222.91,0.943,35-44,male
2023Q1,college,employed,37.44,1438.95,0.82,35-44,female
2023Q1,college,employed,40.13,1455.05,0.802,35-44,female
2023Q1,college,employed,37.67,1294.81,1.17,25-34,female
2023Q1,college,unemployed,0.0,0.0,1.1,35-44,male
2023Q1,college,employed,37.77,1393.03,0.813,35-44,female
2023Q1,college,employed,41.76,1321.89,1.091,25-34,male
2023Q1,college,employed,39.15,1515.51,1.093,35-44,male
2023Q1,college,employed,39.0,1360.05,0.804,45-54,male
2023Q1,college,employed,37.52,1596.39,1.304,25-34,male
2023Q1,college,employed,38.87,1270.88,1.287,25-34,male
2023Q1,college,employed,44.94,1477.16,1.055,25-34,female
2023Q1,college,nilf,0.0,0.0,0.907,45-54,female
2023Q1,college,employed,43.31,1603.06,0.896,45-54,female
2023Q1,college,employed,34.47,1399.38,1.213,25-34,female
2023Q1,college,employed,43.42,1761.63,0.938,35-44,female
2023Q1,college,employed,29.09,1333.65,1.25,45-54,female
2023Q1,college,nilf,0.0,0.0,1.126,35-44,male
2023Q1,college,employed,38.57,1403.95,1.077,45-54,male
2023Q1,college,employed,41.26,1463.7,1.196,25-34,female
2023Q1,college,employed,37.84,1704.45,0.821,25-34,male
2023Q1,college,employed,40.3,1582.05,0.848,25-34,male
2023Q1,college,employed,38.53,1512.55,1.337,35-44,female
2023Q1,college,employed,43.98,1479.97,1.01,25-34,male
2023Q1,college,employed,40.4,1349.18,1.08,45-54,female
2023Q1,college,nilf,0.0,0.0,1.368,35-44,female
2023Q1,college,nilf,0.0,0.0,0.975,45-54,female
2023Q1,college,employed,39.17,1310.4,1.258,45-54,female
2023Q1,college,employed,40.88,1541.04,1.075,25-34,female
2023Q1,college,unemployed,0.0,0.0,1.075,45-54,male
2023Q1,college,unemployed,0.0,0.0,1.169,45-54,male
2023Q1,college,employed,45.85,1415.79,0.947,45-54,female
2023Q1,college,employed,40.85,1314.86,1.393,45-54,female
2023Q1,college,employed,38.69,1391.19,1.316,25-34,female
2023Q1,college,employed,43.4,1286.66,0.882,35-44,female
2023Q1,college,unemployed,0.0,0.0,0.938,25-34,female
2023Q1,college,employed,36.25,1304.32,0.961,45-54,male
2023Q1,college,nilf,0.0,0.0,1.022,25-34,female
2023Q1,college,employed,30.65,1653.42,1.241,45-54,female
2023Q1,college,employed,42.79,1581.15,1.35,45-54,female
2023Q1,college,employed,34.51,1111.16,1.08,35-44,male
2023Q1,college,employed,46.22,1669.65,1.044,25-34,male
2023Q1,college,nilf,0.0,0.0,1.106,45-54,male
2023Q1,college,employed,28.59,1044.77,1.137,45-54,male
2023Q1,college,unemployed,0.0,0.0,1.26,25-34,male
2023Q1,college,employed,30.9,1511.53,1.149,35-44,female
2023Q1,college,employed,37.12,1476.53,1.104,45-54,male
2023Q1,college,employed,43.52,1328.01,1.014,45-54,male
2023Q1,college,employed,40.66,1349.53,1.372,25-34,female
2023Q1,college,employed,34.13,1516.84,0.824,35-44,female
2023Q1,college,employed,39.04,1553.09,1.367,45-54,female
2023Q1,noncollege,employed,35.07,1136.16,1.382,35-44,female
2023Q1,noncollege,employed,37.48,1045.2,1.34,35-44,female
2023Q1,noncollege,employed,35.24,759.69,0.909,35-44,female
2023Q1,noncollege,employed,37.55,872.04,1.066,45-54,male
2023Q1,noncollege,employed,42.31,836.4,1.064,35-44,female
2023Q1,noncollege,nilf,0.0,0.0,1.021,35-44,female
2023Q1,noncollege,employed,35.83,1072.9,1.059,35-44,female
2023Q1,noncollege,employed,38.43,1048.47,0.892,25-34,male
2023Q1,noncollege,employed,41.41,1016.1,0.994,25-34,male
2023Q1,noncollege,employed,48.57,1107.41,1.199,35-44,male
2023Q1,noncollege,employed,28.09,845.0,1.214,25-34,male
2023Q1,noncollege,employed,38.11,1042.26,1.298,45-54,female
2023Q1,noncollege,employed,38.66,1045.63,1.227,25-34,male
2023Q1,noncollege,employed,36.13,1110.94,1.273,35-44,male
2023Q1,noncollege,employed,46.81,1178.93,0.86,45-54,female
2023Q1,noncollege,employed,50.17,769.77,0.831,35-44,female
2023Q1,noncollege,employed,43.3,861.65,0.993,35-44,female
2023Q1,noncollege,nilf,0.0,0.0,1.094,35-44,female
2023Q1,noncollege,nilf,0.0,0.0,1.241,25-34,female
2023Q1,noncollege,employed,30.07,943.79,1.229,35-44,female
2023Q1,noncollege,employed,41.44,763.01,1.246,45-54,female
2023Q1,noncollege,employed,40.07,839.76,0.959,35-44,female
2023Q1,noncollege,nilf,0.0,0.0,0.804,25-34,male
2023Q1,noncollege,unemployed,0.0,0.0,1.187,25-34,female
2023Q1,noncollege,employed,29.19,791.92,0.841,25-34,female
2023Q1,noncollege,employed,37.0,1055.74,0.895,35-44,female
2023Q1,noncollege,employed,29.39,1142.63,1.088,45-54,male
2023Q1,noncollege,unemployed,0.0,0.0,1.321,45-54,male
2023Q1,noncollege,employed,46.87,1006.34,1.146,25-34,male
2023Q1,noncollege,nilf,0.0,0.0,1.324,45-54,male
2023Q1,noncollege,nilf,0.0,0.0,1.218,35-44,male
2023Q1,noncollege,employed,44.71,770.95,1.369,35-44,female
2023Q1,noncollege,employed,35.61,936.34,1.351,35-44,female
2023Q1,noncollege,employed,33.11,1132.44,1.021,25-34,female
2023Q1,noncollege,employed,34.77,961.74,0.999,35-44,female
2023Q1,noncollege,employed,42.78,1065.26,1.113,35-44,male
2023Q1,noncollege,employed,37.12,1114.63,1.344,35-44,male
2023Q1,noncollege,unemployed,0.0,0.0,1.389,35-44,male
2023Q1,noncollege,unemployed,0.0,0.0,1.184,45-54,male
2023Q1,noncollege,nilf,0.0,0.0,0.964,25-34,male
2023Q1,noncollege,employed,37.99,906.78,1.268,25-34,female
2023Q1,noncollege,nilf,0.0,0.0,1.162,35-44,male
2023Q1,noncollege,unemployed,0.0,0.0,0.856,45-54,male
2023Q1,noncollege,employed,43.72,967.8,0.896,35-44,female
2023Q1,noncollege,unemployed,0.0,0.0,1.072,25-34,male
2023Q1,noncollege,nilf,0.0,0.0,1.221,35-44,female
2023Q1,noncollege,employed,43.74,1063.7,1.338,35-44,female
2023Q1,noncollege,unemployed,0.0,0.0,1.081,35-44,male
2023Q1,noncollege,employed,40.03,966.26,1.026,45-54,male
2023Q1,noncollege,employed,31.65,957.19,1.178,45-54,male
2023Q1,noncollege,employed,31.72,1110.53,1.393,25-34,male
2023Q1,noncollege,employed,33.84,775.65,1.39,25-34,female
2023Q1,noncollege,nilf,0.0,0.0,0.834,25-34,male
2023Q1,noncollege,nilf,0.0,0.0,0.947,45-54,male
2023Q1,noncollege,employed,39.53,1098.08,1.383,35-44,female
2023Q1,noncollege,unemployed,0.0,0.0,0.882,35-44,male
2023Q1,noncollege,employed,42.76,934.03,1.391,45-54,male
2023Q1,noncollege,employed,30.95,1055.87,1.095,45-54,female
2023Q1,noncollege,nilf,0.0,0.0,1.051,25-34,female
2023Q1,noncollege,nilf,0.0,0.0,1.009,25-34,female
2023Q2,college,employed,44.66,1334.99,0.933,25-34,male
2023Q2,college,employed,34.75,1483.4,1.183,25-34,female
2023Q2,college,employed,39.15,1404.43,1.23,35-44,male
2023Q2,college,nilf,0.0,0.0,1.332,25-34,female
2023Q2,college,employed,40.55,1546.35,0.884,45-54,female
2023Q2,college,employed,43.77,1216.1,0.907,35-44,female
2023Q2,college,employed,41.45,1720.38,0.974,45-54,female
2023Q2,college,employed,41.05,1283.21,1.101,45-54,male
