bin_left,bin_right,bin_midpoint,count,near_kink
-12.0,-11.0,-11.5,1,False
-11.0,-10.0,-10.5,1,False
-10.0,-9.0,-9.5,2,False
-9.0,-8.0,-8.5,2,False
-8.0,-7.0,-7.5,2,False
-7.0,-6.0,-6.5,2,False
-6.0,-5.0,-5.5,3,False
-5.0,-4.0,-4.5,3,False
-4.0,-3.0,-3.5,2,False
-3.0,-2.0,-2.5,2,False
-2.0,-1.0,-1.5,3,False
-1.0,0.0,-0.5,5,True
0.0,1.0,0.5,10,False
1.0,2.0,1.5,4,False
2.0,3.0,2.5,2,False
3.0,4.0,3.5,1,False
4.0,5.0,4.5,1,False
5.0,6.0,5.5,1,False
6.0,7.0,6.5,1,False
7.0,8.0,7.5,1,False
8.0,9.0,8.5,1,False
9.0,10.0,9.5,1,False
10.0,11.0,10.5,1,False
11.0,12.0,11.5,1,False
