group,bin_left,bin_right,bin_midpoint,count,near_kink
higher-knowledge,-14.0,-12.0,-13.0,0,False
higher-knowledge,-12.0,-10.0,-11.0,0,False
higher-knowledge,-10.0,-8.0,-9.0,0,False
higher-knowledge,-8.0,-6.0,-7.0,2,False
higher-knowledge,-6.0,-4.0,-5.0,2,False
higher-knowledge,-4.0,-2.0,-3.0,2,False
higher-knowledge,-2.0,0.0,-1.0,3,True
higher-knowledge,0.0,2.0,1.0,8,False
higher-knowledge,2.0,4.0,3.0,2,False
higher-knowledge,4.0,6.0,5.0,1,False
higher-knowledge,6.0,8.0,7.0,0,False
higher-knowledge,8.0,10.0,9.0,0,False
higher-knowledge,10.0,12.0,11.0,0,False
higher-knowledge,12.0,14.0,13.0,0,False
lower-knowledge,-14.0,-12.0,-13.0,0,False
lower-knowledge,-12.0,-10.0,-11.0,0,False
lower-knowledge,-10.0,-8.0,-9.0,2,False
lower-knowledge,-8.0,-6.0,-7.0,2,False
lower-knowledge,-6.0,-4.0,-5.0,2,False
lower-knowledge,-4.0,-2.0,-3.0,2,False
lower-knowledge,-2.0,0.0,-1.0,3,True
lower-knowledge,0.0,2.0,1.0,3,False
lower-knowledge,2.0,4.0,3.0,2,False
lower-knowledge,4.0,6.0,5.0,2,False
lower-knowledge,6.0,8.0,7.0,1,False
lower-knowledge,8.0,10.0,9.0,1,False
lower-knowledge,10.0,12.0,11.0,0,False
lower-knowledge,12.0,14.0,13.0,0,False
