earnings,group
20,lower-knowledge
21,lower-knowledge
22,lower-knowledge
23,lower-knowledge
24,lower-knowledge
25,lower-knowledge
26,lower-knowledge
27,lower-knowledge
28,lower-knowledge
29,lower-knowledge
29.5,lower-knowledge
30,lower-knowledge
30.5,lower-knowledge
31,lower-knowledge
32,lower-knowledge
33,lower-knowledge
34,lower-knowledge
35,lower-knowledge
36,lower-knowledge
38,lower-knowledge
22,higher-knowledge
23,higher-knowledge
24,higher-knowledge
25,higher-knowledge
26,higher-knowledge
27,higher-knowledge
28,higher-knowledge
29,higher-knowledge
29.5,higher-knowledge
30,higher-knowledge
30,higher-knowledge
30.2,higher-knowledge
30.4,higher-knowledge
30.5,higher-knowledge
30.8,higher-knowledge
31,higher-knowledge
31.2,higher-knowledge
32,higher-knowledge
33,higher-knowledge
35,higher-knowledge
