worker_id,shift,high_bonus,lag_high_bonus,posted_wage,hours,deliveries,earnings
1,1,0,0,1.0,5.566,13.642,13.642
1,2,1,0,1.2,6.224,15.963,19.155
1,3,0,1,1.0,5.35,14.028,14.028
1,4,0,0,1.0,5.577,14.307,14.307
1,5,1,0,1.2,5.932,15.66,18.791
1,6,0,1,1.0,5.495,14.294,14.294
1,7,0,0,1.0,5.507,14.397,14.397
1,8,1,0,1.2,5.862,15.13,18.156
1,9,0,1,1.0,5.501,14.274,14.274
1,10,0,0,1.0,5.275,13.875,13.875
1,11,1,0,1.2,6.091,15.461,18.554
1,12,0,1,1.0,5.376,14.439,14.439
1,13,0,0,1.0,5.851,14.443,14.443
1,14,1,0,1.2,6.215,15.205,18.246
1,15,0,1,1.0,5.434,13.781,13.781
1,16,0,0,1.0,5.766,14.964,14.964
1,17,1,0,1.2,6.177,15.3,18.359
1,18,0,1,1.0,5.526,14.147,14.147
2,1,1,0,1.2,6.181,16.009,19.211
2,2,0,1,1.0,5.557,14.139,14.139
2,3,0,0,1.0,5.491,14.893,14.893
2,4,1,0,1.2,6.197,15.964,19.157
2,5,0,1,1.0,5.913,14.474,14.474
2,6,0,0,1.0,6.101,16.276,16.276
2,7,1,0,1.2,6.381,16.219,19.463
2,8,0,1,1.0,5.4,14.608,14.608
2,9,0,0,1.0,5.56,14.386,14.386
2,10,1,0,1.2,6.038,15.607,18.728
2,11,0,1,1.0,5.752,14.392,14.392
2,12,0,0,1.0,5.463,13.881,13.881
2,13,1,0,1.2,5.916,14.781,17.737
2,14,0,1,1.0,5.356,14.676,14.676
2,15,0,0,1.0,5.533,14.466,14.466
2,16,1,0,1.2,5.871,15.369,18.443
2,17,0,1,1.0,5.207,13.708,13.708
2,18,0,0,1.0,6.046,14.719,14.719
3,1,0,0,1.0,6.274,15.154,15.154
3,2,0,0,1.0,6.075,15.501,15.501
3,3,1,0,1.2,6.61,16.763,20.115
3,4,0,1,1.0,5.943,14.857,14.857
3,5,0,0,1.0,6.276,15.366,15.366
3,6,1,0,1.2,6.42,15.667,18.801
3,7,0,1,1.0,6.037,14.601,14.601
3,8,0,0,1.0,6.314,15.496,15.496
3,9,1,0,1.2,6.29,15.061,18.073
3,10,0,1,1.0,5.841,14.764,14.764
3,11,0,0,1.0,6.558,15.389,15.389
3,12,1,0,1.2,6.687,15.815,18.978
3,13,0,1,1.0,5.884,13.983,13.983
3,14,0,0,1.0,6.187,15.494,15.494
3,15,1,0,1.2,6.578,16.673,20.008
3,16,0,1,1.0,6.108,15.009,15.009
3,17,0,0,1.0,6.285,15.423,15.423
3,18,1,0,1.2,6.849,16.105,19.326
4,1,0,0,1.0,5.02,13.528,13.528
4,2,1,0,1.2,5.444,15.477,18.572
4,3,0,1,1.0,4.681,13.689,13.689
4,4,0,0,1.0,5.169,14.129,14.129
4,5,1,0,1.2,5.651,14.865,17.838
4,6,0,1,1.0,4.757,13.886,13.886
4,7,0,0,1.0,5.129,14.454,14.454
4,8,1,0,1.2,5.487,15.51,18.612
4,9,0,1,1.0,4.828,13.129,13.129
4,10,0,0,1.0,4.633,12.887,12.887
4,11,1,0,1.2,5.597,14.4,17.28
4,12,0,1,1.0,4.798,14.36,14.36
4,13,0,0,1.0,5.152,14.641,14.641
4,14,1,0,1.2,5.271,13.627,16.353
4,15,0,1,1.0,5.152,13.358,13.358
4,16,0,0,1.0,5.016,13.855,13.855
4,17,1,0,1.2,5.278,15.241,18.289
4,18,0,1,1.0,5.158,14.152,14.152
5,1,1,0,1.2,6.274,15.327,18.392
5,2,0,1,1.0,5.627,14.429,14.429
5,3,0,0,1.0,5.636,14.821,14.821
5,4,1,0,1.2,5.983,15.249,18.299
5,5,0,1,1.0,5.264,14.253,14.253
5,6,0,0,1.0,5.923,15.06,15.06
5,7,1,0,1.2,6.765,16.706,20.047
5,8,0,1,1.0,5.5,15.391,15.391
5,9,0,0,1.0,5.624,14.783,14.783
5,10,1,0,1.2,6.373,15.528,18.633
5,11,0,1,1.0,5.921,14.951,14.951
5,12,0,0,1.0,5.892,14.506,14.506
5,13,1,0,1.2,6.474,15.651,18.781
5,14,0,1,1.0,5.349,14.722,14.722
5,15,0,0,1.0,5.713,14.587,14.587
5,16,1,0,1.2,6.586,16.578,19.894
5,17,0,1,1.0,5.784,15.079,15.079
5,18,0,0,1.0,5.659,14.809,14.809
6,1,0,0,1.0,6.324,15.191,15.191
6,2,0,0,1.0,5.514,14.564,14.564
6,3,1,0,1.2,6.659,16.06,19.272
6,4,0,1,1.0,6.209,15.246,15.246
6,5,0,0,1.0,6.225,14.566,14.566
6,6,1,0,1.2,6.376,16.03,19.236
6,7,0,1,1.0,6.082,15.05,15.05
6,8,0,0,1.0,6.218,15.316,15.316
6,9,1,0,1.2,6.645,16.255,19.506
6,10,0,1,1.0,6.115,15.404,15.404
6,11,0,0,1.0,6.096,15.325,15.325
6,12,1,0,1.2,6.753,16.358,19.63
6,13,0,1,1.0,5.983,15.028,15.028
6,14,0,0,1.0,6.344,14.866,14.866
6,15,1,0,1.2,6.65,16.223,19.468
6,16,0,1,1.0,5.949,14.594,14.594
6,17,0,0,1.0,5.909,14.354,14.354
6,18,1,0,1.2,6.362,15.619,18.743
7,1,0,0,1.0,5.507,14.481,14.481
7,2,1,0,1.2,6.02,15.182,18.218
7,3,0,1,1.0,5.354,13.705,13.705
7,4,0,0,1.0,5.569,14.318,14.318
7,5,1,0,1.2,6.346,16.462,19.754
7,6,0,1,1.0,5.75,15.444,15.444
7,7,0,0,1.0,5.385,14.462,14.462
7,8,1,0,1.2,6.191,15.86,19.032
7,9,0,1,1.0,5.867,15.762,15.762
7,10,0,0,1.0,5.78,14.909,14.909
7,11,1,0,1.2,5.852,14.832,17.798
7,12,0,1,1.0,5.61,14.421,14.421
7,13,0,0,1.0,5.365,14.12,14.12
7,14,1,0,1.2,6.119,15.961,19.153
7,15,0,1,1.0,5.465,14.177,14.177
7,16,0,0,1.0,5.605,14.515,14.515
7,17,1,0,1.2,5.845,15.605,18.726
7,18,0,1,1.0,5.878,15.086,15.086
8,1,1,0,1.2,5.76,14.468,17.361
8,2,0,1,1.0,4.844,13.834,13.834
8,3,0,0,1.0,5.307,13.828,13.828
8,4,1,0,1.2,5.367,14.215,17.058
8,5,0,1,1.0,5.202,13.995,13.995
8,6,0,0,1.0,5.417,14.839,14.839
8,7,1,0,1.2,5.682,15.272,18.326
8,8,0,1,1.0,5.148,13.722,13.722
8,9,0,0,1.0,5.249,14.421,14.421
8,10,1,0,1.2,5.558,15.398,18.478
8,11,0,1,1.0,5.439,14.269,14.269
8,12,0,0,1.0,5.339,13.575,13.575
8,13,1,0,1.2,6.168,16.035,19.242
8,14,0,1,1.0,5.204,14.008,14.008
8,15,0,0,1.0,5.374,13.92,13.92
8,16,1,0,1.2,5.794,14.844,17.813
