worker_id,shift,friction_group,high_bonus,lag_high_bonus,posted_wage,hours,deliveries,earnings
1,1,high_adjustment_cost,1,0,1.2,6.456,15.569,18.683
1,2,high_adjustment_cost,0,1,1.0,6.5,15.147,15.147
1,3,high_adjustment_cost,0,0,1.0,6.157,14.96,14.96
1,4,high_adjustment_cost,1,0,1.2,6.759,17.376,20.851
1,5,high_adjustment_cost,1,1,1.2,6.352,15.094,18.113
1,6,high_adjustment_cost,0,1,1.0,6.269,15.169,15.169
1,7,high_adjustment_cost,0,0,1.0,6.595,15.848,15.848
1,8,high_adjustment_cost,1,0,1.2,6.443,15.627,18.752
1,9,high_adjustment_cost,1,1,1.2,6.31,15.9,19.08
1,10,high_adjustment_cost,0,1,1.0,6.361,15.843,15.843
1,11,high_adjustment_cost,0,0,1.0,6.233,14.655,14.655
1,12,high_adjustment_cost,1,0,1.2,7.078,16.753,20.104
1,13,high_adjustment_cost,1,1,1.2,6.419,15.134,18.161
1,14,high_adjustment_cost,0,1,1.0,6.459,15.541,15.541
1,15,high_adjustment_cost,0,0,1.0,6.333,15.149,15.149
1,16,high_adjustment_cost,1,0,1.2,6.966,16.598,19.918
2,1,low_adjustment_cost,0,0,1.0,5.189,13.259,13.259
2,2,low_adjustment_cost,1,0,1.2,5.64,15.624,18.749
2,3,low_adjustment_cost,0,1,1.0,4.929,12.801,12.801
2,4,low_adjustment_cost,1,0,1.2,5.443,14.933,17.92
2,5,low_adjustment_cost,0,1,1.0,5.004,14.193,14.193
2,6,low_adjustment_cost,1,0,1.2,5.848,14.592,17.51
2,7,low_adjustment_cost,0,1,1.0,4.777,14.041,14.041
2,8,low_adjustment_cost,1,0,1.2,5.787,15.213,18.256
2,9,low_adjustment_cost,0,1,1.0,5.046,14.322,14.322
2,10,low_adjustment_cost,1,0,1.2,5.75,14.73,17.676
2,11,low_adjustment_cost,0,1,1.0,5.032,13.07,13.07
2,12,low_adjustment_cost,1,0,1.2,5.536,13.924,16.709
2,13,low_adjustment_cost,0,1,1.0,4.889,13.193,13.193
2,14,low_adjustment_cost,1,0,1.2,5.461,14.517,17.42
2,15,low_adjustment_cost,0,1,1.0,5.126,13.759,13.759
2,16,low_adjustment_cost,1,0,1.2,5.917,15.549,18.659
3,1,high_adjustment_cost,0,0,1.0,5.69,13.871,13.871
3,2,high_adjustment_cost,0,0,1.0,5.745,14.634,14.634
3,3,high_adjustment_cost,1,0,1.2,5.941,15.506,18.607
3,4,high_adjustment_cost,1,1,1.2,5.629,14.835,17.802
3,5,high_adjustment_cost,0,1,1.0,5.747,15.243,15.243
3,6,high_adjustment_cost,0,0,1.0,5.938,14.871,14.871
3,7,high_adjustment_cost,1,0,1.2,5.934,15.765,18.918
3,8,high_adjustment_cost,1,1,1.2,6.032,14.815,17.778
3,9,high_adjustment_cost,0,1,1.0,5.631,14.487,14.487
3,10,high_adjustment_cost,0,0,1.0,5.444,13.901,13.901
3,11,high_adjustment_cost,1,0,1.2,5.824,15.863,19.036
3,12,high_adjustment_cost,1,1,1.2,5.568,14.268,17.121
3,13,high_adjustment_cost,0,1,1.0,5.296,13.935,13.935
3,14,high_adjustment_cost,0,0,1.0,5.675,14.987,14.987
3,15,high_adjustment_cost,1,0,1.2,6.124,15.71,18.852
3,16,high_adjustment_cost,1,1,1.2,5.559,14.977,17.972
4,1,low_adjustment_cost,1,0,1.2,6.256,15.615,18.738
4,2,low_adjustment_cost,1,1,1.2,6.379,15.621,18.746
4,3,low_adjustment_cost,1,1,1.2,6.33,15.946,19.135
4,4,low_adjustment_cost,1,1,1.2,6.053,15.779,18.935
4,5,low_adjustment_cost,1,1,1.2,6.218,15.813,18.976
4,6,low_adjustment_cost,1,1,1.2,6.639,15.653,18.783
4,7,low_adjustment_cost,1,1,1.2,6.588,15.881,19.057
4,8,low_adjustment_cost,1,1,1.2,6.335,15.964,19.157
4,9,low_adjustment_cost,1,1,1.2,6.265,15.853,19.024
4,10,low_adjustment_cost,1,1,1.2,6.49,15.65,18.779
4,11,low_adjustment_cost,1,1,1.2,6.03,15.335,18.402
4,12,low_adjustment_cost,1,1,1.2,6.373,15.894,19.072
4,13,low_adjustment_cost,1,1,1.2,6.225,14.699,17.639
4,14,low_adjustment_cost,1,1,1.2,6.31,15.075,18.09
4,15,low_adjustment_cost,1,1,1.2,6.443,15.808,18.97
4,16,low_adjustment_cost,1,1,1.2,6.199,16.072,19.286
5,1,high_adjustment_cost,1,0,1.2,6.049,14.997,17.996
