child_id,cohort,treatment,baseline_skill,baseline_group,maternal_schooling,home_environment,parental_investment,endline_skill,followup_language
1,1,0,0.3403,higher_baseline,14,0.4104,0.6438,0.6816,0.6055
2,1,1,0.828,higher_baseline,10,0.5676,0.9562,1.2323,0.6688
3,1,0,0.0141,higher_baseline,6,0.3792,0.4486,0.2304,0.2837
4,1,1,1.7437,higher_baseline,11,0.8329,1.0471,1.8752,1.2258
5,1,0,0.2057,higher_baseline,15,0.3493,0.5705,0.6849,0.3663
6,1,1,0.2862,higher_baseline,15,0.4346,0.8682,0.8365,0.6499
7,1,0,0.3366,higher_baseline,9,0.1205,0.6329,0.6178,0.7213
8,1,1,-0.6337,lower_baseline,6,0.5611,0.6044,0.2115,0.487
9,1,0,0.733,higher_baseline,14,0.664,0.4909,0.6164,0.405
10,1,1,-0.9149,lower_baseline,16,0.46,0.7835,0.0419,0.2162
11,1,0,0.3814,higher_baseline,8,0.159,0.6103,0.6117,0.2987
12,1,1,-0.3103,lower_baseline,16,0.4775,1.0849,0.4357,0.3634
13,1,0,0.1714,higher_baseline,16,0.4453,0.4712,0.7394,0.5521
14,1,1,0.3529,higher_baseline,16,0.5636,0.8912,0.7892,0.6225
15,1,0,-0.062,lower_baseline,14,0.3254,0.5904,0.4,0.4423
16,1,1,-0.7311,lower_baseline,8,0.5612,0.5612,0.0136,0.1115
17,1,0,-0.9636,lower_baseline,13,0.2155,0.4524,-0.2053,-0.0363
18,1,1,0.7807,higher_baseline,16,0.6333,0.8356,1.1108,0.8695
19,1,0,-0.7981,lower_baseline,10,0.208,0.3713,-0.2765,0.1205
20,1,1,1.3803,higher_baseline,16,0.8761,1.1672,1.5496,1.1736
21,1,0,-0.1719,lower_baseline,10,0.2055,0.5941,0.2005,0.1402
22,1,1,1.0455,higher_baseline,15,0.6309,1.0653,1.3265,0.9257
23,1,0,0.754,higher_baseline,10,0.4977,0.498,0.8437,0.5309
24,1,1,-0.0657,lower_baseline,10,0.5979,0.9502,0.6638,0.6986
25,1,0,-0.7642,lower_baseline,9,0.2035,0.44,-0.1203,0.2255
26,1,1,-0.1053,lower_baseline,13,0.5594,0.9268,0.6476,0.467
27,1,0,1.1187,higher_baseline,12,0.3967,0.6351,1.2567,0.8312
28,1,1,1.0821,higher_baseline,6,0.8066,1.1249,1.3315,1.0227
29,1,0,0.8502,higher_baseline,16,0.2856,0.6475,0.9035,0.5515
30,1,1,0.0233,higher_baseline,6,0.6773,0.9403,0.7184,0.411
31,1,0,0.6315,higher_baseline,9,0.4427,0.4058,0.8572,0.4828
32,1,1,-0.2431,lower_baseline,11,0.5442,0.6104,0.4058,0.4283
33,1,0,-0.424,lower_baseline,6,0.0682,0.4429,0.1644,0.2188
34,1,1,-1.5434,lower_baseline,15,0.4314,0.518,-0.4862,-0.0345
35,1,0,-1.4783,lower_baseline,6,0.1882,0.3894,-0.6653,-0.1837
36,1,1,0.6428,higher_baseline,12,0.8451,0.9085,0.7988,0.7851
37,1,0,-0.4846,lower_baseline,11,0.2629,0.4456,0.1467,0.1316
38,1,1,-0.4443,lower_baseline,10,0.4112,0.668,0.3794,0.3094
39,1,0,-1.8443,lower_baseline,9,0.0496,0.114,-0.9889,-0.4233
