child_id,center_quality,treatment,baseline_skill,classroom_input,endline_skill,language_score
1,low_quality,0,-0.1009,0.3908,0.2547,0.2075
2,medium_quality,1,0.0567,0.5436,0.3468,0.4549
3,high_quality,0,0.7709,0.6542,0.9717,0.5219
4,low_quality,0,0.4585,0.3191,0.8942,0.5205
5,medium_quality,1,-0.8158,0.605,0.0577,0.3089
6,high_quality,0,-0.3993,0.4723,0.2242,0.1827
7,low_quality,1,-0.7446,0.4416,0.0704,0.0551
8,medium_quality,0,-0.0301,0.493,0.2305,0.3882
9,high_quality,0,-1.2239,0.5327,-0.2747,-0.0223
10,low_quality,1,-0.6669,0.5384,-0.0273,0.2089
11,medium_quality,0,-0.43,0.4059,0.0633,0.2502
12,high_quality,1,-0.9697,0.6153,-0.0457,0.0191
13,low_quality,0,-0.186,0.4406,0.0456,0.0241
14,medium_quality,0,-1.0098,0.5623,-0.1404,0.005
15,high_quality,1,-1.3992,0.7046,-0.4438,-0.0839
16,low_quality,0,-0.2526,0.4245,0.2867,0.3013
17,medium_quality,1,0.9936,0.4778,0.9029,0.5376
18,high_quality,0,-0.2308,0.669,0.2512,0.1851
19,low_quality,0,1.922,0.4679,1.3109,0.8421
20,medium_quality,1,1.3958,0.5272,1.1713,0.8313
21,high_quality,0,0.9392,0.5097,0.8144,0.4608
22,low_quality,1,-0.0079,0.5672,0.226,0.2061
23,medium_quality,0,-0.3293,0.4301,0.2045,0.1269
24,high_quality,0,-0.5353,0.6608,-0.1058,0.1641
25,low_quality,1,0.5138,0.5294,0.6257,0.6111
26,medium_quality,0,0.7754,0.5512,0.5736,0.4533
27,high_quality,1,-0.7033,0.5975,-0.0791,0.0468
28,low_quality,0,1.1185,0.4812,1.0581,0.6296
29,medium_quality,0,-0.5718,0.4157,0.2467,0.4528
30,high_quality,1,-0.9274,0.7109,-0.1177,-0.0289
31,low_quality,0,0.0713,0.4948,0.3264,0.4056
32,medium_quality,1,0.4661,0.4428,0.8501,0.37
33,high_quality,0,-0.0533,0.5503,0.2087,0.2983
34,low_quality,0,0.5505,0.3903,0.512,0.4699
35,medium_quality,1,-2.1351,0.5166,-0.8339,-0.4193
36,high_quality,0,1.2365,0.7453,0.8249,0.4706
37,low_quality,1,-0.6288,0.3987,0.0,0.0538
38,medium_quality,0,-0.5322,0.5221,0.0147,0.0913
39,high_quality,0,-0.6696,0.6097,-0.0464,0.0327
40,low_quality,1,0.3365,0.5297,0.7352,0.411
41,medium_quality,0,-0.2354,0.499,0.158,0.3007
42,high_quality,1,0.3445,0.6513,0.7856,0.5142
43,low_quality,0,-0.6621,0.4081,-0.0327,0.1563
44,medium_quality,0,1.0983,0.5784,0.9738,0.5498
45,high_quality,1,0.1311,0.7095,0.6307,0.4193
46,low_quality,0,-0.7328,0.406,-0.2306,0.0078
47,medium_quality,1,-0.3705,0.5306,0.2077,0.2047
48,high_quality,0,0.8644,0.7054,0.5963,0.3145
49,low_quality,0,-0.1954,0.442,0.1149,0.197
50,medium_quality,1,0.5325,0.6324,0.7,0.4103
51,high_quality,0,-0.1338,0.7172,0.3736,0.195
52,low_quality,1,0.9655,0.3028,1.1015,0.8834
53,medium_quality,0,-1.3781,0.4867,-0.383,-0.1646
54,high_quality,0,-0.7946,0.674,-0.0035,0.0494
55,low_quality,1,-0.6962,0.3927,-0.1127,-0.0396
56,medium_quality,0,-0.8894,0.688,-0.1689,0.1068
57,high_quality,1,-0.6848,0.8038,0.1726,0.3354
58,low_quality,0,-0.2476,0.4771,0.0603,0.3307
59,medium_quality,0,-0.613,0.4379,0.0942,-0.0752
60,high_quality,1,0.6184,0.6895,0.6196,0.3933
61,low_quality,0,0.2857,0.3118,0.5824,0.3531
62,medium_quality,1,0.7634,0.509,0.91,0.6423
63,high_quality,0,-1.048,0.7026,-0.2732,-0.112
64,low_quality,0,0.6595,0.342,0.7184,0.2426
65,medium_quality,1,0.3925,0.5121,0.8181,0.4592
66,high_quality,0,0.3455,0.6038,0.5817,0.4212
67,low_quality,1,0.5424,0.3696,0.8492,0.6562
68,medium_quality,0,0.4555,0.6485,0.6368,0.4923
69,high_quality,0,-0.3492,0.7315,0.2667,0.3405
70,low_quality,1,-0.9347,0.4183,-0.1638,0.1638
71,medium_quality,0,0.0097,0.5588,0.2971,0.0359
72,high_quality,1,0.8072,0.5767,1.0404,0.7554
73,low_quality,0,-0.1491,0.2855,0.2437,0.2516
74,medium_quality,0,0.4719,0.523,0.5069,0.2626
75,high_quality,1,-0.1437,0.5652,0.4531,0.3427
76,low_quality,0,-0.0197,0.4416,0.3883,0.4556
77,medium_quality,1,0.6196,0.6463,0.8305,0.4963
78,high_quality,0,0.249,0.6297,0.6234,0.5185
79,low_quality,0,-0.7531,0.2664,-0.133,0.0006
80,medium_quality,1,0.9419,0.4978,0.6469,0.6223
81,high_quality,0,-1.4732,0.548,-0.5529,0.0993
82,low_quality,1,-0.7691,0.4617,-0.2316,-0.104
83,medium_quality,0,0.3115,0.5366,0.5279,0.2885
84,high_quality,0,-0.8815,0.6032,-0.3341,-0.218
85,low_quality,1,0.5764,0.6225,0.8939,0.8074
86,medium_quality,0,-1.3379,0.5649,-0.6343,-0.1593
87,high_quality,1,0.3558,0.63,0.6458,0.4578
88,low_quality,0,-0.7017,0.4154,0.0552,0.0221
89,medium_quality,0,1.1115,0.3775,1.1109,0.6185
90,high_quality,1,0.7029,0.6229,0.9225,0.6209
91,low_quality,0,-0.6952,0.4803,-0.0635,0.1118
92,medium_quality,1,-0.0985,0.5146,0.3617,0.3122
93,high_quality,0,-0.1449,0.6316,0.2715,0.2522
94,low_quality,0,0.6667,0.4172,0.5869,0.1627
95,medium_quality,1,2.3415,0.5737,1.9223,1.114
96,high_quality,0,-0.3932,0.5875,0.3344,0.0956
97,low_quality,1,0.0926,0.5893,0.3417,0.0608
98,medium_quality,0,0.435,0.2816,0.5679,0.4133
99,high_quality,0,-0.8326,0.6235,-0.0747,0.1158
100,low_quality,1,0.8402,0.5168,0.8642,0.6745
101,medium_quality,0,1.3635,0.4521,1.1782,0.6151
102,high_quality,1,0.6036,0.5752,1.037,0.6116
103,low_quality,0,-0.5167,0.5445,0.2734,0.3836
104,medium_quality,0,-0.7907,0.4359,-0.1522,0.0268
105,high_quality,1,0.326,0.6505,0.6951,0.5793
106,low_quality,0,-0.2462,0.2974,0.2179,0.2117
107,medium_quality,1,1.0314,0.4728,1.0603,0.5803
108,high_quality,0,-0.131,0.4857,0.1019,-0.0146
109,low_quality,0,2.147,0.5719,1.5488,0.6729
110,medium_quality,1,0.9175,0.5277,1.0015,0.4132
111,high_quality,0,-0.1201,0.7269,0.3049,0.2326
112,low_quality,1,-0.7435,0.5476,-0.0397,0.1688
113,medium_quality,0,0.1528,0.3704,0.5102,0.26
114,high_quality,0,1.8959,0.7015,1.6131,0.9843
115,low_quality,1,0.817,0.4298,0.7981,0.4782
116,medium_quality,0,-0.6609,0.5611,-0.065,0.0822
117,high_quality,1,0.6051,0.616,0.9439,0.4341
118,low_quality,0,1.0089,0.418,0.8173,0.365
119,medium_quality,0,0.5053,0.5302,0.6213,0.4432
120,high_quality,1,-0.4203,0.6011,0.111,0.1552
121,low_quality,0,0.3115,0.4122,0.5906,0.2828
122,medium_quality,1,-1.1867,0.4961,-0.1463,-0.0485
123,high_quality,0,-0.0152,0.605,0.3346,0.1599
124,low_quality,0,0.4646,0.4213,0.6877,0.4824
125,medium_quality,1,-0.1169,0.4387,0.3856,0.1573
126,high_quality,0,1.6409,0.7024,1.5419,0.7756
127,low_quality,1,0.6531,0.4759,0.9027,0.5937
128,medium_quality,0,0.0822,0.3431,0.4349,0.1192
129,high_quality,0,1.289,0.5974,0.9605,0.6212
130,low_quality,1,0.0403,0.3312,0.2748,0.2047
131,medium_quality,0,1.0986,0.594,0.9577,0.5212
132,high_quality,1,0.7813,0.5221,0.9415,0.4432
133,low_quality,0,1.5996,0.4139,1.258,0.7727
134,medium_quality,0,0.0468,0.5585,0.2218,0.2827
135,high_quality,1,-2.1831,0.6976,-1.0112,-0.2467
136,low_quality,0,-1.2247,0.3979,-0.4824,-0.0964
137,medium_quality,1,-1.9455,0.6219,-0.4379,0.0416
138,high_quality,0,0.7779,0.7624,0.8375,0.6444
139,low_quality,0,-1.2908,0.4967,-0.4932,-0.1912
140,medium_quality,1,0.0143,0.4321,0.7233,0.6002
141,high_quality,0,-1.449,0.5584,-0.4147,-0.0037
142,low_quality,1,-0.1636,0.5199,0.5633,0.5302
143,medium_quality,0,-0.3066,0.6236,0.0184,0.099
144,high_quality,0,-0.936,0.6719,-0.2532,0.1273
145,low_quality,1,-0.7175,0.5372,0.0561,0.3583
146,medium_quality,0,-0.5118,0.362,0.1189,0.1112
147,high_quality,1,0.2719,0.6028,0.8734,0.5536
148,low_quality,0,-0.455,0.3947,0.2445,0.2662
