person_id,birth_cohort,region,reform_region,post_reform,compulsory_schooling,parental_schooling,urban,experience,schooling_years,log_wage
1,1936,atlantic,0,0,0,8,0,42,10.9208,2.8554
2,1937,quebec,1,0,0,9,1,42,12.314,2.9451
3,1938,ontario,1,0,0,8,1,42,12.8999,3.2595
4,1939,prairies,0,0,0,12,0,42,11.7816,3.2461
5,1940,atlantic,0,0,0,15,1,42,13.0861,3.121
6,1941,quebec,1,0,0,16,1,42,12.4159,3.171
7,1942,ontario,1,0,0,7,0,42,11.1993,2.9862
8,1943,prairies,0,0,0,8,0,40,11.6554,2.8733
9,1944,atlantic,0,0,0,9,1,41,11.1265,3.0045
10,1945,quebec,1,0,0,13,1,41,13.3354,3.0589
11,1946,ontario,1,1,1,12,0,36,12.7799,3.0552
12,1947,prairies,0,1,0,7,1,37,11.2512,2.9732
13,1948,atlantic,0,1,0,15,1,36,13.4145,2.9904
14,1949,quebec,1,1,1,12,0,36,13.6462,3.182
15,1950,ontario,1,1,1,9,1,35,13.2541,2.9875
16,1951,prairies,0,1,0,16,1,35,13.5192,3.2398
17,1952,atlantic,0,1,0,7,0,33,11.845,2.9018
18,1953,quebec,1,1,1,11,0,29,13.9851,3.1396
19,1936,ontario,1,0,0,15,1,42,14.5791,3.1675
20,1937,prairies,0,0,0,11,1,42,12.962,3.0448
21,1938,atlantic,0,0,0,10,0,42,11.6836,2.906
22,1939,quebec,1,0,0,12,1,42,13.5327,2.9687
23,1940,ontario,1,0,0,13,1,42,12.4082,3.1293
24,1941,prairies,0,0,0,12,0,41,12.3723,2.8332
25,1942,atlantic,0,0,0,15,1,42,13.8619,3.0696
26,1943,quebec,1,0,0,8,1,40,13.1004,2.9629
27,1944,ontario,1,0,0,9,0,40,11.3664,2.7941
28,1945,prairies,0,0,0,14,0,39,13.7363,3.1981
29,1946,atlantic,0,1,0,10,1,39,11.6342,3.2151
30,1947,quebec,1,1,1,9,1,39,13.4506,3.0502
31,1948,ontario,1,1,1,13,0,34,14.42,3.144
32,1949,prairies,0,1,0,16,1,34,13.0621,3.254
33,1950,atlantic,0,1,0,7,1,34,11.7108,2.9248
34,1951,quebec,1,1,1,12,0,31,13.8786,3.055
35,1952,ontario,1,1,1,9,1,32,12.3981,2.9936
36,1953,prairies,0,1,0,9,1,30,14.1265,2.9689
37,1936,atlantic,0,0,0,12,0,42,11.3347,2.8619
38,1937,quebec,1,0,0,13,0,42,12.4662,2.992
39,1938,ontario,1,0,0,14,1,42,12.8117,3.0657
40,1939,prairies,0,0,0,15,1,42,13.6826,3.2339
41,1940,atlantic,0,0,0,14,0,42,12.4602,2.9519
42,1941,quebec,1,0,0,8,1,42,12.4063,3.1499
43,1942,ontario,1,0,0,11,1,42,12.3753,3.0843
44,1943,prairies,0,0,0,9,0,41,12.9843,3.0523
45,1944,atlantic,0,0,0,11,1,40,13.017,3.132
46,1945,quebec,1,0,0,12,1,41,12.5745,2.9687
47,1946,ontario,1,1,1,12,0,39,13.3244,3.0616
48,1947,prairies,0,1,0,8,0,37,12.9406,2.8248
49,1948,atlantic,0,1,0,11,1,34,12.7796,3.0092
50,1949,quebec,1,1,1,9,1,35,14.4798,3.184
51,1950,ontario,1,1,1,11,0,34,14.277,3.2248
52,1951,prairies,0,1,0,14,1,32,12.6473,3.2462
53,1952,atlantic,0,1,0,10,1,30,11.8869,3.0547
54,1953,quebec,1,1,1,14,0,29,14.2089,3.2006
