person_id,birth_cohort,trend_group,reform,parental_schooling,schooling_years,log_wage
1,1938,stable_trend,0,7,10.1379,2.0712
2,1938,stable_trend,0,7,10.493,2.0875
3,1938,stable_trend,0,6,10.4818,2.6065
4,1938,stable_trend,0,12,11.8584,2.2415
5,1938,stable_trend,0,15,11.7053,2.5934
6,1938,stable_trend,0,14,11.8003,2.2978
7,1938,stable_trend,0,13,10.8221,2.527
8,1938,stable_trend,0,11,11.3758,2.4643
9,1938,stable_trend,0,15,12.375,2.593
10,1938,stable_trend,0,16,12.0729,2.4634
11,1938,stable_trend,0,10,11.2556,2.4013
12,1938,stable_trend,0,9,10.4089,1.9917
13,1938,stable_trend,0,16,11.6756,2.3698
14,1938,stable_trend,0,14,11.8293,2.6491
15,1938,stable_trend,0,15,11.3295,2.3205
16,1938,stable_trend,0,8,10.2127,2.2904
17,1938,stable_trend,0,14,11.7529,2.4626
18,1938,stable_trend,0,12,10.9027,2.2499
19,1939,stable_trend,0,16,12.1549,2.5644
20,1939,stable_trend,0,13,11.0283,2.3803
21,1939,stable_trend,0,13,12.4742,2.2595
22,1939,stable_trend,0,11,11.4058,2.5958
23,1939,stable_trend,0,7,10.649,2.3403
24,1939,stable_trend,0,14,10.1617,2.442
25,1939,stable_trend,0,12,12.8403,2.6562
26,1939,stable_trend,0,15,11.4027,2.4984
27,1939,stable_trend,0,6,10.5471,2.3209
28,1939,stable_trend,0,9,10.8371,2.0499
29,1939,stable_trend,0,12,11.0461,2.5701
30,1939,stable_trend,0,6,11.1081,2.3179
31,1939,stable_trend,0,13,12.7113,2.4158
32,1939,stable_trend,0,12,11.4781,2.2344
33,1939,stable_trend,0,11,10.862,2.2002
34,1939,stable_trend,0,11,11.7723,2.5929
35,1939,stable_trend,0,12,11.723,2.7562
36,1939,stable_trend,0,10,10.3127,2.3189
37,1940,stable_trend,0,12,10.5612,2.4776
38,1940,stable_trend,0,8,10.8545,2.3221
39,1940,stable_trend,0,9,10.527,2.3302
40,1940,stable_trend,0,9,10.9865,2.1455
41,1940,stable_trend,0,14,12.133,2.5658
42,1940,stable_trend,0,13,11.3761,2.2234
43,1940,stable_trend,0,6,10.1596,2.1532
44,1940,stable_trend,0,11,11.0132,2.4847
45,1940,stable_trend,0,9,11.7095,2.656
46,1940,stable_trend,0,15,13.9119,2.6743
47,1940,stable_trend,0,6,10.2045,2.2544
48,1940,stable_trend,0,16,12.3508,2.512
49,1940,stable_trend,0,14,11.5991,2.5128
50,1940,stable_trend,0,13,12.1823,2.5456
51,1940,stable_trend,0,6,9.8173,2.4041
52,1940,stable_trend,0,8,10.4149,2.2349
53,1940,stable_trend,0,9,10.7991,2.3063
54,1940,stable_trend,0,13,11.8613,2.6197
55,1941,stable_trend,0,10,11.3492,2.4193
56,1941,stable_trend,0,10,10.6272,2.1516
57,1941,stable_trend,0,7,11.1573,2.2188
58,1941,stable_trend,0,14,12.5234,2.763
59,1941,stable_trend,0,11,10.5663,2.4949
60,1941,stable_trend,0,12,11.7666,2.3307
61,1941,stable_trend,0,12,11.8226,2.539
62,1941,stable_trend,0,14,11.4604,2.7439
63,1941,stable_trend,0,14,13.1211,2.4425
64,1941,stable_trend,0,6,11.504,2.4867
65,1941,stable_trend,0,10,11.8178,2.3339
66,1941,stable_trend,0,11,11.6544,2.5209
67,1941,stable_trend,0,15,11.9578,2.8373
68,1941,stable_trend,0,7,10.6993,2.5335
69,1941,stable_trend,0,16,12.1726,2.6899
70,1941,stable_trend,0,7,11.4777,2.1934
71,1941,stable_trend,0,6,11.1015,2.1263
72,1941,stable_trend,0,16,12.9388,2.6327
73,1942,stable_trend,0,11,11.8261,2.437
74,1942,stable_trend,0,7,11.0386,2.3871
75,1942,stable_trend,0,11,12.239,2.4529
76,1942,stable_trend,0,13,10.9499,2.3361
77,1942,stable_trend,0,15,12.4877,2.6186
78,1942,stable_trend,0,15,12.5691,2.4855
79,1942,stable_trend,0,6,10.1158,2.5257
80,1942,stable_trend,0,13,11.4787,2.467
81,1942,stable_trend,0,11,11.5575,2.3645
82,1942,stable_trend,0,13,11.4097,2.3674
83,1942,stable_trend,0,11,12.0843,2.473
84,1942,stable_trend,0,10,11.3634,2.2451
85,1942,stable_trend,0,11,11.2613,2.5102
86,1942,stable_trend,0,13,13.0301,2.7279
87,1942,stable_trend,0,16,12.2327,2.5234
88,1942,stable_trend,0,15,12.6833,2.7829
89,1942,stable_trend,0,7,10.5065,2.3449
