household_id,parent,event_time,log_earnings,hours,participation_rate
1,mother,-5,3.7174,35.0191,0.9226
1,father,-5,3.6521,40.4442,0.9578
1,mother,-4,3.7521,34.2433,0.9504
1,father,-4,3.6708,39.7758,0.9742
1,mother,-3,3.7405,35.8101,0.9308
1,father,-3,3.7313,40.778,0.9747
1,mother,-2,3.7269,34.295,0.9596
1,father,-2,3.7455,40.157,0.9698
1,mother,-1,3.7811,34.6981,0.9512
1,father,-1,3.673,39.7875,0.9486
1,mother,0,3.6961,30.9897,0.9289
1,father,0,3.6561,39.4183,0.9696
1,mother,1,3.5786,30.5718,0.8747
1,father,1,3.7178,40.9946,0.9516
1,mother,2,3.4796,28.3067,0.8299
1,father,2,3.7207,39.5965,0.9878
1,mother,3,3.4658,28.2753,0.7903
1,father,3,3.7033,40.1052,0.9541
1,mother,4,3.5058,28.1717,0.7834
1,father,4,3.7271,39.5459,0.9611
1,mother,5,3.447,27.8592,0.764
1,father,5,3.714,39.2779,0.9417
1,mother,6,3.4311,27.7413,0.7541
1,father,6,3.7079,40.1763,0.9519
1,mother,7,3.4368,27.2404,0.7641
1,father,7,3.6893,40.6586,0.9667
1,mother,8,3.4789,27.039,0.7681
1,father,8,3.6933,40.2892,0.9564
1,mother,9,3.4337,27.373,0.7557
1,father,9,3.7336,40.1258,0.9561
1,mother,10,3.4058,26.9972,0.7566
1,father,10,3.7286,39.8698,0.9265
2,mother,-5,3.6232,36.5497,0.9069
2,father,-5,3.7478,40.6385,0.9721
2,mother,-4,3.6348,37.1205,0.9293
2,father,-4,3.7125,40.3085,0.972
2,mother,-3,3.593,35.3443,0.9356
2,father,-3,3.7162,39.9617,0.9781
2,mother,-2,3.5768,36.4767,0.9234
2,father,-2,3.7592,39.8786,0.9652
2,mother,-1,3.6356,36.4577,0.9437
2,father,-1,3.7503,40.3449,0.9875
2,mother,0,3.4841,32.6384,0.9388
2,father,0,3.7206,39.8465,0.957
2,mother,1,3.4627,32.1573,0.8697
2,father,1,3.7668,40.0187,0.9743
2,mother,2,3.3198,29.9917,0.8293
2,father,2,3.7395,39.6345,0.9669
2,mother,3,3.3839,30.1986,0.7857
2,father,3,3.7543,40.8572,0.9366
2,mother,4,3.2892,29.6174,0.7841
2,father,4,3.7419,40.7141,0.9595
2,mother,5,3.3126,29.4523,0.7762
2,father,5,3.6699,40.2295,0.9698
2,mother,6,3.3421,30.177,0.7646
2,father,6,3.7067,40.5377,0.9701
2,mother,7,3.2982,28.6802,0.7642
2,father,7,3.776,41.3076,0.9587
2,mother,8,3.2753,29.7763,0.7587
2,father,8,3.7072,40.7213,0.9528
2,mother,9,3.2857,28.8586,0.7718
2,father,9,3.7389,39.7489,0.9631
2,mother,10,3.3093,29.1345,0.7553
2,father,10,3.7924,40.4641,0.9573
3,mother,-5,3.6682,36.2836,0.936
3,father,-5,3.9092,41.4386,0.9661
3,mother,-4,3.6464,37.2315,0.909
3,father,-4,3.9269,40.6017,0.9783
3,mother,-3,3.6071,36.6734,0.9429
3,father,-3,3.9162,40.4978,0.9895
3,mother,-2,3.6489,37.2058,0.9156
3,father,-2,3.8818,41.1825,0.9568
3,mother,-1,3.6976,36.6738,0.9363
3,father,-1,3.8758,41.2499,0.969
