choice_id,worker_id,caregiver,long_commute,wage_a,wage_b,predictable_a,predictable_b,remote_a,remote_b,flexibility_a,flexibility_b,chosen_offer_a
1,1,1,0,29,22,0,0,0,1,0,1,0
2,1,1,0,27,26,0,0,0,0,1,0,1
3,1,1,0,34,29,0,0,0,0,0,1,1
4,1,1,0,20,27,1,0,1,0,1,1,1
5,1,1,0,23,22,0,1,0,1,0,0,0
6,1,1,0,25,30,1,1,0,0,0,1,0
7,2,1,0,28,22,1,0,0,0,0,1,1
8,2,1,0,25,33,1,1,0,1,1,0,0
9,2,1,0,26,21,1,1,0,0,0,1,0
10,2,1,0,21,24,0,0,0,0,1,0,1
11,2,1,0,23,22,1,1,0,1,1,0,1
12,2,1,0,34,30,0,0,0,1,0,0,0
13,3,0,0,33,32,0,0,1,0,0,0,0
14,3,0,0,31,25,0,0,0,1,1,0,1
15,3,0,0,23,27,1,0,1,1,1,0,1
16,3,0,0,34,20,0,1,1,0,0,1,1
17,3,0,0,20,32,0,0,0,1,0,1,0
18,3,0,0,24,33,0,0,1,0,0,1,0
19,4,0,1,32,27,0,0,0,1,0,1,0
20,4,0,1,32,24,1,0,1,1,1,0,1
21,4,0,1,28,27,0,1,1,0,0,1,0
22,4,0,1,31,20,0,1,0,0,0,1,1
23,4,0,1,22,24,0,1,0,0,1,0,0
24,4,0,1,24,32,1,1,1,0,0,0,0
25,5,0,0,28,32,0,0,0,0,0,0,1
26,5,0,0,24,31,1,0,0,0,0,0,0
27,5,0,0,31,32,1,0,1,0,0,1,1
28,5,0,0,21,21,0,0,1,0,0,1,0
29,5,0,0,28,26,0,1,1,0,0,0,0
30,5,0,0,21,24,1,0,1,0,0,1,1
31,6,1,0,24,20,1,1,1,1,1,0,0
32,6,1,0,29,25,1,1,0,0,0,0,0
33,6,1,0,23,26,0,1,0,0,0,0,0
34,6,1,0,34,27,0,0,1,0,1,0,1
35,6,1,0,25,25,0,1,0,0,1,0,0
36,6,1,0,32,21,1,0,0,0,1,0,1
37,7,1,0,31,33,0,0,0,0,1,0,1
38,7,1,0,31,20,0,1,1,0,1,0,1
39,7,1,0,20,31,0,1,1,1,1,1,0
40,7,1,0,33,21,1,0,1,1,0,0,1
41,7,1,0,32,26,1,0,0,0,0,0,1
42,7,1,0,20,24,1,0,0,0,0,1,0
43,8,0,1,23,20,1,0,0,0,0,0,1
44,8,0,1,21,32,0,0,0,0,0,1,0
45,8,0,1,34,29,0,1,1,1,1,0,1
46,8,0,1,31,20,1,1,0,0,1,1,1
47,8,0,1,27,24,0,1,0,1,1,1,0
48,8,0,1,30,28,0,0,0,0,1,0,0
49,9,0,0,29,28,0,0,0,0,0,0,0
50,9,0,0,33,28,1,1,0,0,0,0,1
51,9,0,0,34,23,0,0,1,0,0,0,1
52,9,0,0,23,29,0,1,1,0,0,1,0
53,9,0,0,26,30,1,1,0,0,1,1,0
54,9,0,0,31,22,1,1,0,0,0,0,0
55,10,0,0,22,23,1,1,0,0,0,0,1
56,10,0,0,21,29,0,1,1,0,0,0,0
57,10,0,0,22,34,0,0,0,0,0,0,0
58,10,0,0,33,22,0,1,0,1,1,0,1
59,10,0,0,22,22,0,0,0,0,0,0,1
60,10,0,0,30,24,1,0,0,0,0,0,1
61,11,1,0,21,26,1,1,0,0,1,0,1
62,11,1,0,31,27,1,0,1,0,1,0,1
63,11,1,0,33,24,1,1,1,0,0,1,1
64,11,1,0,31,33,0,1,0,0,0,1,0
65,11,1,0,25,27,0,1,0,0,1,1,0
66,11,1,0,27,20,0,1,0,1,0,0,1
67,12,1,1,30,33,0,0,0,1,1,1,0
68,12,1,1,34,31,0,0,1,0,1,0,1
69,12,1,1,33,33,1,0,0,1,1,0,1
70,12,1,1,28,22,1,0,0,0,1,0,1
71,12,1,1,20,25,1,1,0,0,0,0,0
72,12,1,1,25,21,0,1,1,0,1,1,1
73,13,0,0,30,22,1,0,1,0,0,1,1
74,13,0,0,32,22,1,0,1,0,0,1,1
75,13,0,0,28,28,1,1,1,1,1,1,1
76,13,0,0,31,20,1,0,0,1,0,1,0
77,13,0,0,33,27,0,1,0,0,1,1,1
78,13,0,0,26,31,1,0,1,0,0,1,1
79,14,0,0,33,34,1,0,0,1,1,1,1
80,14,0,0,30,21,0,0,0,1,1,1,1
81,14,0,0,22,32,1,0,1,1,0,0,1
82,14,0,0,34,28,1,0,0,1,1,0,1
83,14,0,0,29,27,1,0,1,0,0,0,1
84,14,0,0,32,26,1,0,1,1,0,1,0
85,15,0,0,33,21,1,0,0,0,0,0,1
86,15,0,0,31,29,0,0,0,0,0,1,0
87,15,0,0,26,29,1,0,0,0,1,0,0
88,15,0,0,34,25,0,1,0,0,0,1,1
89,15,0,0,29,30,1,1,1,1,1,0,1
90,15,0,0,34,32,0,1,1,0,1,1,1
91,16,1,1,30,27,1,1,0,0,1,0,1
92,16,1,1,29,32,0,1,0,0,1,1,0
93,16,1,1,23,29,1,1,0,1,0,0,0
94,16,1,1,24,21,0,0,0,0,0,1,1
95,16,1,1,30,33,1,1,0,0,1,0,1
96,16,1,1,32,23,1,0,0,0,1,1,1
97,17,1,0,26,28,1,0,0,0,0,1,1
98,17,1,0,32,32,1,1,0,1,0,1,0
99,17,1,0,24,20,1,1,1,1,1,1,1
100,17,1,0,24,32,1,1,0,0,0,0,0
101,17,1,0,28,27,0,1,0,0,1,1,0
102,17,1,0,31,31,1,0,1,0,1,1,1
103,18,0,0,21,25,1,0,0,0,0,0,0
104,18,0,0,28,31,0,1,1,1,0,1,0
105,18,0,0,30,25,1,1,0,0,0,1,0
106,18,0,0,22,31,0,1,0,0,0,0,0
107,18,0,0,27,25,0,1,0,0,1,0,1
