worker_id,worker_group,hourly_wage,amenity_value,total_job_value,wage_rank,total_value_rank,rank_change
383,frontline_track,20.517,3.8416799999999998,24.35868,124,316,-192
258,frontline_track,18.9,3.6837599999999995,22.583759999999998,52,221,-169
594,frontline_track,22.607,-1.8431200000000003,20.76388,279,111,168
447,frontline_track,22.544,-1.8070400000000002,20.73696,274,107,167
607,frontline_track,18.502,3.74152,22.24352,32,195,-163
199,frontline_track,18.403,3.6673599999999995,22.070359999999997,30,186,-156
519,frontline_track,20.337,3.1228000000000007,23.4598,114,265,-151
82,frontline_track,24.915,-1.8852000000000002,23.029799999999998,389,239,150
243,frontline_track,22.115,-1.8196800000000004,20.295319999999997,240,93,147
113,frontline_track,20.429,3.0284,23.4574,120,264,-144
233,frontline_track,20.504,2.9464799999999993,23.45048,122,263,-141
317,frontline_track,21.588,-1.8427200000000001,19.74528,201,61,140
364,frontline_track,20.423,2.8730399999999996,23.296039999999998,119,257,-138
169,frontline_track,21.929,3.742,25.671,233,371,-138
287,frontline_track,23.595,-1.52976,22.06524,321,184,137
262,frontline_track,20.167,2.87768,23.04468,108,243,-135
8,frontline_track,19.979,2.9253600000000004,22.90436,103,236,-133
639,frontline_track,19.539,2.94008,22.479080000000003,79,212,-133
17,frontline_track,20.577,2.86816,23.44516,129,262,-133
659,frontline_track,17.953,3.43856,21.39156,16,148,-132
228,frontline_track,22.179,-1.3002400000000003,20.87876,250,118,132
62,frontline_track,21.613,-1.7230400000000001,19.88996,203,72,131
547,frontline_track,23.701,-1.4753600000000002,22.22564,325,194,131
468,frontline_track,19.116,3.01104,22.12704,59,190,-131
358,frontline_track,19.299,2.9604799999999996,22.25948,68,198,-130
183,frontline_track,21.713,3.5006399999999998,25.21364,212,341,-129
4,frontline_track,19.428,2.9248000000000003,22.352800000000002,74,202,-128
492,frontline_track,24.463,-1.47568,22.98732,366,238,128
613,frontline_track,19.863,2.8023199999999995,22.665319999999998,99,226,-127
616,professional_track,32.85,1.0184800000000003,33.868480000000005,661,535,126
682,frontline_track,22.155,-1.1646400000000001,20.990360000000003,248,124,124
578,frontline_track,24.635,-1.43392,23.20108,377,253,124
553,frontline_track,22.727,-0.95832,21.76868,287,163,124
135,professional_track,33.333,1.2057599999999997,34.538759999999996,684,562,122
416,professional_track,34.86,0.39383999999999997,35.25384,712,592,120
537,frontline_track,21.572,2.8618399999999995,24.43384,199,318,-119
683,frontline_track,22.417,3.63888,26.055880000000002,264,383,-119
567,frontline_track,24.564,-1.30688,23.25712,375,256,119
29,frontline_track,20.817,2.48168,23.29868,141,258,-117
257,frontline_track,19.077,2.84888,21.925880000000003,58,174,-116
63,frontline_track,22.171,-1.00168,21.16932,249,134,115
160,professional_track,34.334,0.94384,35.277840000000005,708,593,115
634,frontline_track,21.568,2.7672000000000003,24.3352,198,313,-115
121,professional_track,32.358,1.0472799999999998,33.40528,635,520,115
453,frontline_track,21.47,2.61904,24.089039999999997,186,301,-115
649,frontline_track,18.183,3.04168,21.22468,24,137,-113
128,frontline_track,22.073,3.3033599999999996,25.37636,239,351,-112
277,frontline_track,21.072,2.3928799999999995,23.464879999999997,156,266,-110
214,frontline_track,22.553,-0.7340800000000003,21.818920000000002,276,166,110
623,frontline_track,21.545,-1.3846400000000003,20.16036,197,87,110
618,frontline_track,18.673,2.7967199999999997,21.46972,40,150,-110
152,frontline_track,24.339,-1.2050400000000001,23.13396,359,249,110
475,professional_track,31.068,0.6219199999999998,31.68992,576,467,109
545,professional_track,32.698,1.4975999999999998,34.1956,654,545,109
423,frontline_track,20.754,2.37808,23.132080000000002,139,248,-109
614,frontline_track,23.885,-1.2286400000000002,22.656360000000003,333,225,108
32,frontline_track,23.454,-0.9979200000000001,22.45608,317,210,107
88,frontline_track,22.131,-0.9199999999999999,21.211,243,136,107
87,frontline_track,22.727,-0.7056800000000002,22.02132,286,180,106
123,frontline_track,21.579,-1.23256,20.34644,200,94,106
477,frontline_track,21.704,-0.9784,20.7256,211,106,105
488,frontline_track,21.788,-0.9786400000000002,20.80936,217,113,104
428,frontline_track,21.535,-1.24872,20.28628,195,91,104
218,frontline_track,21.373,2.4054399999999996,23.77844,181,285,-104
493,frontline_track,24.79,-1.0201600000000004,23.76984,385,282,103
132,frontline_track,21.354,-1.3189600000000001,20.03504,180,77,103
584,frontline_track,22.299,-0.75904,21.53996,256,153,103
34,frontline_track,27.424,-1.98,25.444,458,356,102
129,frontline_track,21.489,-1.31064,20.17836,190,88,102
646,professional_track,31.249,1.1351200000000004,32.384119999999996,588,486,102
467,frontline_track,24.994,-1.0848800000000003,23.909119999999998,394,292,102
24,frontline_track,21.643,2.63848,24.281480000000002,207,309,-102
444,frontline_track,20.939,2.1379200000000003,23.07692,145,246,-101
242,frontline_track,22.37,-0.64856,21.72144,262,161,101
174,frontline_track,22.957,3.75696,26.71396,299,399,-100
522,frontline_track,19.137,2.5712,21.7082,60,160,-100
328,frontline_track,24.779,-1.0039200000000001,23.77508,383,283,100
677,frontline_track,21.719,2.6041600000000003,24.32316,213,312,-99
432,frontline_track,19.556,2.4712,22.0272,82,181,-99
38,frontline_track,20.628,2.24512,22.87312,133,232,-99
