worker_id,worker_group,hourly_wage,predictable_schedule,remote_option,low_injury_risk,autonomy_score,commute_minutes
1,professional_track,31.422,0,0,1,0.7405,18
2,frontline_track,22.431,1,0,1,0.6625,44
3,frontline_track,24.332,0,0,0,0.5624,43
4,frontline_track,19.428,1,0,1,0.552,40
5,professional_track,27.124,1,1,1,0.6182,28
6,professional_track,30.262,1,0,1,0.6361,18
7,frontline_track,24.555,1,0,1,0.4187,44
8,frontline_track,19.979,1,0,1,0.4689,36
9,frontline_track,22.868,0,0,0,0.617,36
10,professional_track,32.631,1,1,1,0.5289,21
11,professional_track,29.1,1,0,1,0.6042,28
12,frontline_track,25.416,0,0,1,0.4733,32
13,frontline_track,18.881,1,0,0,0.3968,59
14,frontline_track,21.51,1,0,0,0.3979,48
15,professional_track,29.279,1,0,1,0.7984,33
16,professional_track,30.643,1,1,1,0.6549,30
17,frontline_track,20.577,1,0,1,0.5909,43
18,frontline_track,22.211,1,0,0,0.5491,41
19,frontline_track,21.923,0,0,1,0.5117,36
20,professional_track,32.137,1,0,1,0.7276,33
21,professional_track,26.6,1,0,1,0.8396,42
22,frontline_track,21.813,1,0,0,0.4611,24
23,frontline_track,19.699,0,0,1,0.5363,38
24,frontline_track,21.643,1,0,1,0.5577,46
25,professional_track,33.098,1,0,1,0.9099,8
26,professional_track,34.334,1,1,1,0.4987,8
27,frontline_track,21.821,1,0,0,0.3647,49
28,frontline_track,18.355,0,0,0,0.348,44
29,frontline_track,20.817,0,1,1,0.5132,39
30,professional_track,28.726,1,1,1,0.6582,16
31,professional_track,34.111,1,1,1,0.6255,41
32,frontline_track,23.454,0,0,0,0.4592,42
33,frontline_track,21.638,0,0,0,0.5215,43
34,frontline_track,27.424,0,0,0,0.05,42
35,professional_track,29.207,0,0,1,0.9564,8
36,professional_track,26.296,1,1,1,0.7205,30
37,frontline_track,23.76,0,0,1,0.1372,35
38,frontline_track,20.628,1,0,1,0.2688,40
39,frontline_track,21.244,0,0,1,0.3762,41
40,professional_track,31.338,1,1,1,0.797,13
41,professional_track,33.01,1,0,1,0.6291,28
