worker_id,year,weight,college,female,experience,region,occupation_group,hourly_wage,annual_hours,annual_earnings,log_hourly_wage,log_annual_earnings
1,1980,0.8201310626653032,0,0,25,West,high_abstract,16.81926093520292,1897.68367809803,31917.63695440639,2.8225247139363194,10.370914018572945
2,1980,1.679666427508039,0,1,22,Northeast,middle_routine,12.900439234343786,1725.855729315301,22264.296963276116,2.5572613599619034,10.010739641388248
3,1980,1.8218982915361246,1,0,1,West,middle_routine,11.571999986846501,1827.9121898981975,21152.5998374585,2.4485883859772226,9.95951810067682
4,1980,1.2535831558040447,0,1,7,Midwest,high_abstract,10.565540614097438,2105.2835866060836,22243.4592384793,2.357597820047312,10.009803277567755
5,1980,0.7719958219389147,1,1,28,South,high_abstract,15.509193720768309,1845.6592431325735,28624.686744269697,2.741432991360632,10.262024797365035
6,1980,2.021636408313191,1,0,20,South,middle_routine,12.994742710399098,2120.0367865579074,27549.332577901296,2.5645448687746395,10.223733588440107
7,1980,1.019652307901084,0,1,8,West,low_service,9.090419994435061,1913.2670278723722,17392.400844864354,2.2072211111302726,9.763788656753192
8,1980,1.9421257819426438,1,0,36,South,high_abstract,19.330526987275558,2146.19933977352,41487.16425756501,2.961685555511608,10.633139363378794
9,1980,1.44543430233239,1,1,2,Midwest,low_service,8.014278907606702,2105.0101539770903,16870.13847731653,2.08122481415474,9.733300384001673
10,1980,1.0364096706383916,0,0,25,Midwest,low_service,7.025073901011019,1921.0647150272034,13495.621591690777,1.9494857348813486,9.51012058527987
11,1980,1.6116222090632066,1,0,32,West,middle_routine,16.19010359883039,2088.8773140331414,33819.140119443124,2.7844001666085636,10.428782196920686
12,1980,1.1806873172802368,0,0,8,Northeast,high_abstract,15.272793743661804,2095.885569537875,32010.028013869116,2.726073058858988,10.373804508123449
13,1980,2.0732388943873077,1,0,40,South,middle_routine,12.273662181719958,2252.480529723789,27646.185092731408,2.5074556805084542,10.227243026101775
