worker_id,year,firm_id,college,female,experience,worker_effect_true,firm_premium_true,amenity_value,log_wage,total_job_value
1,2016,9,1,1,19,0.200447190485755,-0.06817423843451054,-0.006371567906974022,2.661142865854399,2.654771297947425
2,2016,10,0,0,18,0.38727037018585736,0.01417147872215942,0.049490713396338204,3.0160323679748466,3.0655230813711847
3,2016,4,1,0,20,0.036725368307946156,-0.1942030148990611,-0.04852172652087386,2.5752439214265306,2.526722194905657
4,2016,15,0,0,10,0.17320167069130926,0.16809012295328016,0.13571829151181078,2.8318504786827168,2.9675687701945277
5,2016,11,1,0,12,-0.004205277893709365,0.06693248076938582,0.1209863332769304,2.645365756327515,2.766352089604445
6,2016,9,1,0,8,0.0875928709115531,-0.06817423843451054,-0.006371567906974022,2.4648321036476273,2.4584605357406533
7,2016,7,1,0,7,0.04252867845778876,-0.07601174098133015,0.04668673669539401,2.3587603064677745,2.4054470431631683
8,2016,11,1,1,19,-0.2450611277781245,0.06693248076938582,0.1209863332769304,2.396009882212703,2.5169962154896335
9,2016,18,0,1,13,-0.06061273669945958,0.28064301550651155,0.1366128635892917,2.6367715676375676,2.773384431226859
10,2016,7,0,1,3,-0.03034294242650361,-0.07601174098133015,0.04668673669539401,2.1530516698201465,2.1997384065155403
11,2016,18,0,0,19,-0.27801649271251017,0.28064301550651155,0.1366128635892917,2.5766706948682128,2.7132835584575044
12,2016,17,0,1,15,0.398973110595189,0.2229158466260953,0.1537850495334553,3.0912310070868023,3.2450160566202575
13,2016,6,0,0,12,0.12201514994884877,-0.1626617957937956,0.004619260060277231,2.4362165311722883,2.4408357912325656
14,2016,15,0,1,11,-0.052249905231037355,0.16809012295328016,0.13571829151181078,2.585045755167976,2.720764046679787
15,2016,9,0,0,4,-0.1207099305012731,-0.06817423843451054,-0.006371567906974022,2.296069377385266,2.289697809478292
16,2016,18,1,0,7,0.2921172317965632,0.28064301550651155,0.1366128635892917,3.0569697198902275,3.193582583479519
17,2016,14,0,0,15,-0.07414110015402123,0.16586284495507017,0.13907270378765751,2.5584384280054393,2.697511131793097
18,2016,6,0,1,14,-0.19104588791150048,-0.1626617957937956,0.004619260060277231,2.01049855552611,2.0151178155863874
19,2016,7,1,1,19,-0.012041588919386594,-0.07601174098133015,0.04668673669539401,2.47063336744982,2.517320104145214
20,2016,18,0,0,14,0.032573559999540855,0.28064301550651155,0.1366128635892917,2.9418160752286715,3.078428938817963
21,2016,9,1,1,11,0.007013385627096663,-0.06817423843451054,-0.006371567906974022,2.4449435581870986,2.4385719902801246
22,2016,3,0,1,9,-0.4919778374119681,-0.1883029488253625,-0.01609642471776382,1.7105544055703927,1.694457980852629
23,2016,5,0,1,5,0.020764954777308716,-0.14804096289500648,-0.030118958326311687,2.096310142427572,2.0661911841012603
24,2016,3,1,0,16,-0.20459987931346732,-0.1883029488253625,-0.01609642471776382,2.205027667219364,2.1889312425016003
25,2016,7,1,1,16,-0.21055920111081097,-0.07601174098133015,0.04668673669539401,2.092546390786871,2.1392331274822647
26,2016,4,1,1,8,0.07231228218825227,-0.1942030148990611,-0.04852172652087386,2.3359909707037114,2.2874692441828377
27,2016,3,1,1,20,-0.023889078513083663,-0.1883029488253625,-0.01609642471776382,2.428003565834657,2.411907141116893
28,2016,15,1,0,12,0.12528439637938465,0.16809012295328016,0.13571829151181078,2.9029257182934614,3.0386440098052723
29,2016,14,0,0,22,-0.19120715311862102,0.16586284495507017,0.13907270378765751,2.633587199557755,2.7726599033454127
30,2016,1,1,1,19,-0.4598351219138079,-0.31767325934003227,-0.004239379864093937,1.8770601246903262,1.8728207448262324
31,2016,7,0,0,15,-0.014519963934967798,-0.07601174098133015,0.04668673669539401,2.413768748738683,2.460455485434077
32,2016,4,0,1,3,-0.04297486244020324,-0.1942030148990611,-0.04852172652087386,2.1312553065412665,2.0827335800203928
33,2016,4,0,1,13,0.05321407089710713,-0.1942030148990611,-0.04852172652087386,2.4123213433488186,2.363799616827945
34,2016,5,0,1,8,-0.3473421902369692,-0.14804096289500648,-0.030118958326311687,1.917643486950334,1.8875245286240223
35,2016,9,0,1,18,-0.010325043689059666,-0.06817423843451054,-0.006371567906974022,2.4885934134906664,2.4822218455836924
36,2016,11,0,0,11,0.13039449644962234,0.06693248076938582,0.1209863332769304,2.705994966131961,2.8269812994088914
37,2016,3,0,1,7,0.10676864061735626,-0.1883029488253625,-0.01609642471776382,2.241708186753919,2.2256117620361553
38,2016,3,0,0,18,-0.0026413918967132495,-0.1883029488253625,-0.01609642471776382,2.3809807218590233,2.3648842971412596
39,2016,8,0,0,11,-0.23905713821999863,-0.05253658035648828,0.034102737584433315,2.2626905431304776,2.296793280714911
40,2016,8,1,0,21,-0.018486883367401986,-0.05253658035648828,0.034102737584433315,2.6640628552359877,2.698165592820421
41,2016,2,1,0,16,-0.352612759212083,-0.23876485036387385,-0.08098121698474023,1.8615584223715345,1.7805772053867943
42,2016,5,1,0,12,0.025921240995134456,-0.14804096289500648,-0.030118958326311687,2.375102715079803,2.3449837567534915
43,2016,12,0,1,15,0.1671762710015936,0.11307838697902907,0.10260112081923231,2.6599504142126227,2.762551535031855
44,2016,10,1,1,3,0.05809824772527589,0.01417147872215942,0.049490713396338204,2.4986333859874166,2.5481240993837546
45,2016,11,1,1,20,0.10602647555350266,0.06693248076938582,0.1209863332769304,2.8030469082440037,2.924033241520934
46,2016,11,0,1,14,0.17598655974000046,0.06693248076938582,0.1209863332769304,2.738325356077548,2.8593116893544783
47,2016,7,0,0,17,-0.06649904514879608,-0.07601174098133015,0.04668673669539401,2.339528332198867,2.386215068894261
48,2016,16,1,1,21,0.04571856979147119,0.19302845983921318,0.12334047055215136,2.7528233846074635,2.8761638551596147
49,2016,18,0,1,8,0.3688460579442293,0.28064301550651155,0.1366128635892917,2.9987541298093054,3.135366993398597
50,2016,16,1,0,15,0.10453489893851979,0.19302845983921318,0.12334047055215136,2.8480366323375232,2.9713771028896745
51,2016,14,0,1,15,0.1721911810106273,0.16586284495507017,0.13907270378765751,2.829481413879814,2.9685541176674715
52,2016,6,1,0,21,-0.01224696674734657,-0.1626617957937956,0.004619260060277231,2.3896834762538535,2.3943027363141307
53,2016,2,0,1,7,0.2596459492479207,-0.23876485036387385,-0.08098121698474023,2.36640733285294,2.2854261158681997
54,2016,3,0,0,3,-0.20280699335135746,-0.1883029488253625,-0.01609642471776382,2.018202239177324,2.0021058144595605
55,2016,12,0,0,16,0.29004407345312455,0.11307838697902907,0.10260112081923231,2.903533305580545,3.006134426399777
56,2016,15,1,1,6,-0.13587792871137094,0.16809012295328016,0.13571829151181078,2.2903656649244706,2.4260839564362815
57,2016,13,1,0,23,0.35344212416611787,0.11896910946779436,0.12349481689899336,3.294314249304015,3.4178090662030085
58,2016,17,1,1,15,0.025213105982855134,0.2229158466260953,0.1537850495334553,2.8148197975723726,2.9686048471058277
59,2016,15,0,1,20,0.410367483282361,0.16809012295328016,0.13571829151181078,3.0242617019182934,3.1599799934301043
60,2016,17,1,0,20,0.33092280095008053,0.2229158466260953,0.1537850495334553,3.2264629302769783,3.3802479798104335
61,2016,8,1,1,4,-0.05668075128079926,-0.05253658035648828,0.034102737584433315,2.3375849940005042,2.3716877315849376
62,2016,13,0,0,5,0.13419994428174953,0.11896910946779436,0.12349481689899336,2.6495498594254103,2.7730446763244037
63,2016,16,1,1,16,0.06485020055018914,0.19302845983921318,0.12334047055215136,2.6016769205642207,2.725017391116372
64,2016,9,0,0,15,0.10122494593864417,-0.06817423843451054,-0.006371567906974022,2.6129025284349368,2.6065309605279627
65,2016,4,1,0,17,-0.44622306707915127,-0.1942030148990611,-0.04852172652087386,1.903729787243309,1.855208060722435
66,2016,17,1,0,11,0.08683054833276795,0.2229158466260953,0.1537850495334553,2.87044395880318,3.024229008336635
67,2016,2,0,1,21,-0.14911242816106537,-0.23876485036387385,-0.08098121698474023,2.071382091230206,1.9904008742454657
68,2016,4,0,1,10,-0.1901319816295603,-0.1942030148990611,-0.04852172652087386,2.0467907695851797,1.9982690430643057
