application_id,firm_segment,city,resume_quality,signal_group,experience_years,leadership_signal,callback,signal_label,quality_label
1,national_chain,Boston,0,0,6,0,0,group_0,standard_quality
2,national_chain,Boston,1,1,7,1,0,group_1,high_quality
3,national_chain,Los Angeles,0,1,2,1,0,group_1,standard_quality
4,national_chain,Atlanta,1,1,2,1,1,group_1,high_quality
5,national_chain,Los Angeles,1,1,7,1,1,group_1,high_quality
6,national_chain,Atlanta,1,0,7,1,0,group_0,high_quality
7,national_chain,Atlanta,1,0,3,0,0,group_0,high_quality
8,national_chain,Atlanta,0,0,6,0,0,group_0,standard_quality
9,national_chain,Los Angeles,1,1,4,0,1,group_1,high_quality
10,national_chain,Los Angeles,1,0,5,0,0,group_0,high_quality
11,national_chain,Atlanta,0,1,6,0,0,group_1,standard_quality
12,national_chain,Boston,1,0,7,1,0,group_0,high_quality
13,national_chain,Los Angeles,0,0,5,1,0,group_0,standard_quality
14,national_chain,Boston,1,0,7,0,0,group_0,high_quality
15,national_chain,Chicago,0,1,7,0,0,group_1,standard_quality
16,national_chain,Atlanta,0,1,6,0,1,group_1,standard_quality
17,national_chain,Atlanta,0,0,7,0,0,group_0,standard_quality
18,national_chain,Chicago,0,1,6,0,0,group_1,standard_quality
19,national_chain,Boston,1,1,7,1,0,group_1,high_quality
20,national_chain,Chicago,1,0,2,0,0,group_0,high_quality
21,national_chain,Atlanta,0,0,6,1,0,group_0,standard_quality
22,national_chain,Atlanta,1,0,5,0,0,group_0,high_quality
23,national_chain,Los Angeles,1,0,5,1,0,group_0,high_quality
24,national_chain,Boston,1,0,7,0,0,group_0,high_quality
25,national_chain,Los Angeles,0,1,4,1,0,group_1,standard_quality
26,national_chain,Los Angeles,1,1,5,0,1,group_1,high_quality
27,national_chain,Chicago,1,1,5,0,1,group_1,high_quality
28,national_chain,Atlanta,0,1,7,1,0,group_1,standard_quality
29,national_chain,Chicago,0,1,2,0,0,group_1,standard_quality
30,national_chain,Los Angeles,0,0,3,1,0,group_0,standard_quality
31,national_chain,Los Angeles,0,1,4,0,0,group_1,standard_quality
32,national_chain,Chicago,0,1,4,1,0,group_1,standard_quality
33,national_chain,Chicago,1,1,3,1,0,group_1,high_quality
34,national_chain,Boston,1,0,2,0,0,group_0,high_quality
35,national_chain,Chicago,0,0,2,0,0,group_0,standard_quality
36,national_chain,Chicago,1,0,3,1,0,group_0,high_quality
37,national_chain,Chicago,1,1,5,0,0,group_1,high_quality
38,national_chain,Atlanta,1,0,2,1,0,group_0,high_quality
39,national_chain,Los Angeles,0,1,7,1,0,group_1,standard_quality
40,national_chain,Chicago,1,0,5,1,1,group_0,high_quality
41,national_chain,Chicago,0,1,2,1,0,group_1,standard_quality
42,national_chain,Los Angeles,0,1,5,0,0,group_1,standard_quality
43,national_chain,Chicago,1,1,5,0,0,group_1,high_quality
44,national_chain,Los Angeles,0,1,6,0,0,group_1,standard_quality
45,national_chain,Boston,1,0,3,1,1,group_0,high_quality
46,national_chain,Atlanta,0,1,4,1,0,group_1,standard_quality
47,national_chain,Boston,1,1,5,1,0,group_1,high_quality
48,national_chain,Atlanta,1,1,6,0,0,group_1,high_quality
49,national_chain,Los Angeles,1,0,2,0,0,group_0,high_quality
50,national_chain,Atlanta,1,0,7,0,0,group_0,high_quality
51,national_chain,Chicago,1,0,3,0,0,group_0,high_quality
52,national_chain,Los Angeles,0,1,6,1,0,group_1,standard_quality
53,national_chain,Chicago,0,0,4,1,1,group_0,standard_quality
54,national_chain,Los Angeles,1,0,5,0,0,group_0,high_quality
55,national_chain,Los Angeles,0,1,2,1,0,group_1,standard_quality
56,national_chain,Atlanta,1,0,7,0,0,group_0,high_quality
57,national_chain,Atlanta,1,0,7,0,1,group_0,high_quality
58,national_chain,Atlanta,1,0,2,0,0,group_0,high_quality
59,national_chain,Chicago,0,0,2,1,0,group_0,standard_quality
60,national_chain,Chicago,1,1,2,1,0,group_1,high_quality
61,national_chain,Los Angeles,1,0,4,1,0,group_0,high_quality
62,national_chain,Chicago,0,1,5,1,0,group_1,standard_quality
63,national_chain,Los Angeles,1,1,7,1,0,group_1,high_quality
64,national_chain,Boston,0,1,5,0,0,group_1,standard_quality
65,national_chain,Chicago,0,1,5,0,0,group_1,standard_quality
66,national_chain,Los Angeles,0,0,5,0,0,group_0,standard_quality
67,national_chain,Chicago,0,0,5,0,0,group_0,standard_quality
68,national_chain,Boston,1,1,4,1,0,group_1,high_quality
69,national_chain,Los Angeles,1,1,7,1,1,group_1,high_quality
70,national_chain,Chicago,0,0,2,1,0,group_0,standard_quality
71,national_chain,Los Angeles,0,0,5,0,0,group_0,standard_quality
72,national_chain,Chicago,0,0,7,1,0,group_0,standard_quality
73,national_chain,Los Angeles,1,1,6,1,0,group_1,high_quality
74,national_chain,Los Angeles,1,1,6,1,0,group_1,high_quality
75,national_chain,Atlanta,0,1,5,0,1,group_1,standard_quality
76,national_chain,Los Angeles,0,0,7,0,0,group_0,standard_quality
77,national_chain,Atlanta,1,0,5,0,1,group_0,high_quality
78,national_chain,Chicago,1,1,3,0,0,group_1,high_quality
79,national_chain,Los Angeles,0,0,2,0,0,group_0,standard_quality
80,national_chain,Atlanta,0,0,2,0,0,group_0,standard_quality
81,national_chain,Los Angeles,1,1,5,1,0,group_1,high_quality
82,national_chain,Boston,1,1,6,1,1,group_1,high_quality
83,national_chain,Chicago,0,1,2,0,0,group_1,standard_quality
84,national_chain,Atlanta,0,1,6,1,0,group_1,standard_quality
85,national_chain,Chicago,1,0,7,1,1,group_0,high_quality
86,national_chain,Boston,1,0,6,0,0,group_0,high_quality
87,national_chain,Boston,0,0,7,0,0,group_0,standard_quality
88,national_chain,Los Angeles,1,1,6,1,0,group_1,high_quality
89,national_chain,Chicago,0,0,2,1,0,group_0,standard_quality
90,national_chain,Atlanta,0,1,6,1,0,group_1,standard_quality
91,national_chain,Chicago,1,0,7,1,1,group_0,high_quality
92,national_chain,Boston,1,1,5,1,1,group_1,high_quality
93,national_chain,Atlanta,1,0,2,1,0,group_0,high_quality
94,national_chain,Chicago,1,0,5,0,0,group_0,high_quality
95,national_chain,Los Angeles,0,1,3,0,0,group_1,standard_quality
96,national_chain,Chicago,0,1,3,0,1,group_1,standard_quality
97,national_chain,Atlanta,1,1,6,1,0,group_1,high_quality
98,national_chain,Boston,0,1,4,0,0,group_1,standard_quality
99,national_chain,Chicago,1,1,4,1,0,group_1,high_quality
100,national_chain,Chicago,0,0,7,0,0,group_0,standard_quality
101,national_chain,Los Angeles,0,1,2,1,0,group_1,standard_quality
102,national_chain,Chicago,0,1,4,1,0,group_1,standard_quality
103,national_chain,Boston,0,0,3,0,0,group_0,standard_quality
104,national_chain,Boston,0,1,2,1,0,group_1,standard_quality
105,national_chain,Los Angeles,0,0,6,0,0,group_0,standard_quality
106,national_chain,Atlanta,0,0,4,0,0,group_0,standard_quality
107,national_chain,Boston,1,1,7,1,0,group_1,high_quality
108,national_chain,Chicago,0,1,2,0,0,group_1,standard_quality
