firm_id,firm_name,segment,raw_gap_group1_minus_group0,gap_se,shrunken_gap,raw_rank,shrunken_rank
19,firm_19,sales,-0.17907977490897053,0.0765921482255631,-0.023142756465607,1.0,1.0
4,firm_04,retail,-0.0997920997920998,0.06870106771621912,-0.022130038455873705,2.0,2.0
14,firm_14,support,-0.09956709956709955,0.07858557414329108,-0.021744738709905502,3.0,3.0
17,firm_17,support,-0.07643097643097643,0.07087591540744827,-0.021576577403252736,4.0,4.0
23,firm_23,sales,-0.06998880179171332,0.06790023455784035,-0.021535544931197474,5.0,5.0
16,firm_16,support,-0.041728763040238454,0.04763626338210348,-0.021381274643176105,6.0,6.0
8,firm_08,logistics,-0.033903301886792456,0.05327839378940608,-0.02094123677184298,8.0,7.0
7,firm_07,logistics,-0.03529411764705881,0.09406188274945254,-0.02065011204241079,7.0,8.0
3,firm_03,retail,-0.03101604278074868,0.08083519673148164,-0.0206433405323753,9.0,9.0
11,firm_11,logistics,-0.022448979591836726,0.05898031961435374,-0.02053949011237949,10.0,10.0
5,firm_05,retail,-0.021241830065359485,0.07984555274153868,-0.02049629300047944,11.0,11.0
18,firm_18,support,-0.01790281329923274,0.08500931494826945,-0.02044936027323634,12.0,12.0
2,firm_02,retail,-0.006416751097602175,0.07850648916352378,-0.02025999015742501,13.0,13.0
12,firm_12,logistics,0.0023310023310023353,0.09101693210999269,-0.020212468885647556,17.0,14.0
13,firm_13,support,-0.002105263157894749,0.07865781804748496,-0.020192262581813374,15.0,15.0
15,firm_15,support,0.007749326145552543,0.07554429240500057,-0.019998388848679178,18.0,16.0
10,firm_10,logistics,-0.001977401129943504,0.05907559304683015,-0.01996906737522983,16.0,17.0
1,firm_01,retail,-0.00457424349049966,0.05374168794636245,-0.019952153913520093,14.0,18.0
24,firm_24,sales,0.013363754889178625,0.07296019142410795,-0.019860457793472563,20.0,19.0
9,firm_09,logistics,0.02149877149877151,0.07380995225047297,-0.01972785664968191,21.0,20.0
22,firm_22,sales,0.01251862891207152,0.06070314499432418,-0.019612621448787726,19.0,21.0
6,firm_06,retail,0.08214285714285716,0.08864489423566638,-0.019194971796206627,24.0,22.0
20,firm_20,sales,0.055439017081210684,0.06690355863128455,-0.018825460183667632,22.0,23.0
21,firm_21,sales,0.05679452869461789,0.06565231147615197,-0.018732327504720547,23.0,24.0
