firm_id,firm_name,segment,callback_rate_group_0,callback_rate_group_1,n_group_0,n_group_1,raw_gap_group1_minus_group0,gap_se,shrinkage_weight,shrunken_gap,overall_gap
19,firm_19,sales,0.3018867924528302,0.12280701754385964,53.0,57.0,-0.17907977490897053,0.0765921482255631,0.01676064592747823,-0.023142756465607,-0.020484598874283534
4,firm_04,retail,0.15384615384615385,0.05405405405405406,39.0,37.0,-0.0997920997920998,0.06870106771621912,0.020747590865273714,-0.022130038455873705,-0.020484598874283534
14,firm_14,support,0.19047619047619047,0.09090909090909091,42.0,33.0,-0.09956709956709955,0.07858557414329108,0.015934496564755745,-0.021744738709905502,-0.020484598874283534
17,firm_17,support,0.2037037037037037,0.12727272727272726,54.0,55.0,-0.07643097643097643,0.07087591540744827,0.01951830621853314,-0.021576577403252736,-0.020484598874283534
23,firm_23,sales,0.14893617021276595,0.07894736842105263,47.0,38.0,-0.06998880179171332,0.06790023455784035,0.021229430936740044,-0.021535544931197474,-0.020484598874283534
16,firm_16,support,0.09090909090909091,0.04918032786885246,55.0,61.0,-0.041728763040238454,0.04763626338210348,0.0422080982752689,-0.021381274643176105,-0.020484598874283534
8,firm_08,logistics,0.109375,0.07547169811320754,64.0,53.0,-0.033903301886792456,0.05327839378940608,0.03402995782332806,-0.02094123677184298,-0.020484598874283534
7,firm_07,logistics,0.23529411764705882,0.2,34.0,45.0,-0.03529411764705881,0.09406188274945254,0.011176134124730784,-0.02065011204241079,-0.020484598874283534
3,firm_03,retail,0.17647058823529413,0.14545454545454545,34.0,55.0,-0.03101604278074868,0.08083519673148164,0.015073114332813664,-0.0206433405323753,-0.020484598874283534
11,firm_11,logistics,0.12244897959183673,0.1,49.0,70.0,-0.022448979591836726,0.05898031961435374,0.027943278818339592,-0.02053949011237949,-0.020484598874283534
5,firm_05,retail,0.1388888888888889,0.11764705882352941,36.0,34.0,-0.021241830065359485,0.07984555274153868,0.015443270607079734,-0.02049629300047944,-0.020484598874283534
18,firm_18,support,0.23529411764705882,0.21739130434782608,51.0,46.0,-0.01790281329923274,0.08500931494826945,0.01364892630423053,-0.02044936027323634,-0.020484598874283534
2,firm_02,retail,0.2127659574468085,0.20634920634920634,47.0,63.0,-0.006416751097602175,0.07850648916352378,0.015966103729870694,-0.02025999015742501,-0.020484598874283534
12,firm_12,logistics,0.1794871794871795,0.18181818181818182,39.0,33.0,0.0023310023310023353,0.09101693210999269,0.011927364358600886,-0.020212468885647556,-0.020484598874283534
13,firm_13,support,0.16,0.15789473684210525,50.0,38.0,-0.002105263157894749,0.07865781804748496,0.01590570502553493,-0.020192262581813374,-0.020484598874283534
15,firm_15,support,0.18867924528301888,0.19642857142857142,53.0,56.0,0.007749326145552543,0.07554429240500057,0.017220773422850815,-0.019998388848679178,-0.020484598874283534
10,firm_10,logistics,0.11864406779661017,0.11666666666666667,59.0,60.0,-0.001977401129943504,0.05907559304683015,0.02785572976391665,-0.01996906737522983,-0.020484598874283534
1,firm_01,retail,0.08620689655172414,0.08163265306122448,58.0,49.0,-0.00457424349049966,0.05374168794636245,0.03346530909712552,-0.019952153913520093,-0.020484598874283534
24,firm_24,sales,0.17307692307692307,0.1864406779661017,52.0,59.0,0.013363754889178625,0.07296019142410795,0.01843933342142931,-0.019860457793472563,-0.020484598874283534
9,firm_09,logistics,0.11363636363636363,0.13513513513513514,44.0,37.0,0.02149877149877151,0.07380995225047297,0.018024808820191814,-0.01972785664968191,-0.020484598874283534
22,firm_22,sales,0.11475409836065574,0.12727272727272726,61.0,55.0,0.01251862891207152,0.06070314499432418,0.026420974067764395,-0.019612621448787726,-0.020484598874283534
6,firm_06,retail,0.14285714285714285,0.225,35.0,40.0,0.08214285714285716,0.08864489423566638,0.01256610197822227,-0.019194971796206627,-0.020484598874283534
20,firm_20,sales,0.1276595744680851,0.18309859154929578,47.0,71.0,0.055439017081210684,0.06690355863128455,0.021852735406971042,-0.018825460183667632,-0.020484598874283534
21,firm_21,sales,0.11864406779661017,0.17543859649122806,59.0,57.0,0.05679452869461789,0.06565231147615197,0.022674574942641242,-0.018732327504720547,-0.020484598874283534
