year,exposure_group,ee_reallocation_rate,log_firm_employment,native_wage_growth
2014,high_exposure,0.09579971964341144,4.474050990375797,0.009418891857264609
2015,high_exposure,0.10456498049354468,4.485589280759308,0.01234498807718602
2016,high_exposure,0.10881905964050961,4.499335995253328,0.01229798653582254
2017,high_exposure,0.11515167781558551,4.504694201185606,0.013720446966917318
2018,high_exposure,0.1412756030608248,4.552075331277666,0.02021711303681689
2019,high_exposure,0.14624060733741068,4.5570819180347275,0.02345826401109578
2020,high_exposure,0.15084097992741416,4.575794991183566,0.022831962148839098
2021,high_exposure,0.1602116885524714,4.58039262409188,0.02721257712576426
2022,high_exposure,0.16669703565369512,4.586689756124931,0.026354714435763947
2014,low_exposure,0.07302696759885122,4.4653907174089245,0.0071693442905303995
2015,low_exposure,0.08003412548443296,4.459166989759423,0.00847007018814725
2016,low_exposure,0.08488576320585589,4.479537209068232,0.008969696663335521
2017,low_exposure,0.08796616865033867,4.480315338437526,0.01232822415790867
2018,low_exposure,0.10157644417670678,4.522666184040578,0.017284492265514862
2019,low_exposure,0.11456051349050059,4.526674525905451,0.019833168944570788
2020,low_exposure,0.11323373824078442,4.546580197247923,0.02108010442816568
2021,low_exposure,0.12380058399014246,4.5416785579108225,0.020177854740121952
2022,low_exposure,0.13081565357297942,4.562178403637006,0.02019611530727483
