city,industry,year,local_demand_index,employment,wage_index
North,Manufacturing,2016,100,120,1.00
North,Manufacturing,2018,108,126,1.03
North,Manufacturing,2020,116,133,1.07
North,Services,2016,100,160,1.00
North,Services,2018,105,166,1.02
North,Services,2020,111,172,1.04
South,Manufacturing,2016,100,140,1.00
South,Manufacturing,2018,97,138,0.99
South,Manufacturing,2020,94,134,0.98
South,Services,2016,100,170,1.00
South,Services,2018,102,172,1.01
South,Services,2020,103,173,1.02
Coast,Manufacturing,2016,100,110,1.00
Coast,Manufacturing,2018,112,118,1.04
Coast,Manufacturing,2020,124,129,1.09
Coast,Services,2016,100,180,1.00
Coast,Services,2018,109,188,1.03
Coast,Services,2020,119,199,1.06
Inland,Manufacturing,2016,100,130,1.00
Inland,Manufacturing,2018,96,127,0.98
Inland,Manufacturing,2020,92,123,0.97
Inland,Services,2016,100,150,1.00
Inland,Services,2018,99,149,0.99
Inland,Services,2020,101,151,1.00
