city,industry,year,local_demand_index,employment,wage_index,log_demand,log_employment,log_wage,dlog_demand,dlog_employment,dlog_wage,baseline_employment,cell
Coast,Manufacturing,2018,112,118,1.04,4.718498871295094,4.770684624465665,0.03922071315328133,0.11332868530700235,0.07020425867324853,0.03922071315328133,110.0,Coast - Manufacturing
Coast,Manufacturing,2020,124,129,1.09,4.820281565605037,4.859812404361672,0.08617769624105241,0.10178269430994291,0.08912777989600684,0.04695698308777108,118.0,Coast - Manufacturing
Coast,Services,2018,109,188,1.03,4.6913478822291435,5.236441962829949,0.02955880224154443,0.08617769624105165,0.04348511193973881,0.02955880224154443,180.0,Coast - Services
Coast,Services,2020,119,199,1.06,4.77912349311153,5.293304824724492,0.058268908123975824,0.08777561088238617,0.05686286189454304,0.028710105882431395,188.0,Coast - Services
Inland,Manufacturing,2018,96,127,0.98,4.564348191467836,4.844187086458591,-0.020202707317519466,-0.0408219945202557,-0.023347363996991,-0.020202707317519466,130.0,Inland - Manufacturing
Inland,Manufacturing,2020,92,123,0.97,4.5217885770490405,4.812184355372417,-0.030459207484708574,-0.04255961441879563,-0.03200273108617413,-0.010256500167189108,127.0,Inland - Manufacturing
Inland,Services,2018,99,149,0.99,4.59511985013459,5.003946305945459,-0.01005033585350145,-0.010050335853502013,-0.006688988150796327,-0.01005033585350145,150.0,Inland - Services
Inland,Services,2020,101,151,1.0,4.61512051684126,5.017279836814924,0.0,0.02000066670666989,0.013333530869465093,0.01005033585350145,149.0,Inland - Services
North,Manufacturing,2018,108,126,1.03,4.68213122712422,4.836281906951478,0.02955880224154443,0.07696104113612812,0.04879016416943216,0.02955880224154443,120.0,North - Manufacturing
North,Manufacturing,2020,116,133,1.07,4.7535901911063645,4.890349128221754,0.06765864847381486,0.07145896398214457,0.054067221270275745,0.03809984623227043,126.0,North - Manufacturing
North,Services,2018,105,166,1.02,4.653960350157523,5.111987788356544,0.01980262729617973,0.04879016416943127,0.03681397312271706,0.01980262729617973,160.0,North - Services
North,Services,2020,111,172,1.04,4.709530201312334,5.147494476813453,0.03922071315328133,0.055569851154810834,0.035506688456909075,0.0194180858571016,166.0,North - Services
South,Manufacturing,2018,97,138,0.99,4.574710978503383,4.927253685157205,-0.01005033585350145,-0.030459207484708983,-0.014388737452098788,-0.01005033585350145,140.0,South - Manufacturing
South,Manufacturing,2020,94,134,0.98,4.543294782270004,4.897839799950911,-0.020202707317519466,-0.03141619623337899,-0.029413885206293955,-0.010152371464018015,138.0,South - Manufacturing
South,Services,2018,102,172,1.01,4.624972813284271,5.147494476813453,0.009950330853168092,0.019802627296178876,0.011696039763190669,0.009950330853168092,170.0,South - Services
South,Services,2020,103,173,1.02,4.634728988229636,5.153291594497779,0.01980262729617973,0.009756174945365181,0.005797117684326558,0.009852296443011638,172.0,South - Services
