firm_id,uncertainty_group,period,event_time,target_employment,actual_employment,hours_index
F1,low,0,-1,100,100,100
F1,low,1,0,110,103,107
F1,low,2,1,110,106,109
F1,low,3,2,110,108,110
F1,low,4,3,110,109,110.5
F2,low,0,-1,98,98,100
F2,low,1,0,109,102,106
F2,low,2,1,109,105,108
F2,low,3,2,109,107,109
F2,low,4,3,109,108,109.5
F3,high,0,-1,101,101,100
F3,high,1,0,111,102,105
F3,high,2,1,111,104,106
F3,high,3,2,111,106,107
F3,high,4,3,111,108,108
F4,high,0,-1,99,99,100
F4,high,1,0,108,100,104
F4,high,2,1,108,102,105
F4,high,3,2,108,104,106
F4,high,4,3,108,106,107
