firm_id,uncertainty_group,period,event_time,target_employment,actual_employment,hours_index,next_actual_employment,next_hours_index,employment_gap,headcount_change_next,hours_change_next,gap_closure_share
F1,low,0,-1,100,100,100.0,103.0,107.0,0,3.0,7.0,
F1,low,1,0,110,103,107.0,106.0,109.0,7,3.0,2.0,0.42857142857142855
F1,low,2,1,110,106,109.0,108.0,110.0,4,2.0,1.0,0.5
F1,low,3,2,110,108,110.0,109.0,110.5,2,1.0,0.5,0.5
F1,low,4,3,110,109,110.5,,,1,,,
F2,low,0,-1,98,98,100.0,102.0,106.0,0,4.0,6.0,
F2,low,1,0,109,102,106.0,105.0,108.0,7,3.0,2.0,0.42857142857142855
F2,low,2,1,109,105,108.0,107.0,109.0,4,2.0,1.0,0.5
F2,low,3,2,109,107,109.0,108.0,109.5,2,1.0,0.5,0.5
F2,low,4,3,109,108,109.5,,,1,,,
F3,high,0,-1,101,101,100.0,102.0,105.0,0,1.0,5.0,
F3,high,1,0,111,102,105.0,104.0,106.0,9,2.0,1.0,0.2222222222222222
F3,high,2,1,111,104,106.0,106.0,107.0,7,2.0,1.0,0.2857142857142857
F3,high,3,2,111,106,107.0,108.0,108.0,5,2.0,1.0,0.4
F3,high,4,3,111,108,108.0,,,3,,,
F4,high,0,-1,99,99,100.0,100.0,104.0,0,1.0,4.0,
F4,high,1,0,108,100,104.0,102.0,105.0,8,2.0,1.0,0.25
F4,high,2,1,108,102,105.0,104.0,106.0,6,2.0,1.0,0.3333333333333333
F4,high,3,2,108,104,106.0,106.0,107.0,4,2.0,1.0,0.5
F4,high,4,3,108,106,107.0,,,2,,,
