scenario,horizon,target_level,hours_level,headcount_level
convex-demand-expansion,0,100.0,100.0,100.0
convex-demand-expansion,1,110.00000000000001,107.50000000000001,103.5
convex-demand-expansion,2,110.00000000000001,109.37500000000001,105.775
convex-demand-expansion,3,110.00000000000001,109.84375000000001,107.25375000000001
convex-demand-expansion,4,110.00000000000001,109.96093750000001,108.2149375
convex-demand-expansion,5,110.00000000000001,109.99023437500001,108.83970937500001
convex-demand-expansion,6,110.00000000000001,109.99755859375001,109.24581109375
nonconvex-demand-expansion,0,100.0,100.0,100.0
nonconvex-demand-expansion,1,110.00000000000001,108.00000000000001,107.50000000000001
nonconvex-demand-expansion,2,110.00000000000001,109.60000000000001,107.50000000000001
nonconvex-demand-expansion,3,110.00000000000001,109.92000000000002,107.50000000000001
nonconvex-demand-expansion,4,110.00000000000001,109.98400000000001,107.50000000000001
nonconvex-demand-expansion,5,110.00000000000001,109.99680000000001,107.50000000000001
nonconvex-demand-expansion,6,110.00000000000001,109.99936000000001,107.50000000000001
payroll-tax-cut,0,100.0,100.0,100.0
payroll-tax-cut,1,106.0,103.9,104.5
payroll-tax-cut,2,106.0,105.265,104.5
payroll-tax-cut,3,106.0,105.74275,104.5
payroll-tax-cut,4,106.0,105.9099625,104.5
payroll-tax-cut,5,106.0,105.968486875,104.5
payroll-tax-cut,6,106.0,105.98897040625,104.5
