team_id,store_id,event_time,incentive_group,complementarity_group,sales_index,profit_index,attendance_rate
C1,S1,-2,control,high,100,100,0.950
C1,S1,-1,control,high,101,100,0.952
C1,S1,0,control,high,101,101,0.952
C1,S1,1,control,high,102,101,0.953
C1,S1,2,control,high,102,102,0.953
C1,S1,3,control,high,103,102,0.954
C2,S2,-2,control,high,99,99,0.946
C2,S2,-1,control,high,100,100,0.947
C2,S2,0,control,high,100,100,0.948
C2,S2,1,control,high,101,100,0.949
C2,S2,2,control,high,101,101,0.949
C2,S2,3,control,high,102,101,0.950
C3,S3,-2,control,low,98,98,0.942
C3,S3,-1,control,low,99,98,0.943
C3,S3,0,control,low,99,99,0.943
C3,S3,1,control,low,100,99,0.944
C3,S3,2,control,low,100,99,0.944
C3,S3,3,control,low,101,100,0.945
T1,S4,-2,treated,high,101,100,0.949
T1,S4,-1,treated,high,102,101,0.950
T1,S4,0,treated,high,109,108,0.958
T1,S4,1,treated,high,112,111,0.961
T1,S4,2,treated,high,114,113,0.963
T1,S4,3,treated,high,116,115,0.964
T2,S5,-2,treated,high,100,99,0.948
T2,S5,-1,treated,high,101,100,0.949
T2,S5,0,treated,high,108,107,0.957
T2,S5,1,treated,high,111,110,0.960
T2,S5,2,treated,high,113,112,0.962
T2,S5,3,treated,high,115,114,0.963
T3,S6,-2,treated,low,99,99,0.944
T3,S6,-1,treated,low,100,99,0.945
T3,S6,0,treated,low,103,102,0.950
T3,S6,1,treated,low,104,103,0.952
T3,S6,2,treated,low,105,104,0.953
T3,S6,3,treated,low,106,105,0.954
