team_id,store_id,event_time,incentive_group,complementarity_group,sales_index,profit_index,attendance_rate,post
C1,S1,-2,control,high,100,100,0.95,0
C1,S1,-1,control,high,101,100,0.952,0
C1,S1,0,control,high,101,101,0.952,1
C1,S1,1,control,high,102,101,0.953,1
C1,S1,2,control,high,102,102,0.953,1
C1,S1,3,control,high,103,102,0.954,1
C2,S2,-2,control,high,99,99,0.946,0
C2,S2,-1,control,high,100,100,0.947,0
C2,S2,0,control,high,100,100,0.948,1
C2,S2,1,control,high,101,100,0.949,1
C2,S2,2,control,high,101,101,0.949,1
C2,S2,3,control,high,102,101,0.95,1
C3,S3,-2,control,low,98,98,0.942,0
C3,S3,-1,control,low,99,98,0.943,0
C3,S3,0,control,low,99,99,0.943,1
C3,S3,1,control,low,100,99,0.944,1
C3,S3,2,control,low,100,99,0.944,1
C3,S3,3,control,low,101,100,0.945,1
T1,S4,-2,treated,high,101,100,0.949,0
T1,S4,-1,treated,high,102,101,0.95,0
T1,S4,0,treated,high,109,108,0.958,1
T1,S4,1,treated,high,112,111,0.961,1
T1,S4,2,treated,high,114,113,0.963,1
T1,S4,3,treated,high,116,115,0.964,1
T2,S5,-2,treated,high,100,99,0.948,0
T2,S5,-1,treated,high,101,100,0.949,0
T2,S5,0,treated,high,108,107,0.957,1
T2,S5,1,treated,high,111,110,0.96,1
T2,S5,2,treated,high,113,112,0.962,1
T2,S5,3,treated,high,115,114,0.963,1
T3,S6,-2,treated,low,99,99,0.944,0
T3,S6,-1,treated,low,100,99,0.945,0
T3,S6,0,treated,low,103,102,0.95,1
T3,S6,1,treated,low,104,103,0.952,1
T3,S6,2,treated,low,105,104,0.953,1
T3,S6,3,treated,low,106,105,0.954,1
