rule,employee_id,frontline_performance,collaboration_signal,managerial_potential,promoted,post_promotion_output
performance_first,E1,96,70,72,1,74
performance_first,E2,94,68,71,1,73
performance_first,E3,92,66,69,1,71
performance_first,E4,88,74,82,0,0
performance_first,E5,86,78,88,0,0
performance_first,E6,84,80,90,0,0
performance_first,E7,82,76,85,0,0
performance_first,E8,80,72,79,0,0
balanced,E1,96,70,72,1,74
balanced,E2,94,68,71,0,0
balanced,E3,92,66,69,0,0
balanced,E4,88,74,82,1,84
balanced,E5,86,78,88,1,90
balanced,E6,84,80,90,0,0
balanced,E7,82,76,85,0,0
balanced,E8,80,72,79,0,0
potential_first,E1,96,70,72,0,0
potential_first,E2,94,68,71,0,0
potential_first,E3,92,66,69,0,0
potential_first,E4,88,74,82,1,84
potential_first,E5,86,78,88,1,90
potential_first,E6,84,80,90,1,92
potential_first,E7,82,76,85,0,0
potential_first,E8,80,72,79,0,0
