month,seeker_type,unemployed,matches,vacancies
2025-01,recently-separated,180,86,170
2025-01,mid-duration,90,21,170
2025-01,long-duration,30,2,170
2025-02,recently-separated,175,80,168
2025-02,mid-duration,98,22,168
2025-02,long-duration,42,3,168
2025-03,recently-separated,168,74,164
2025-03,mid-duration,108,23,164
2025-03,long-duration,58,4,164
2025-04,recently-separated,160,73,166
2025-04,mid-duration,116,26,166
2025-04,long-duration,76,6,166
2025-05,recently-separated,154,74,172
2025-05,mid-duration,122,29,172
2025-05,long-duration,92,8,172
2025-06,recently-separated,148,74,178
2025-06,mid-duration,126,32,178
2025-06,long-duration,106,10,178
