market,relative_year,treated,post,wage,concentration
RuralCare,-2,1,0,25.5594534253012,0.2971364613848007
RuralCare,-1,1,0,26.173514745526,0.2791161471832018
RuralCare,0,1,1,24.989560591297668,0.38017633797983663
RuralCare,1,1,1,25.729827843868435,0.3755443268989771
RuralCare,2,1,1,25.800212997759477,0.3769421300900638
NorthMed,-2,1,0,30.602315601474476,0.30051294838460807
NorthMed,-1,1,0,30.983651991824445,0.2680907194393339
NorthMed,0,1,1,29.86085839270347,0.3639113185489149
NorthMed,1,1,1,30.510606298813677,0.36605808005347723
NorthMed,2,1,1,31.119582437516527,0.377282236195723
MetroHealth,-2,0,0,24.364479138079908,0.21921254751867944
MetroHealth,-1,0,0,24.790321056490782,0.2303337619894
MetroHealth,0,0,1,25.122336019119288,0.19995516224986767
MetroHealth,1,0,1,25.484334409967275,0.2206817905764835
MetroHealth,2,0,1,25.86433444462384,0.23207167309589538
SouthGeneral,-2,0,0,28.427959622555477,0.2209148187029158
SouthGeneral,-1,0,0,28.622300055159435,0.22156976036181425
SouthGeneral,0,0,1,28.878409797175312,0.22404616930667945
SouthGeneral,1,0,1,29.128981718587738,0.22228066525227377
SouthGeneral,2,0,1,29.471306233443958,0.22199288265017253
