wage_bin,mean_jobs,mean_avg_wage,period
10.0,104.15384615384616,10.247260459349365,Pre
11.0,116.96153846153847,11.25560295484588,Pre
12.0,129.26923076923077,12.241201222153673,Pre
13.0,140.53846153846155,13.27846963793769,Pre
14.0,127.73076923076923,14.239224911627,Pre
15.0,114.61538461538461,15.224190933269112,Pre
16.0,102.34615384615384,16.229192768143086,Pre
10.0,48.04545454545455,10.89138293994423,Post
11.0,60.36363636363637,11.904799182500307,Post
12.0,71.63636363636364,12.891192491265253,Post
13.0,128.0909090909091,13.90618871564118,Post
14.0,165.1818181818182,14.59187348955554,Post
15.0,125.54545454545455,15.260003639542965,Post
16.0,105.31818181818181,16.264890655990822,Post
