region,month,policy_month,post,median_wage,new_floor,bite,wage_bin,avg_wage,jobs,below_floor,near_floor
Metro North,1,7,0,18.4,14.0,0.7608695652173914,10.0,10.275262827232085,109,1,0
Metro North,1,7,0,18.4,14.0,0.7608695652173914,11.0,11.162929177465614,124,1,0
Metro North,1,7,0,18.4,14.0,0.7608695652173914,12.0,12.395429235484189,136,1,0
Metro North,1,7,0,18.4,14.0,0.7608695652173914,13.0,13.30553704072051,139,1,0
Metro North,1,7,0,18.4,14.0,0.7608695652173914,14.0,14.334103587076864,127,0,1
Metro North,1,7,0,18.4,14.0,0.7608695652173914,15.0,15.103907098714114,101,0,1
Metro North,1,7,0,18.4,14.0,0.7608695652173914,16.0,16.21846464042782,108,0,0
Metro North,2,7,0,18.4,14.0,0.7608695652173914,10.0,10.257976730092235,108,1,0
Metro North,2,7,0,18.4,14.0,0.7608695652173914,11.0,11.282038609041784,120,1,0
Metro North,2,7,0,18.4,14.0,0.7608695652173914,12.0,12.089641297998941,131,1,0
Metro North,2,7,0,18.4,14.0,0.7608695652173914,13.0,13.29271122598981,145,1,0
Metro North,2,7,0,18.4,14.0,0.7608695652173914,14.0,14.38905005457023,135,0,1
Metro North,2,7,0,18.4,14.0,0.7608695652173914,15.0,15.262558082894515,122,0,1
Metro North,2,7,0,18.4,14.0,0.7608695652173914,16.0,16.2339487639179,107,0,0
Metro North,3,7,0,18.4,14.0,0.7608695652173914,10.0,10.26594306120138,104,1,0
Metro North,3,7,0,18.4,14.0,0.7608695652173914,11.0,11.24796808351722,131,1,0
Metro North,3,7,0,18.4,14.0,0.7608695652173914,12.0,12.35166914690896,127,1,0
Metro North,3,7,0,18.4,14.0,0.7608695652173914,13.0,13.230536671795152,143,1,0
Metro North,3,7,0,18.4,14.0,0.7608695652173914,14.0,14.222368538405078,121,0,1
Metro North,3,7,0,18.4,14.0,0.7608695652173914,15.0,15.234419901633563,115,0,1
Metro North,3,7,0,18.4,14.0,0.7608695652173914,16.0,16.283247467298025,100,0,0
Metro North,4,7,0,18.4,14.0,0.7608695652173914,10.0,10.231548591771622,111,1,0
Metro North,4,7,0,18.4,14.0,0.7608695652173914,11.0,11.35949915031359,122,1,0
Metro North,4,7,0,18.4,14.0,0.7608695652173914,12.0,12.23878715788465,126,1,0
Metro North,4,7,0,18.4,14.0,0.7608695652173914,13.0,13.340103355495522,157,1,0
Metro North,4,7,0,18.4,14.0,0.7608695652173914,14.0,14.185301167043129,130,0,1
Metro North,4,7,0,18.4,14.0,0.7608695652173914,15.0,15.163012030089387,104,0,1
Metro North,4,7,0,18.4,14.0,0.7608695652173914,16.0,16.269604786190058,101,0,0
Metro North,5,7,0,18.4,14.0,0.7608695652173914,10.0,10.180405549631915,100,1,0
Metro North,5,7,0,18.4,14.0,0.7608695652173914,11.0,11.243146599372569,114,1,0
Metro North,5,7,0,18.4,14.0,0.7608695652173914,12.0,12.252741464984908,122,1,0
Metro North,5,7,0,18.4,14.0,0.7608695652173914,13.0,13.285929524419846,142,1,0
Metro North,5,7,0,18.4,14.0,0.7608695652173914,14.0,14.225182006135691,129,0,1
Metro North,5,7,0,18.4,14.0,0.7608695652173914,15.0,15.30938118002529,109,0,1
Metro North,5,7,0,18.4,14.0,0.7608695652173914,16.0,16.452076682114853,90,0,0
Metro North,6,7,0,18.4,14.0,0.7608695652173914,10.0,10.221636764730873,107,1,0
Metro North,6,7,0,18.4,14.0,0.7608695652173914,11.0,11.173715112243755,115,1,0
Metro North,6,7,0,18.4,14.0,0.7608695652173914,12.0,12.141180603039286,136,1,0
Metro North,6,7,0,18.4,14.0,0.7608695652173914,13.0,13.297748279853707,135,1,0
Metro North,6,7,0,18.4,14.0,0.7608695652173914,14.0,14.277496854540377,116,0,1
Metro North,6,7,0,18.4,14.0,0.7608695652173914,15.0,15.241402541833938,123,0,1
Metro North,6,7,0,18.4,14.0,0.7608695652173914,16.0,16.308119294963785,108,0,0
Metro North,7,7,1,18.4,14.0,0.7608695652173914,10.0,10.940935996875922,46,1,0
Metro North,7,7,1,18.4,14.0,0.7608695652173914,11.0,11.890975222145393,52,1,0
Metro North,7,7,1,18.4,14.0,0.7608695652173914,12.0,12.930471330372137,75,1,0
Metro North,7,7,1,18.4,14.0,0.7608695652173914,13.0,13.96366833517188,78,1,0
Metro North,7,7,1,18.4,14.0,0.7608695652173914,14.0,14.87629670219906,161,0,1
Metro North,7,7,1,18.4,14.0,0.7608695652173914,15.0,15.362556003074284,147,0,1
Metro North,7,7,1,18.4,14.0,0.7608695652173914,16.0,16.35425848043667,109,0,0
Metro North,8,7,1,18.4,14.0,0.7608695652173914,10.0,10.75090571393321,46,1,0
Metro North,8,7,1,18.4,14.0,0.7608695652173914,11.0,12.070734218454193,68,1,0
Metro North,8,7,1,18.4,14.0,0.7608695652173914,12.0,12.954965403130876,87,1,0
Metro North,8,7,1,18.4,14.0,0.7608695652173914,13.0,13.864640327076112,94,1,0
Metro North,8,7,1,18.4,14.0,0.7608695652173914,14.0,14.885508579314973,163,0,1
Metro North,8,7,1,18.4,14.0,0.7608695652173914,15.0,15.298171597436397,150,0,1
Metro North,8,7,1,18.4,14.0,0.7608695652173914,16.0,16.18388048529976,105,0,0
Metro North,9,7,1,18.4,14.0,0.7608695652173914,10.0,10.85243356563781,45,1,0
Metro North,9,7,1,18.4,14.0,0.7608695652173914,11.0,11.822252822907492,63,1,0
Metro North,9,7,1,18.4,14.0,0.7608695652173914,12.0,12.796963390430085,77,1,0
Metro North,9,7,1,18.4,14.0,0.7608695652173914,13.0,13.988450473556778,93,1,0
Metro North,9,7,1,18.4,14.0,0.7608695652173914,14.0,14.73782791914138,177,0,1
Metro North,9,7,1,18.4,14.0,0.7608695652173914,15.0,15.366778916580015,161,0,1
Metro North,9,7,1,18.4,14.0,0.7608695652173914,16.0,16.22769575197447,98,0,0
Metro North,10,7,1,18.4,14.0,0.7608695652173914,10.0,10.899682563454173,50,1,0
Metro North,10,7,1,18.4,14.0,0.7608695652173914,11.0,11.865588253292582,60,1,0
Metro North,10,7,1,18.4,14.0,0.7608695652173914,12.0,12.913428089735014,73,1,0
Metro North,10,7,1,18.4,14.0,0.7608695652173914,13.0,13.976855394951516,87,1,0
Metro North,10,7,1,18.4,14.0,0.7608695652173914,14.0,14.90111323726367,169,0,1
Metro North,10,7,1,18.4,14.0,0.7608695652173914,15.0,15.232306976636968,155,0,1
Metro North,10,7,1,18.4,14.0,0.7608695652173914,16.0,16.22898767722374,114,0,0
Metro North,11,7,1,18.4,14.0,0.7608695652173914,10.0,10.95377743865578,54,1,0
Metro North,11,7,1,18.4,14.0,0.7608695652173914,11.0,11.86362499990812,74,1,0
Metro North,11,7,1,18.4,14.0,0.7608695652173914,12.0,12.927213865209346,69,1,0
Metro North,11,7,1,18.4,14.0,0.7608695652173914,13.0,13.814409622435354,90,1,0
Metro North,11,7,1,18.4,14.0,0.7608695652173914,14.0,15.095025384837331,165,0,1
Metro North,11,7,1,18.4,14.0,0.7608695652173914,15.0,15.201955145978342,153,0,1
Metro North,11,7,1,18.4,14.0,0.7608695652173914,16.0,16.217298709984938,107,0,0
Metro North,12,7,1,18.4,14.0,0.7608695652173914,10.0,10.743770485081665,43,1,0
Metro North,12,7,1,18.4,14.0,0.7608695652173914,11.0,11.893775186155384,53,1,0
Metro North,12,7,1,18.4,14.0,0.7608695652173914,12.0,12.888182020859757,63,1,0
Metro North,12,7,1,18.4,14.0,0.7608695652173914,13.0,13.961128714248046,79,1,0
Metro North,12,7,1,18.4,14.0,0.7608695652173914,14.0,15.022303280164513,155,0,1
Metro North,12,7,1,18.4,14.0,0.7608695652173914,15.0,15.245867848015557,148,0,1
Metro North,12,7,1,18.4,14.0,0.7608695652173914,16.0,16.357625175257965,106,0,0
River South,1,7,0,16.3,13.5,0.8282208588957055,10.0,10.264775946697146,97,1,0
River South,1,7,0,16.3,13.5,0.8282208588957055,11.0,11.284608779603868,120,1,0
River South,1,7,0,16.3,13.5,0.8282208588957055,12.0,12.2249500940812,125,1,0
River South,1,7,0,16.3,13.5,0.8282208588957055,13.0,13.295356185267275,138,1,0
River South,1,7,0,16.3,13.5,0.8282208588957055,14.0,14.267588267475897,126,0,1
River South,1,7,0,16.3,13.5,0.8282208588957055,15.0,15.112919652664056,107,0,0
River South,1,7,0,16.3,13.5,0.8282208588957055,16.0,16.269996681387855,99,0,0
River South,2,7,0,16.3,13.5,0.8282208588957055,10.0,10.21011002746492,108,1,0
River South,2,7,0,16.3,13.5,0.8282208588957055,11.0,11.33626949911493,105,1,0
River South,2,7,0,16.3,13.5,0.8282208588957055,12.0,12.327433698412273,133,1,0
River South,2,7,0,16.3,13.5,0.8282208588957055,13.0,13.192351313064682,132,1,0
River South,2,7,0,16.3,13.5,0.8282208588957055,14.0,14.147106022282571,127,0,1
River South,2,7,0,16.3,13.5,0.8282208588957055,15.0,15.190046720086437,117,0,0
River South,2,7,0,16.3,13.5,0.8282208588957055,16.0,16.187082062230566,100,0,0
River South,3,7,0,16.3,13.5,0.8282208588957055,10.0,10.182653962310736,96,1,0
River South,3,7,0,16.3,13.5,0.8282208588957055,11.0,11.202611349606936,121,1,0
River South,3,7,0,16.3,13.5,0.8282208588957055,12.0,12.216953509950232,140,1,0
River South,3,7,0,16.3,13.5,0.8282208588957055,13.0,13.209829505377071,144,1,0
River South,3,7,0,16.3,13.5,0.8282208588957055,14.0,14.179090029782733,127,0,1
River South,3,7,0,16.3,13.5,0.8282208588957055,15.0,15.264897728324852,124,0,0
River South,3,7,0,16.3,13.5,0.8282208588957055,16.0,16.264271695248414,104,0,0
River South,4,7,0,16.3,13.5,0.8282208588957055,10.0,10.246123530506727,104,1,0
River South,4,7,0,16.3,13.5,0.8282208588957055,11.0,11.169166668793544,108,1,0
River South,4,7,0,16.3,13.5,0.8282208588957055,12.0,12.191940924865026,134,1,0
River South,4,7,0,16.3,13.5,0.8282208588957055,13.0,13.191534355981192,135,1,0
River South,4,7,0,16.3,13.5,0.8282208588957055,14.0,14.193719656447897,124,0,1
River South,4,7,0,16.3,13.5,0.8282208588957055,15.0,15.167894292421412,125,0,0
River South,4,7,0,16.3,13.5,0.8282208588957055,16.0,16.270535885646655,106,0,0
River South,5,7,0,16.3,13.5,0.8282208588957055,10.0,10.2242223363674,108,1,0
River South,5,7,0,16.3,13.5,0.8282208588957055,11.0,11.279116316898234,119,1,0
River South,5,7,0,16.3,13.5,0.8282208588957055,12.0,12.257730275075755,130,1,0
River South,5,7,0,16.3,13.5,0.8282208588957055,13.0,13.288554398574602,154,1,0
River South,5,7,0,16.3,13.5,0.8282208588957055,14.0,14.204642361411628,124,0,1
River South,5,7,0,16.3,13.5,0.8282208588957055,15.0,15.25146585566358,114,0,0
River South,5,7,0,16.3,13.5,0.8282208588957055,16.0,16.122290436380972,94,0,0
River South,6,7,0,16.3,13.5,0.8282208588957055,10.0,10.35190776480574,101,1,0
River South,6,7,0,16.3,13.5,0.8282208588957055,11.0,11.223263244693056,112,1,0
River South,6,7,0,16.3,13.5,0.8282208588957055,12.0,12.373078897471098,140,1,0
River South,6,7,0,16.3,13.5,0.8282208588957055,13.0,13.383604149688473,147,1,0
River South,6,7,0,16.3,13.5,0.8282208588957055,14.0,14.336887902435786,135,0,1
River South,6,7,0,16.3,13.5,0.8282208588957055,15.0,15.141498457448467,119,0,0
River South,6,7,0,16.3,13.5,0.8282208588957055,16.0,16.197282878345916,112,0,0
River South,7,7,1,16.3,13.5,0.8282208588957055,10.0,10.883701731673169,41,1,0
River South,7,7,1,16.3,13.5,0.8282208588957055,11.0,11.832482759247883,61,1,0
River South,7,7,1,16.3,13.5,0.8282208588957055,12.0,13.033374010686279,76,1,0
River South,7,7,1,16.3,13.5,0.8282208588957055,13.0,13.849261349443358,84,1,0
River South,7,7,1,16.3,13.5,0.8282208588957055,14.0,15.017940247885965,154,0,1
River South,7,7,1,16.3,13.5,0.8282208588957055,15.0,15.199437239375078,110,0,0
River South,7,7,1,16.3,13.5,0.8282208588957055,16.0,16.271676902708485,101,0,0
River South,8,7,1,16.3,13.5,0.8282208588957055,10.0,10.923140754952483,35,1,0
River South,8,7,1,16.3,13.5,0.8282208588957055,11.0,11.909686003722092,60,1,0
River South,8,7,1,16.3,13.5,0.8282208588957055,12.0,12.915585366512646,52,1,0
River South,8,7,1,16.3,13.5,0.8282208588957055,13.0,13.9428340139551,85,1,0
River South,8,7,1,16.3,13.5,0.8282208588957055,14.0,14.893739185033233,161,0,1
River South,8,7,1,16.3,13.5,0.8282208588957055,15.0,15.292872461076627,123,0,0
River South,8,7,1,16.3,13.5,0.8282208588957055,16.0,16.21907436059433,111,0,0
River South,9,7,1,16.3,13.5,0.8282208588957055,10.0,10.874021608930287,45,1,0
River South,9,7,1,16.3,13.5,0.8282208588957055,11.0,11.939594820074197,64,1,0
River South,9,7,1,16.3,13.5,0.8282208588957055,12.0,12.87780086280086,69,1,0
River South,9,7,1,16.3,13.5,0.8282208588957055,13.0,13.910031868001063,82,1,0
River South,9,7,1,16.3,13.5,0.8282208588957055,14.0,14.837101782585561,172,0,1
River South,9,7,1,16.3,13.5,0.8282208588957055,15.0,15.33515801747467,115,0,0
River South,9,7,1,16.3,13.5,0.8282208588957055,16.0,16.222926394067237,105,0,0
River South,10,7,1,16.3,13.5,0.8282208588957055,10.0,10.80495886139075,42,1,0
River South,10,7,1,16.3,13.5,0.8282208588957055,11.0,12.0499644624947,62,1,0
River South,10,7,1,16.3,13.5,0.8282208588957055,12.0,12.861875635701896,70,1,0
River South,10,7,1,16.3,13.5,0.8282208588957055,13.0,13.95723206624555,99,1,0
River South,10,7,1,16.3,13.5,0.8282208588957055,14.0,14.923623699542592,171,0,1
River South,10,7,1,16.3,13.5,0.8282208588957055,15.0,15.303896965922826,120,0,0
River South,10,7,1,16.3,13.5,0.8282208588957055,16.0,16.296622107054855,114,0,0
River South,11,7,1,16.3,13.5,0.8282208588957055,10.0,10.880660514527372,50,1,0
River South,11,7,1,16.3,13.5,0.8282208588957055,11.0,11.979254524455635,63,1,0
River South,11,7,1,16.3,13.5,0.8282208588957055,12.0,12.954190545434079,80,1,0
River South,11,7,1,16.3,13.5,0.8282208588957055,13.0,13.921868134474975,99,1,0
River South,11,7,1,16.3,13.5,0.8282208588957055,14.0,15.020237239606338,169,0,1
River South,11,7,1,16.3,13.5,0.8282208588957055,15.0,15.347744311380394,125,0,0
River South,11,7,1,16.3,13.5,0.8282208588957055,16.0,16.21998029300684,105,0,0
River South,12,7,1,16.3,13.5,0.8282208588957055,10.0,10.906206894869158,44,1,0
River South,12,7,1,16.3,13.5,0.8282208588957055,11.0,11.975005551550037,49,1,0
River South,12,7,1,16.3,13.5,0.8282208588957055,12.0,12.83670072531229,67,1,0
River South,12,7,1,16.3,13.5,0.8282208588957055,13.0,13.88190843177914,83,1,0
River South,12,7,1,16.3,13.5,0.8282208588957055,14.0,14.815030242355027,168,0,1
River South,12,7,1,16.3,13.5,0.8282208588957055,15.0,15.237659146740802,120,0,0
River South,12,7,1,16.3,13.5,0.8282208588957055,16.0,16.180631168563412,105,0,0
Lake East,1,8,0,15.7,13.0,0.8280254777070064,10.0,10.209258150815746,102,1,0
Lake East,1,8,0,15.7,13.0,0.8280254777070064,11.0,11.276060610101549,119,1,0
Lake East,1,8,0,15.7,13.0,0.8280254777070064,12.0,12.163186777726295,126,1,0
Lake East,1,8,0,15.7,13.0,0.8280254777070064,13.0,13.209605521703393,131,0,1
Lake East,1,8,0,15.7,13.0,0.8280254777070064,14.0,14.216746254661723,143,0,1
Lake East,1,8,0,15.7,13.0,0.8280254777070064,15.0,15.365244841678782,106,0,0
Lake East,1,8,0,15.7,13.0,0.8280254777070064,16.0,16.179078750363775,112,0,0
Lake East,2,8,0,15.7,13.0,0.8280254777070064,10.0,10.300498556918955,100,1,0
Lake East,2,8,0,15.7,13.0,0.8280254777070064,11.0,11.274223584208238,125,1,0
Lake East,2,8,0,15.7,13.0,0.8280254777070064,12.0,12.251415249571103,128,1,0
Lake East,2,8,0,15.7,13.0,0.8280254777070064,13.0,13.39371518102797,137,0,1
Lake East,2,8,0,15.7,13.0,0.8280254777070064,14.0,14.333172208990021,128,0,1
Lake East,2,8,0,15.7,13.0,0.8280254777070064,15.0,15.285964470336264,110,0,0
Lake East,2,8,0,15.7,13.0,0.8280254777070064,16.0,16.20956562133556,92,0,0
Lake East,3,8,0,15.7,13.0,0.8280254777070064,10.0,10.383213251367984,99,1,0
Lake East,3,8,0,15.7,13.0,0.8280254777070064,11.0,11.298227762036129,115,1,0
Lake East,3,8,0,15.7,13.0,0.8280254777070064,12.0,12.214689275332951,131,1,0
Lake East,3,8,0,15.7,13.0,0.8280254777070064,13.0,13.405104598445028,142,0,1
Lake East,3,8,0,15.7,13.0,0.8280254777070064,14.0,14.173515203847963,135,0,1
Lake East,3,8,0,15.7,13.0,0.8280254777070064,15.0,15.298270029664144,125,0,0
Lake East,3,8,0,15.7,13.0,0.8280254777070064,16.0,16.29337700532598,100,0,0
Lake East,4,8,0,15.7,13.0,0.8280254777070064,10.0,10.17976228130731,104,1,0
Lake East,4,8,0,15.7,13.0,0.8280254777070064,11.0,11.235875542196643,102,1,0
Lake East,4,8,0,15.7,13.0,0.8280254777070064,12.0,12.18860187929362,136,1,0
Lake East,4,8,0,15.7,13.0,0.8280254777070064,13.0,13.334599145500734,132,0,1
Lake East,4,8,0,15.7,13.0,0.8280254777070064,14.0,14.315172517428785,123,0,1
Lake East,4,8,0,15.7,13.0,0.8280254777070064,15.0,15.21429125497922,107,0,0
Lake East,4,8,0,15.7,13.0,0.8280254777070064,16.0,16.142821281375817,105,0,0
Lake East,5,8,0,15.7,13.0,0.8280254777070064,10.0,10.109619846509144,117,1,0
Lake East,5,8,0,15.7,13.0,0.8280254777070064,11.0,11.159591873457623,110,1,0
Lake East,5,8,0,15.7,13.0,0.8280254777070064,12.0,12.209139471147889,131,1,0
Lake East,5,8,0,15.7,13.0,0.8280254777070064,13.0,13.161400419401467,144,0,1
Lake East,5,8,0,15.7,13.0,0.8280254777070064,14.0,14.267636280089818,120,0,1
Lake East,5,8,0,15.7,13.0,0.8280254777070064,15.0,15.209625002222008,125,0,0
Lake East,5,8,0,15.7,13.0,0.8280254777070064,16.0,16.125061881616382,104,0,0
Lake East,6,8,0,15.7,13.0,0.8280254777070064,10.0,10.153900857997886,98,1,0
Lake East,6,8,0,15.7,13.0,0.8280254777070064,11.0,11.328318964435649,125,1,0
