pair_id,county,treated,relative_time,post,median_wage,new_floor,bite,restaurant_employment,average_hours,average_wage
North-1,North A,1,-3,0,15.8,13.5,0.8544303797468354,107.05569940639818,33.77900064502004,11.540000000000001
North-1,North B,0,-3,0,15.8,13.5,0.8544303797468354,110.3216581112562,33.66130685689946,11.540000000000001
North-1,North A,1,-2,0,15.8,13.5,0.8544303797468354,110.1727398741785,34.018459402342685,11.66
North-1,North B,0,-2,0,15.8,13.5,0.8544303797468354,108.91638303633871,34.16187228634573,11.66
North-1,North A,1,-1,0,15.8,13.5,0.8544303797468354,115.37089642926489,34.784289578285126,11.780000000000001
North-1,North B,0,-1,0,15.8,13.5,0.8544303797468354,111.94332974480824,34.41847281625142,11.780000000000001
North-1,North A,1,0,1,15.8,13.5,0.8544303797468354,120.76345189541597,34.25906032266683,12.890182866928978
North-1,North B,0,0,1,15.8,13.5,0.8544303797468354,116.58531379599812,34.18813782730205,11.9
North-1,North A,1,1,1,15.8,13.5,0.8544303797468354,129.58304786027722,34.45401592440305,13.110419309343177
North-1,North B,0,1,1,15.8,13.5,0.8544303797468354,120.69710862029835,34.45440387010428,12.02
North-1,North A,1,2,1,15.8,13.5,0.8544303797468354,127.82256295990443,34.42895251483787,13.274955417098907
North-1,North B,0,2,1,15.8,13.5,0.8544303797468354,125.8758484887344,35.01997437863382,12.14
North-1,North A,1,3,1,15.8,13.5,0.8544303797468354,128.4226173916921,34.46084073520305,13.396222508736216
North-1,North B,0,3,1,15.8,13.5,0.8544303797468354,127.5783057603752,35.165335064656006,12.26
River-2,River A,1,-3,0,16.4,13.5,0.8231707317073171,107.96375654350237,34.12266557217244,11.540000000000001
River-2,River B,0,-3,0,16.4,13.5,0.8231707317073171,106.98980544819021,33.94093449356123,11.540000000000001
River-2,River A,1,-2,0,16.4,13.5,0.8231707317073171,110.54379212252928,34.34506543089004,11.66
River-2,River B,0,-2,0,16.4,13.5,0.8231707317073171,111.4522530750671,33.89374960017919,11.66
River-2,River A,1,-1,0,16.4,13.5,0.8231707317073171,111.66795035762155,34.280809129424405,11.780000000000001
River-2,River B,0,-1,0,16.4,13.5,0.8231707317073171,111.97986281505034,34.60007989463833,11.780000000000001
River-2,River A,1,0,1,16.4,13.5,0.8231707317073171,117.48856014469072,33.7526278949451,12.965291522636374
River-2,River B,0,0,1,16.4,13.5,0.8231707317073171,117.65438300564901,34.63022337557631,11.9
River-2,River A,1,1,1,16.4,13.5,0.8231707317073171,126.12021706729281,33.848465567193124,13.075592809681783
River-2,River B,0,1,1,16.4,13.5,0.8231707317073171,122.2911727098552,34.9717267854571,12.02
River-2,River A,1,2,1,16.4,13.5,0.8231707317073171,130.09845249337766,34.52287702292003,13.056612094794637
River-2,River B,0,2,1,16.4,13.5,0.8231707317073171,125.34864629784516,34.79905526762389,12.14
River-2,River A,1,3,1,16.4,13.5,0.8231707317073171,132.9393710582523,34.516864852843256,13.339859116462163
River-2,River B,0,3,1,16.4,13.5,0.8231707317073171,128.63371001507068,34.873808075923314,12.26
Lake-3,Lake A,1,-3,0,17.1,14.0,0.8187134502923976,105.62743645869135,34.278976071001665,11.540000000000001
Lake-3,Lake B,0,-3,0,17.1,14.0,0.8187134502923976,106.22301314988738,34.00457135910262,11.540000000000001
Lake-3,Lake A,1,-2,0,17.1,14.0,0.8187134502923976,106.84092818718997,33.82010961700372,11.66
Lake-3,Lake B,0,-2,0,17.1,14.0,0.8187134502923976,108.87702394340322,34.09407427241849,11.66
Lake-3,Lake A,1,-1,0,17.1,14.0,0.8187134502923976,114.39852236328602,34.529488480131,11.780000000000001
Lake-3,Lake B,0,-1,0,17.1,14.0,0.8187134502923976,112.96189765347246,34.75288956653971,11.780000000000001
Lake-3,Lake A,1,0,1,17.1,14.0,0.8187134502923976,121.17805847960331,34.067755381967274,12.796225804687653
Lake-3,Lake B,0,0,1,17.1,14.0,0.8187134502923976,115.27761723803125,34.28757184433413,11.9
Lake-3,Lake A,1,1,1,17.1,14.0,0.8187134502923976,122.27046174485818,34.24518146108189,12.956260062219409
Lake-3,Lake B,0,1,1,17.1,14.0,0.8187134502923976,123.9021169821947,34.470001809134004,12.02
Lake-3,Lake A,1,2,1,17.1,14.0,0.8187134502923976,127.54567106658051,34.12610539137442,12.951978320452582
Lake-3,Lake B,0,2,1,17.1,14.0,0.8187134502923976,127.1360226848913,35.36011208496708,12.14
Lake-3,Lake A,1,3,1,17.1,14.0,0.8187134502923976,127.20762426795511,34.4809105146536,13.212041897816542
Lake-3,Lake B,0,3,1,17.1,14.0,0.8187134502923976,130.5868740937721,35.243658086443,12.26
Valley-4,Valley A,1,-3,0,15.2,13.0,0.8552631578947368,106.14896263304375,34.164629024746084,11.540000000000001
Valley-4,Valley B,0,-3,0,15.2,13.0,0.8552631578947368,106.69979342129858,33.87341331386536,11.540000000000001
Valley-4,Valley A,1,-2,0,15.2,13.0,0.8552631578947368,110.3623517066901,34.22849145993039,11.66
Valley-4,Valley B,0,-2,0,15.2,13.0,0.8552631578947368,108.88662837225009,33.70137246555041,11.66
Valley-4,Valley A,1,-1,0,15.2,13.0,0.8552631578947368,115.57956754201662,34.26331490918324,11.780000000000001
Valley-4,Valley B,0,-1,0,15.2,13.0,0.8552631578947368,115.77310839096694,34.65255380866564,11.780000000000001
Valley-4,Valley A,1,0,1,15.2,13.0,0.8552631578947368,119.9956777141247,34.33373321647493,13.007400691002829
Valley-4,Valley B,0,0,1,15.2,13.0,0.8552631578947368,114.5888519370464,34.766345160598384,11.9
Valley-4,Valley A,1,1,1,15.2,13.0,0.8552631578947368,121.07956290670731,34.42560809498075,13.15009695573971
Valley-4,Valley B,0,1,1,15.2,13.0,0.8552631578947368,119.07753740430249,34.83303287103306,12.02
Valley-4,Valley A,1,2,1,15.2,13.0,0.8552631578947368,130.19431079334768,33.951852850720954,13.168269280534943
Valley-4,Valley B,0,2,1,15.2,13.0,0.8552631578947368,127.5667860067889,35.31986777238182,12.14
Valley-4,Valley A,1,3,1,15.2,13.0,0.8552631578947368,127.42178595241651,34.180855777468544,13.424800932381054
Valley-4,Valley B,0,3,1,15.2,13.0,0.8552631578947368,132.67860034212626,34.62419423960643,12.26
