municipality,spell_id,ui_eligible,baseline_informality,formal_layoff_rate,informal_transition_share,recall_rate
Capital,Cap-001,0,0.19,0.08581144877639983,0.2746854703010574,0.2514151826673489
Capital,Cap-002,1,0.19,0.1086290356354551,0.3379054690140738,0.3164254882460426
Capital,Cap-003,0,0.19,0.07787162195270925,0.312524160783924,0.2879386955412766
Capital,Cap-004,1,0.19,0.09693651085593666,0.3505685033162321,0.2980231014588645
Capital,Cap-005,0,0.19,0.08336417632355839,0.28910810316519275,0.2568776360640513
Capital,Cap-006,1,0.19,0.10356290454023764,0.32774875526373204,0.3423090545788332
Capital,Cap-007,0,0.19,0.08006934548908902,0.31837553426837806,0.2788423306575979
Capital,Cap-008,1,0.19,0.10341250690281165,0.34243930864322786,0.3081796443777184
Capital,Cap-009,0,0.19,0.08881184055076419,0.27579097862368585,0.2738253009210904
Capital,Cap-010,1,0.19,0.09730432559824576,0.3483819377606359,0.31551918302650406
Capital,Cap-011,0,0.19,0.08678948157951562,0.2898755543145531,0.2836932200506183
Capital,Cap-012,1,0.19,0.09297793867756074,0.36066029179950626,0.32865811811234785
Capital,Cap-013,0,0.19,0.08420655046370622,0.28548216492046374,0.27257785845953664
Capital,Cap-014,1,0.19,0.10282157074499512,0.32095878524877647,0.3073948328320551
Capital,Cap-015,0,0.19,0.08722352555601263,0.3052528145962611,0.2628722370659806
Capital,Cap-016,1,0.19,0.1118082115782156,0.3838806041948464,0.32996449118680027
Capital,Cap-017,0,0.19,0.09247620300108213,0.3011927334028672,0.27166382082691437
Capital,Cap-018,1,0.19,0.09080037617250256,0.3433359527239057,0.3050260738589776
Capital,Cap-019,0,0.19,0.08711920399948303,0.3098231255412713,0.26663640406230404
Capital,Cap-020,1,0.19,0.10481985860891846,0.3779850332046147,0.3222256096716835
Capital,Cap-021,0,0.19,0.08289864901255939,0.28157624329560355,0.26337435047815866
Capital,Cap-022,1,0.19,0.08718009408297916,0.33428543262898874,0.28847132060557523
Capital,Cap-023,0,0.19,0.10212925351661437,0.307416656228284,0.2534497228531386
Capital,Cap-024,1,0.19,0.09828604702457916,0.38261247842610435,0.3158585424170643
Capital,Cap-025,0,0.19,0.08074197421137605,0.30378357150713065,0.2608995291674631
Capital,Cap-026,1,0.19,0.09641271670210068,0.3711773794232343,0.30746704341091746
Capital,Cap-027,0,0.19,0.08924606310525102,0.2736680719191142,0.27482019560325915
Capital,Cap-028,1,0.19,0.11956948295477182,0.35412673694911095,0.28705056042577354
Capital,Cap-029,0,0.19,0.09129928702801636,0.2994120510180937,0.22503116456436628
Capital,Cap-030,1,0.19,0.11184827407737176,0.3874273969065275,0.30700723192095997
Capital,Cap-031,0,0.19,0.09624441891494434,0.28256460685965656,0.26605033659938815
Capital,Cap-032,1,0.19,0.11835508018247103,0.3342879179445079,0.3065011540826903
Capital,Cap-033,0,0.19,0.08040674444816848,0.2725402022728956,0.2631308096660839
Capital,Cap-034,1,0.19,0.1097331109411593,0.38624668300394893,0.3194700320055828
Capital,Cap-035,0,0.19,0.08414509612465161,0.2968982508984887,0.271347938388162
Capital,Cap-036,1,0.19,0.10694005399585932,0.3622447822642653,0.31789463141168667
Capital,Cap-037,0,0.19,0.08573325298716314,0.30733442443136,0.2930080076436354
Capital,Cap-038,1,0.19,0.10733454123095708,0.4010526676737353,0.3140290363695211
Capital,Cap-039,0,0.19,0.08723611612126708,0.2776839783493014,0.2732458611009871
Capital,Cap-040,1,0.19,0.0951896299937145,0.3590482602735594,0.2850864110956037
Capital,Cap-041,0,0.19,0.09368777126729638,0.3193042108201039,0.285352965442609
Capital,Cap-042,1,0.19,0.09707641716235378,0.3816258510866518,0.33389145117862706
Capital,Cap-043,0,0.19,0.08949911597770818,0.2647657972052876,0.28296813268166643
Capital,Cap-044,1,0.19,0.11444895792067292,0.3702947902264675,0.2967482510402757
Capital,Cap-045,0,0.19,0.09007707028859487,0.3051054405128553,0.2831895379637153
Capital,Cap-046,1,0.19,0.09802708572993056,0.3457151654401198,0.322394200978696
Capital,Cap-047,0,0.19,0.09134801053093192,0.268831653601026,0.2523795463191531
Capital,Cap-048,1,0.19,0.09970778563915664,0.34538722199132116,0.3116106948134243
