region,year,treated_region,post_period,benefit_duration_weeks,eligible_jobfinding_rate,noneligible_jobfinding_rate,vacancy_rate
treated-north,2010,1,0,22,0.25732967679104174,0.4470400405262321,0.03443950801746849
treated-north,2011,1,0,22,0.2631429129191392,0.4354198471525922,0.03102970171920417
treated-north,2012,1,0,22,0.22115692962166125,0.4533805175157767,0.03179914144146395
treated-north,2013,1,0,22,0.24367651592292344,0.4492921345523108,0.030636162895896758
treated-north,2014,1,0,22,0.25386616606016,0.41907010938536166,0.03422080233069112
treated-north,2015,1,0,22,0.2412775031341636,0.44173143362332623,0.03274393244546624
treated-north,2016,1,0,22,0.2506893432058472,0.4509674760195302,0.03454679141037695
treated-north,2017,1,1,28,0.20341622019348368,0.4406199970951678,0.034291802822528576
treated-north,2018,1,1,28,0.1869303250113453,0.44883820754648224,0.03560706687661194
treated-north,2019,1,1,28,0.18418148530684164,0.423634904683803,0.03320845442141432
treated-north,2020,1,1,28,0.1905444914090829,0.4340996418171661,0.03793341221318558
treated-north,2021,1,1,28,0.2097788757648206,0.4538735112689618,0.031174314145733836
treated-north,2022,1,1,28,0.19540512004812863,0.4174067555599135,0.033502855115463866
treated-north,2023,1,1,28,0.21126788853543715,0.4535241600235818,0.031479501914691545
treated-north,2024,1,1,28,0.18740641569007388,0.4487717015043966,0.033181645204051306
treated-west,2010,1,0,23,0.23523941100054055,0.45458797239446297,0.0301610964993182
treated-west,2011,1,0,23,0.23237453859713403,0.4362610724224245,0.032779227886124696
treated-west,2012,1,0,23,0.23185081170504876,0.4290914470676047,0.03521082102060514
treated-west,2013,1,0,23,0.2309228702925696,0.4489193612625682,0.03198997979031345
treated-west,2014,1,0,23,0.22847075981847156,0.4469258361857356,0.03170718375888945
treated-west,2015,1,0,23,0.2312652960272671,0.4350116507369033,0.028390184295801583
treated-west,2016,1,0,23,0.2380613814506346,0.45039193970933367,0.032735510161132624
treated-west,2017,1,1,29,0.1844245983460201,0.44930463824966677,0.033132396228502496
treated-west,2018,1,1,29,0.18,0.43762258522428954,0.03236832504050332
treated-west,2019,1,1,29,0.185396171600787,0.4479341841245386,0.034959053200313214
treated-west,2020,1,1,29,0.18017339118742084,0.4393001051997644,0.03239967625933691
treated-west,2021,1,1,29,0.18,0.45327747901086873,0.0317439038628639
treated-west,2022,1,1,29,0.18,0.43086850070967525,0.03228340715071849
treated-west,2023,1,1,29,0.18,0.463929268451749,0.03206661479526741
treated-west,2024,1,1,29,0.18501729204578163,0.4300411645652839,0.032335973551318606
control-east,2010,0,0,20,0.2813239958087084,0.4199449249470466,0.030138037158610572
control-east,2011,0,0,20,0.2646806261260544,0.4415012658950097,0.0300189612612931
control-east,2012,0,0,20,0.2834301158792828,0.4400457722961933,0.031315545951128676
control-east,2013,0,0,20,0.2671651304256388,0.44423700755850265,0.029784841612469817
control-east,2014,0,0,20,0.27968103788096765,0.4328144332627575,0.03111968347618951
control-east,2015,0,0,20,0.26125085504400664,0.43389182369613366,0.031925334891256776
control-east,2016,0,0,20,0.2644184526445333,0.41818030084837987,0.033804478719293644
control-east,2017,0,1,20,0.282866774145451,0.4301097469003292,0.03349410433623475
control-east,2018,0,1,20,0.287326757766862,0.4206708650652016,0.030010198156941306
control-east,2019,0,1,20,0.2611682297161863,0.44388488643792484,0.03295612394073023
control-east,2020,0,1,20,0.25938519735160237,0.45460681313843937,0.03058106894803075
control-east,2021,0,1,20,0.2603987673085308,0.4385841193746316,0.03209944820979714
control-east,2022,0,1,20,0.2703941063292764,0.4364169421646569,0.03192320627927796
control-east,2023,0,1,20,0.25400602162813224,0.45749470702702105,0.032519102184039674
control-east,2024,0,1,20,0.2666046716129299,0.45344280973657797,0.031691401057623254
control-south,2010,0,0,19,0.282107142340047,0.4453116088712972,0.03162075330255675
control-south,2011,0,0,19,0.27268127152424554,0.44861513473867554,0.03197284664895374
control-south,2012,0,0,19,0.27135169845842744,0.44836176425798435,0.032473292733695994
control-south,2013,0,0,19,0.27991806632040234,0.45115845081602163,0.03478382379166962
control-south,2014,0,0,19,0.2719160244455448,0.42741050394265273,0.031557924219951
control-south,2015,0,0,19,0.2820845970345682,0.42949845143701987,0.030958661621536685
control-south,2016,0,0,19,0.28415527595380846,0.46405944624765444,0.035088339412169114
control-south,2017,0,1,19,0.2668145139041399,0.4180419440762892,0.03011368164439604
control-south,2018,0,1,19,0.27417634667046636,0.4390007452639921,0.031219998466085714
control-south,2019,0,1,19,0.2743250156964523,0.44087650887044044,0.03475690503642098
control-south,2020,0,1,19,0.268103546849071,0.44603034207823283,0.03287729748595249
control-south,2021,0,1,19,0.26636958331066113,0.45724838644939453,0.033633711114834576
control-south,2022,0,1,19,0.2785549970661823,0.4526088228260401,0.034062189439513404
control-south,2023,0,1,19,0.28480904032028287,0.45116999742656,0.02996612021856722
control-south,2024,0,1,19,0.29664193862897587,0.45841452877147476,0.03166781341401348
