date,phase,matches,matches_fixed_composition,gap_from_fixed_composition
2006-01,pre-downturn,20487.56,20364.28,123.28
2006-02,pre-downturn,19128.87,19013.83,115.04
2006-03,pre-downturn,18284.27,18174.4,109.87
2006-04,pre-downturn,17746.82,17640.32,106.51
2006-05,pre-downturn,17387.66,17283.5,104.16
2006-06,pre-downturn,17127.22,17024.89,102.33
2006-07,pre-downturn,16917.09,16816.4,100.69
2006-08,pre-downturn,16728.48,16629.46,99.02
2006-09,pre-downturn,16545.04,16447.86,97.18
2006-10,pre-downturn,16358.28,16263.24,95.04
2006-11,pre-downturn,16164.71,16072.21,92.5
2006-12,pre-downturn,15964.04,15874.6,89.44
2007-01,pre-downturn,15758.03,15672.29,85.74
2007-02,pre-downturn,15549.77,15468.53,81.25
2007-03,pre-downturn,15343.21,15267.41,75.79
2007-04,pre-downturn,15142.78,15073.62,69.16
2007-05,pre-downturn,14953.27,14892.17,61.1
2007-06,pre-downturn,14779.57,14728.27,51.3
2007-07,pre-downturn,14626.59,14587.2,39.39
2007-08,pre-downturn,14499.12,14474.17,24.94
2007-09,pre-downturn,14401.72,14394.27,7.45
2007-10,pre-downturn,14338.6,14352.3,-13.7
2007-11,pre-downturn,14313.5,14352.67,-39.17
2007-12,pre-downturn,14329.54,14399.31,-69.77
2008-01,pre-downturn,14389.11,14495.47,-106.36
2008-02,pre-downturn,14493.65,14643.57,-149.92
2008-03,pre-downturn,14643.58,14845.06,-201.47
2008-04,pre-downturn,14838.14,15100.22,-262.08
2008-05,pre-downturn,15075.26,15408.01,-332.75
2008-06,pre-downturn,15351.55,15765.94,-414.39
2008-07,downturn,15662.31,16169.96,-507.66
2008-08,downturn,16001.62,16614.5,-612.88
2008-09,downturn,16362.62,17092.53,-729.91
2008-10,downturn,16737.87,17595.83,-857.96
2008-11,downturn,17119.85,18115.43,-995.58
2008-12,downturn,17501.77,18642.35,-1140.58
2009-01,downturn,17878.38,19168.46,-1290.08
2009-02,downturn,18247.09,19687.78,-1440.69
2009-03,downturn,18609.11,20197.86,-1588.75
2009-04,downturn,18970.48,20701.18,-1730.7
2009-05,downturn,19342.8,21206.2,-1863.4
2009-06,downturn,19743.01,21727.48,-1984.46
2009-07,downturn,20191.72,22283.95,-2092.22
2009-08,downturn,20709.43,22894.87,-2185.45
2009-09,downturn,21310.73,23573.38,-2262.65
2009-10,downturn,21997.55,24318.93,-2321.38
2009-11,downturn,22753.65,25111.34,-2357.69
2009-12,downturn,23542.84,25909.25,-2366.4
2010-01,downturn,24312.36,26654.5,-2342.15
2010-02,downturn,25000.63,27281.46,-2280.83
2010-03,downturn,25547.25,27728.35,-2181.1
2010-04,downturn,25902.37,27947.48,-2045.11
2010-05,downturn,26033.37,27911.9,-1878.54
2010-06,downturn,25928.06,27617.78,-1689.72
2010-07,downturn,25594.27,27082.67,-1488.4
2010-08,downturn,25056.65,26341.02,-1284.37
2010-09,downturn,24351.84,25438.13,-1086.29
2010-10,downturn,23550.7,24424.02,-873.32
2010-11,recovery,22658.97,23339.09,-680.12
2010-12,recovery,21722.06,22231.5,-509.44
2011-01,recovery,20779.74,21141.7,-361.96
2011-02,recovery,19864.56,20101.35,-236.79
2011-03,recovery,19001.45,19133.47,-132.02
2011-04,recovery,18208.13,18253.29,-45.17
2011-05,recovery,17495.94,17469.48,26.46
2011-06,recovery,16871.01,16785.51,85.49
2011-07,recovery,16335.34,16200.97,134.37
2011-08,recovery,15887.85,15712.61,175.23
2011-09,recovery,15525.21,15315.28,209.93
2011-10,recovery,15242.58,15002.6,239.98
2011-11,recovery,15034.09,14767.46,266.63
2011-12,recovery,14893.26,14602.38,290.89
2012-01,recovery,14813.29,14499.76,313.53
2012-02,recovery,14787.21,14452.05,335.15
2012-03,recovery,14808.09,14451.87,356.23
2012-04,recovery,14869.09,14492.01,377.07
2012-05,recovery,14963.52,14565.59,397.93
2012-06,recovery,15084.91,14665.98,418.93
2012-07,recovery,15227.04,14786.86,440.17
2012-08,recovery,15383.93,14922.27,461.66
2012-09,recovery,15549.94,15066.57,483.38
2012-10,recovery,15719.72,15214.46,505.26
2012-11,recovery,15888.25,15361.04,527.22
2012-12,recovery,16050.91,15501.78,549.13
2013-01,late-cycle,16203.44,15632.57,570.87
2013-02,late-cycle,16325.05,15749.73,575.32
2013-03,late-cycle,16435.71,15856.38,579.33
2013-04,late-cycle,16529.97,15947.24,582.73
2013-05,late-cycle,16603.94,16018.55,585.39
2013-06,late-cycle,16654.87,16067.66,587.22
2013-07,late-cycle,16680.9,16092.75,588.16
2013-08,late-cycle,16680.94,16092.77,588.17
2013-09,late-cycle,16654.58,16067.33,587.25
2013-10,late-cycle,16602.06,16016.66,585.41
2013-11,late-cycle,16524.2,15941.53,582.66
2013-12,late-cycle,16422.37,15843.3,579.08
2014-01,late-cycle,16298.49,15723.78,574.71
2014-02,late-cycle,16154.94,15585.29,569.65
2014-03,late-cycle,15994.53,15430.54,563.99
2014-04,late-cycle,15820.46,15262.6,557.85
2014-05,late-cycle,15636.2,15084.84,551.36
2014-06,late-cycle,15445.47,14900.84,544.63
2014-07,late-cycle,15252.16,14714.34,537.82
2014-08,late-cycle,15060.2,14529.15,531.05
2014-09,late-cycle,14873.51,14349.05,524.46
2014-10,late-cycle,14695.92,14177.72,518.2
2014-11,late-cycle,14531.06,14018.67,512.39
2014-12,late-cycle,14382.29,13875.15,507.14
